state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Total (UTs),Hurt/Grevious Hurt,2104,4676,47,2245,4488,33696,38184,71,34161,3952,1653,2299
Total (All-India),Hurt/Grevious Hurt,101522,552008,10142,110996,532392,2155384,2687776,105102,2201351,381323,106982,274341
Andhra Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,2,0,0,0
Arunachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Importation of girls from Foreign Countries,2,7,0,9,0,2,2,0,2,0,0,0
Bihar,Importation of girls from Foreign Countries,15,7,3,9,10,354,364,0,342,22,3,19
Chhattisgarh,Importation of girls from Foreign Countries,0,3,0,3,0,11,11,0,4,7,0,7
Goa,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Importation of girls from Foreign Countries,0,1,0,0,1,0,1,0,1,0,0,0
Himachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Importation of girls from Foreign Countries,10,0,0,0,10,19,29,0,6,23,0,23
Karnataka,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,0,2,0,2
Kerala,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Importation of girls from Foreign Countries,0,17,0,0,17,180,197,17,171,9,7,2
Maharashtra,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,2,0,0,0
Mizoram,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Importation of girls from Foreign Countries,0,0,0,0,0,8,8,0,8,0,0,0
Punjab,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Importation of girls from Foreign Countries,0,4,0,0,4,1,5,0,5,0,0,0
Sikkim,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Importation of girls from Foreign Countries,5,19,5,1,18,17,35,0,24,11,0,11
Total (State),Importation of girls from Foreign Countries,32,58,8,22,60,598,658,17,567,74,10,64
A&N Islands,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Importation of girls from Foreign Countries,32,58,8,22,60,598,658,17,567,74,10,64
Andhra Pradesh,Insult to Modesty of Women,862,5327,8,1060,5121,5427,10548,1404,6260,2884,820,2064
Arunachal Pradesh,Insult to Modesty of Women,0,3,1,0,2,17,19,0,19,0,0,0
Assam,Insult to Modesty of Women,27,14,3,27,11,16,27,0,21,6,0,6
Bihar,Insult to Modesty of Women,0,54,0,10,44,77,121,6,102,13,1,12
Chhattisgarh,Insult to Modesty of Women,0,304,0,0,304,899,1203,36,943,224,122,102
Goa,Insult to Modesty of Women,21,43,0,22,42,41,83,0,70,13,3,10
Gujarat,Insult to Modesty of Women,3,115,0,6,112,1445,1557,1,1456,100,13,87
Haryana,Insult to Modesty of Women,24,776,0,11,789,1503,2292,0,1610,682,278,404
Himachal Pradesh,Insult to Modesty of Women,15,121,0,23,113,333,446,9,419,18,0,18
Jammu & Kashmir,Insult to Modesty of Women,3,432,0,9,426,2026,2452,27,1834,591,152,439
Jharkhand,Insult to Modesty of Women,30,27,0,44,13,80,93,0,67,26,10,16
Karnataka,Insult to Modesty of Women,11,170,3,13,165,124,289,6,167,116,6,110
Kerala,Insult to Modesty of Women,77,430,0,42,465,1707,2172,4,1872,296,99,197
Madhya Pradesh,Insult to Modesty of Women,2,966,0,1,967,2829,3796,243,2650,903,332,571
Maharashtra,Insult to Modesty of Women,416,3188,6,742,2856,11404,14260,200,13162,898,94,804
Manipur,Insult to Modesty of Women,1,0,0,1,0,1,1,0,1,0,0,0
Meghalaya,Insult to Modesty of Women,0,0,0,0,0,1,1,0,1,0,0,0
Mizoram,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Insult to Modesty of Women,0,1,0,0,1,2,3,0,1,2,2,0
Odisha,Insult to Modesty of Women,43,516,0,45,514,1899,2413,0,2138,275,22,253
Punjab,Insult to Modesty of Women,66,86,6,92,54,86,140,0,116,24,10,14
Rajasthan,Insult to Modesty of Women,0,28,0,0,28,97,125,1,98,26,19,7
Sikkim,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Insult to Modesty of Women,217,332,5,178,366,1363,1729,0,1076,653,206,447
Tripura,Insult to Modesty of Women,0,16,0,7,9,18,27,0,21,6,4,2
Uttar Pradesh,Insult to Modesty of Women,0,39,3,10,26,320,346,0,38,308,174,134
Uttarakhand,Insult to Modesty of Women,7,90,6,1,90,784,874,0,747,127,107,20
West Bengal,Insult to Modesty of Women,244,571,90,184,541,317,858,9,464,385,194,191
Total (State),Insult to Modesty of Women,2069,13649,131,2528,13059,32816,45875,1946,35353,8576,2668,5908
A&N Islands,Insult to Modesty of Women,7,11,0,2,16,49,65,0,63,2,1,1
Chandigarh,Insult to Modesty of Women,11,26,0,5,32,51,83,0,62,21,5,16
D&N Haveli,Insult to Modesty of Women,0,1,0,0,1,2,3,0,3,0,0,0
Daman & Diu,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Insult to Modesty of Women,145,1046,2,285,904,549,1453,5,1212,236,103,133
Lakshadweep,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Insult to Modesty of Women,2,6,0,0,8,120,128,2,122,4,1,3
Total (UTs),Insult to Modesty of Women,165,1090,2,292,961,771,1732,7,1462,263,110,153
Total (All-India),Insult to Modesty of Women,2234,14739,133,2820,14020,33587,47607,1953,36815,8839,2778,6061
Andhra Pradesh,K & A of others,354,791,1,438,706,1938,2644,10,2036,598,43,555
Arunachal Pradesh,K & A of others,21,29,12,22,16,219,235,0,233,2,1,1
Assam,K & A of others,685,716,250,877,274,1188,1462,0,1096,366,10,356
Bihar,K & A of others,2541,2361,178,2210,2514,16358,18872,6,17383,1483,140,1343
Chhattisgarh,K & A of others,7,144,0,35,116,402,518,0,367,151,43,108
Goa,K & A of others,29,28,9,29,19,68,87,0,72,15,0,15
Gujarat,K & A of others,43,511,1,46,507,5450,5957,0,5717,240,7,233
Haryana,K & A of others,101,499,0,46,554,1647,2201,0,1865,336,59,277
Himachal Pradesh,K & A of others,16,7,2,11,10,226,236,2,222,12,2,10
Jammu & Kashmir,K & A of others,3,75,0,3,75,338,413,7,353,53,1,52
Jharkhand,K & A of others,305,409,0,238,476,958,1434,5,978,451,99,352
Karnataka,K & A of others,165,523,22,167,499,1224,1723,9,1447,267,12,255
Kerala,K & A of others,85,166,1,90,160,1194,1354,0,1294,60,5,55
Madhya Pradesh,K & A of others,10,450,0,13,447,1916,2363,5,1950,408,111,297
Maharashtra,K & A of others,578,835,21,618,774,8250,9024,14,8659,351,12,339
Manipur,K & A of others,64,32,31,63,2,14,16,0,16,0,0,0
Meghalaya,K & A of others,311,112,52,318,53,259,312,0,304,8,1,7
Mizoram,K & A of others,7,7,0,3,11,8,19,0,8,11,9,2
Nagaland,K & A of others,16,29,3,25,17,18,35,0,17,18,12,6
Odisha,K & A of others,64,273,0,59,278,984,1262,0,1126,136,17,119
Punjab,K & A of others,494,276,14,513,243,1002,1245,0,992,253,94,159
Rajasthan,K & A of others,20,668,0,27,661,3623,4284,66,3768,450,176,274
Sikkim,K & A of others,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,K & A of others,401,472,55,389,429,1069,1498,0,1027,471,79,392
Tripura,K & A of others,2,35,8,17,12,23,35,0,9,26,4,22
Uttar Pradesh,K & A of others,783,2582,1114,944,1307,7230,8537,26,7374,1137,577,560
Uttarakhand,K & A of others,7,33,6,1,33,229,262,0,185,77,47,30
West Bengal,K & A of others,343,745,73,444,571,2523,3094,3,2890,201,7,194
Total (State),K & A of others,7455,12808,1853,7646,10764,58358,69122,153,61388,7581,1568,6013
A&N Islands,K & A of others,9,0,0,1,8,18,26,0,24,2,0,2
Chandigarh,K & A of others,5,27,1,7,24,57,81,0,64,17,9,8
D&N Haveli,K & A of others,0,0,0,0,0,78,78,0,63,15,1,14
Daman & Diu,K & A of others,1,4,0,4,1,3,4,0,4,0,0,0
Delhi UT,K & A of others,117,203,0,145,175,1536,1711,7,1537,167,68,99
Lakshadweep,K & A of others,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,K & A of others,0,5,0,5,0,73,73,0,73,0,0,0
Total (UTs),K & A of others,132,239,1,162,208,1765,1973,7,1765,201,78,123
Total (All-India),K & A of others,7587,13047,1854,7808,10972,60123,71095,160,63153,7782,1646,6136
Andhra Pradesh,K & A of Women and Girls,786,1811,50,895,1652,3785,5437,149,3759,1529,163,1366
Arunachal Pradesh,K & A of Women and Girls,40,110,13,75,62,498,560,2,553,5,2,3
Assam,K & A of Women and Girls,3265,3531,1644,3290,1862,3475,5337,0,3871,1466,61,1405
Bihar,K & A of Women and Girls,3491,4925,180,3676,4560,14147,18707,12,16750,1945,146,1799
Chhattisgarh,K & A of Women and Girls,84,498,0,98,484,1775,2259,20,1812,427,78,349
Goa,K & A of Women and Girls,14,29,1,22,20,70,90,0,81,9,4,5
Gujarat,K & A of Women and Girls,316,2646,6,448,2508,15082,17590,11,16713,866,70,796
Haryana,K & A of Women and Girls,56,1067,1,56,1066,1760,2826,0,2191,635,183,452
Himachal Pradesh,K & A of Women and Girls,49,131,9,32,139,461,600,4,463,133,23,110
Jammu & Kashmir,K & A of Women and Girls,10,686,0,16,680,6791,7471,32,6106,1333,17,1316
Jharkhand,K & A of Women and Girls,330,1111,0,536,905,1576,2481,15,1773,693,149,544
Karnataka,K & A of Women and Girls,231,902,49,254,830,2176,3006,19,2546,441,27,414
Kerala,K & A of Women and Girls,106,243,0,128,221,1328,1549,2,1469,78,4,74
Madhya Pradesh,K & A of Women and Girls,104,1860,0,88,1876,5376,7252,11,5904,1337,323,1014
Maharashtra,K & A of Women and Girls,959,2373,68,1169,2095,13984,16079,36,15089,954,50,904
Manipur,K & A of Women and Girls,101,115,105,106,5,54,59,0,55,4,2,2
Meghalaya,K & A of Women and Girls,66,32,13,70,15,114,129,0,126,3,0,3
Mizoram,K & A of Women and Girls,0,6,0,5,1,1,2,0,1,1,1,0
Nagaland,K & A of Women and Girls,3,22,4,10,11,5,16,1,3,12,10,2
Odisha,K & A of Women and Girls,168,1661,1,185,1643,4685,6328,0,5625,703,84,619
Punjab,K & A of Women and Girls,868,920,114,1056,618,1726,2344,0,1928,416,127,289
Rajasthan,K & A of Women and Girls,66,1736,0,65,1737,9685,11422,55,10372,995,273,722
Sikkim,K & A of Women and Girls,4,25,3,5,21,18,39,0,4,35,20,15
Tamil Nadu,K & A of Women and Girls,1656,1490,158,1623,1365,3199,4564,0,3279,1285,184,1101
Tripura,K & A of Women and Girls,6,192,10,49,139,244,383,0,308,75,3,72
Uttar Pradesh,K & A of Women and Girls,4389,23405,11305,5195,11294,21929,33223,225,28442,4556,2215,2341
Uttarakhand,K & A of Women and Girls,44,283,17,64,246,1026,1272,0,954,318,173,145
West Bengal,K & A of Women and Girls,1253,4222,294,1528,3653,14294,17947,8,16487,1452,52,1400
Total (State),K & A of Women and Girls,18465,56032,14045,20744,39708,129264,168972,602,146664,21706,4444,17262
A&N Islands,K & A of Women and Girls,1,9,0,3,7,72,79,0,75,4,0,4
Chandigarh,K & A of Women and Girls,9,95,6,24,74,83,157,0,90,67,10,57
D&N Haveli,K & A of Women and Girls,1,4,1,0,4,54,58,0,52,6,0,6
Daman & Diu,K & A of Women and Girls,0,4,0,0,4,6,10,0,10,0,0,0
Delhi UT,K & A of Women and Girls,120,614,12,159,563,1675,2238,13,1778,447,154,293
Lakshadweep,K & A of Women and Girls,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,K & A of Women and Girls,4,6,0,1,9,72,81,0,78,3,0,3
Total (UTs),K & A of Women and Girls,135,732,19,187,661,1962,2623,13,2083,527,164,363
Total (All-India),K & A of Women and Girls,18600,56764,14064,20931,40369,131226,171595,615,148747,22233,4608,17625
Andhra Pradesh,Kidnapping & Abduction,1140,2602,51,1333,2358,5723,8081,159,5795,2127,206,1921
Arunachal Pradesh,Kidnapping & Abduction,61,139,25,97,78,717,795,2,786,7,3,4
Assam,Kidnapping & Abduction,3950,4247,1894,4167,2136,4663,6799,0,4967,1832,71,1761
Bihar,Kidnapping & Abduction,6032,7286,358,5886,7074,30505,37579,18,34133,3428,286,3142
Chhattisgarh,Kidnapping & Abduction,91,642,0,133,600,2177,2777,20,2179,578,121,457
Goa,Kidnapping & Abduction,43,57,10,51,39,138,177,0,153,24,4,20
Gujarat,Kidnapping & Abduction,359,3157,7,494,3015,20532,23547,11,22430,1106,77,1029
Haryana,Kidnapping & Abduction,157,1566,1,102,1620,3407,5027,0,4056,971,242,729
Himachal Pradesh,Kidnapping & Abduction,65,138,11,43,149,687,836,6,685,145,25,120
Jammu & Kashmir,Kidnapping & Abduction,13,761,0,19,755,7129,7884,39,6459,1386,18,1368
Jharkhand,Kidnapping & Abduction,635,1520,0,774,1381,2534,3915,20,2751,1144,248,896
Karnataka,Kidnapping & Abduction,396,1425,71,421,1329,3400,4729,28,3993,708,39,669
Kerala,Kidnapping & Abduction,191,409,1,218,381,2522,2903,2,2763,138,9,129
Madhya Pradesh,Kidnapping & Abduction,114,2310,0,101,2323,7292,9615,16,7854,1745,434,1311
Maharashtra,Kidnapping & Abduction,1537,3208,89,1787,2869,22234,25103,50,23748,1305,62,1243
Manipur,Kidnapping & Abduction,165,147,136,169,7,68,75,0,71,4,2,2
Meghalaya,Kidnapping & Abduction,377,144,65,388,68,373,441,0,430,11,1,10
Mizoram,Kidnapping & Abduction,7,13,0,8,12,9,21,0,9,12,10,2
Nagaland,Kidnapping & Abduction,19,51,7,35,28,23,51,1,20,30,22,8
Odisha,Kidnapping & Abduction,232,1934,1,244,1921,5669,7590,0,6751,839,101,738
Punjab,Kidnapping & Abduction,1362,1196,128,1569,861,2728,3589,0,2920,669,221,448
Rajasthan,Kidnapping & Abduction,86,2404,0,92,2398,13308,15706,121,14140,1445,449,996
Sikkim,Kidnapping & Abduction,4,25,3,5,21,18,39,0,4,35,20,15
Tamil Nadu,Kidnapping & Abduction,2057,1962,213,2012,1794,4268,6062,0,4306,1756,263,1493
Tripura,Kidnapping & Abduction,8,227,18,66,151,267,418,0,317,101,7,94
Uttar Pradesh,Kidnapping & Abduction,5172,25987,12419,6139,12601,29159,41760,251,35816,5693,2792,2901
Uttarakhand,Kidnapping & Abduction,51,316,23,65,279,1255,1534,0,1139,395,220,175
West Bengal,Kidnapping & Abduction,1596,4967,367,1972,4224,16817,21041,11,19377,1653,59,1594
Total (State),Kidnapping & Abduction,25920,68840,15898,28390,50472,187622,238094,755,208052,29287,6012,23275
A&N Islands,Kidnapping & Abduction,10,9,0,4,15,90,105,0,99,6,0,6
Chandigarh,Kidnapping & Abduction,14,122,7,31,98,140,238,0,154,84,19,65
D&N Haveli,Kidnapping & Abduction,1,4,1,0,4,132,136,0,115,21,1,20
Daman & Diu,Kidnapping & Abduction,1,8,0,4,5,9,14,0,14,0,0,0
Delhi UT,Kidnapping & Abduction,237,817,12,304,738,3211,3949,20,3315,614,222,392
Lakshadweep,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Kidnapping & Abduction,4,11,0,6,9,145,154,0,151,3,0,3
Total (UTs),Kidnapping & Abduction,267,971,20,349,869,3727,4596,20,3848,728,242,486
Total (All-India),Kidnapping & Abduction,26187,69811,15918,28739,51341,191349,242690,775,211900,30015,6254,23761
Andhra Pradesh,Murder,3138,5033,34,3718,4419,13142,17561,13,13415,4133,679,3454
Arunachal Pradesh,Murder,109,86,22,114,59,1161,1220,0,1214,6,5,1
Assam,Murder,4756,1590,624,4632,1090,8183,9273,0,8363,910,283,627
Bihar,Murder,7399,6439,80,6462,7296,54985,62281,5,57018,5258,1216,4042
Chhattisgarh,Murder,158,1453,0,205,1406,6661,8067,10,6204,1853,732,1121
Goa,Murder,24,74,1,39,58,230,288,0,262,26,11,15
Gujarat,Murder,312,2197,0,310,2199,27873,30072,8,29019,1045,227,818
Haryana,Murder,233,1966,3,179,2017,5548,7565,0,5732,1833,681,1152
Himachal Pradesh,Murder,70,148,5,36,177,744,921,0,675,246,86,160
Jammu & Kashmir,Murder,25,252,0,26,251,4000,4251,15,3766,470,65,405
Jharkhand,Murder,1274,1833,0,1437,1670,3964,5634,26,4096,1512,430,1082
Karnataka,Murder,598,3141,83,633,3023,11455,14478,26,12144,2308,353,1955
Kerala,Murder,866,703,0,893,676,7476,8152,5,7447,700,197,503
Madhya Pradesh,Murder,227,4704,0,135,4796,22407,27203,3,22598,4602,2015,2587
Maharashtra,Murder,1778,5433,69,1701,5441,67005,72446,27,68060,4359,1027,3332
Manipur,Murder,206,82,64,201,23,437,460,0,445,15,7,8
Meghalaya,Murder,433,166,41,487,71,2220,2291,0,2270,21,11,10
Mizoram,Murder,23,32,1,18,36,41,77,0,64,13,6,7
Nagaland,Murder,12,51,19,20,24,35,59,3,32,24,21,3
Odisha,Murder,392,2200,2,368,2222,12473,14695,0,13457,1238,235,1003
Punjab,Murder,1373,1243,34,1506,1076,2791,3867,0,2699,1168,626,542
Rajasthan,Murder,64,2026,0,66,2024,13539,15563,29,14202,1332,626,706
Sikkim,Murder,6,18,0,6,18,67,85,0,35,50,38,12
Tamil Nadu,Murder,2231,4456,24,2570,4093,11578,15671,0,12436,3235,767,2468
Tripura,Murder,84,209,18,96,179,318,497,0,316,181,35,146
Uttar Pradesh,Murder,2695,14784,2541,3614,11324,73091,84415,18,76150,8247,4237,4010
Uttarakhand,Murder,52,225,8,99,170,2219,2389,0,1956,433,170,263
West Bengal,Murder,4575,3278,206,4309,3338,28689,32027,0,29418,2609,495,2114
Total (State),Murder,33113,63822,3879,33880,59176,382332,441508,188,393493,47827,15281,32546
A&N Islands,Murder,11,9,0,6,14,271,285,0,271,14,9,5
Chandigarh,Murder,17,34,0,10,41,124,165,0,104,61,25,36
D&N Haveli,Murder,6,4,0,5,5,70,75,0,33,42,2,40
Daman & Diu,Murder,1,9,0,2,8,49,57,0,57,0,0,0
Delhi UT,Murder,478,842,0,439,881,6006,6887,0,6119,768,326,442
Lakshadweep,Murder,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Murder,54,93,0,60,87,830,917,1,904,12,4,8
Total (UTs),Murder,567,991,0,522,1036,7350,8386,1,7488,897,366,531
Total (All-India),Murder,33680,64813,3879,34402,60212,389682,449894,189,400981,48724,15647,33077
Andhra Pradesh,Other IPC Crimes,17417,83214,474,22121,78036,98930,176966,13455,119150,44361,18026,26335
Arunachal Pradesh,Other IPC Crimes,546,831,242,716,419,7610,8029,11,7908,110,48,62
Assam,Other IPC Crimes,13367,28446,11361,17273,13179,17407,30586,40,17757,12789,1066,11723
Bihar,Other IPC Crimes,19185,90985,2087,21133,86950,560069,647019,10572,543415,93032,8363,84669
Chhattisgarh,Other IPC Crimes,1198,31670,0,1275,31593,80631,112224,3273,79781,29170,12361,16809
Goa,Other IPC Crimes,734,1001,55,768,912,4533,5445,28,4441,976,288,688
Gujarat,Other IPC Crimes,8448,120048,2,8099,120395,696112,816507,1262,744436,70809,34610,36199
Haryana,Other IPC Crimes,3412,27142,0,2049,28505,81180,109685,0,81201,28484,9005,19479
Himachal Pradesh,Other IPC Crimes,2116,9952,24,1095,10949,67429,78378,1342,71846,5190,990,4200
Jammu & Kashmir,Other IPC Crimes,50,20718,0,75,20693,55718,76411,6582,53686,16143,6365,9778
Jharkhand,Other IPC Crimes,10798,19570,0,12647,17721,35022,52743,692,32845,19206,4013,15193
Karnataka,Other IPC Crimes,9119,55933,1262,7492,56298,84320,140618,2610,84788,53220,27678,25542
Kerala,Other IPC Crimes,8623,123871,0,10842,121652,250329,371981,1605,294442,75934,63722,12212
Madhya Pradesh,Other IPC Crimes,1120,178843,0,970,178993,511692,690685,70767,510302,109616,61140,48476
Maharashtra,Other IPC Crimes,19151,69515,131,22524,66011,535473,601484,10328,543632,47524,8711,38813
Manipur,Other IPC Crimes,728,316,296,701,47,1124,1171,0,1160,11,5,6
Meghalaya,Other IPC Crimes,569,945,328,717,469,3419,3888,12,3788,88,32,56
Mizoram,Other IPC Crimes,103,276,13,147,219,253,472,0,239,233,186,47
Nagaland,Other IPC Crimes,188,269,97,188,172,116,288,9,131,148,111,37
Odisha,Other IPC Crimes,3735,29391,0,2831,30295,229556,259851,0,235971,23880,1654,22226
Punjab,Other IPC Crimes,8573,13047,423,10744,10453,36891,47344,54,36435,10855,4422,6433
Rajasthan,Other IPC Crimes,941,94857,0,1930,93868,445555,539423,14460,459054,65909,43884,22025
Sikkim,Other IPC Crimes,132,427,22,119,418,162,580,14,70,496,217,279
Tamil Nadu,Other IPC Crimes,46719,136545,6054,42047,135163,119235,254398,1284,124932,128182,83396,44786
Tripura,Other IPC Crimes,451,1728,299,494,1386,1289,2675,50,691,1934,215,1719
Uttar Pradesh,Other IPC Crimes,12979,162757,35501,16977,123258,248289,371547,18079,295154,58314,31988,26326
Uttarakhand,Other IPC Crimes,388,2808,198,303,2695,11773,14468,80,11690,2698,1916,782
West Bengal,Other IPC Crimes,26440,63722,3480,21753,64929,327232,392161,218,367279,24664,3124,21540
Total (State),Other IPC Crimes,217230,1368827,62349,228030,1295678,4511349,5807027,156827,4726224,923976,427536,496440
A&N Islands,Other IPC Crimes,48,440,0,37,451,5187,5638,0,5348,290,187,103
Chandigarh,Other IPC Crimes,278,1167,177,427,841,4162,5003,0,3613,1390,640,750
D&N Haveli,Other IPC Crimes,37,200,0,89,148,1544,1692,0,1588,104,2,102
Daman & Diu,Other IPC Crimes,45,74,0,39,80,275,355,59,216,80,0,80
Delhi UT,Other IPC Crimes,13881,22766,414,19225,17008,38670,55678,227,39089,16362,9126,7236
Lakshadweep,Other IPC Crimes,55,13,0,33,35,80,115,0,85,30,8,22
Puducherry,Other IPC Crimes,746,1850,16,721,1859,2655,4514,14,3424,1076,1024,52
Total (UTs),Other IPC Crimes,15090,26510,607,20571,20422,52573,72995,300,53363,19332,10987,8345
Total (All-India),Other IPC Crimes,232320,1395337,62956,248601,1316100,4563922,5880022,157127,4779587,943308,438523,504785
Andhra Pradesh,Other Rape,839,1960,17,1103,1679,3730,5409,29,4081,1299,190,1109
Arunachal Pradesh,Other Rape,46,106,15,76,61,605,666,0,664,2,1,1
Assam,Other Rape,1746,1745,410,1768,1313,4837,6150,0,5179,971,123,848
Bihar,Other Rape,938,1156,63,992,1039,5094,6133,0,5279,854,271,583
Chhattisgarh,Other Rape,106,1637,0,152,1591,5141,6732,5,5090,1637,485,1152
Goa,Other Rape,52,103,1,82,72,170,242,0,232,10,2,8
Gujarat,Other Rape,84,1027,0,113,998,5369,6367,2,6015,350,54,296
Haryana,Other Rape,42,1398,0,54,1386,1708,3094,0,1749,1345,420,925
Himachal Pradesh,Other Rape,57,299,2,47,307,831,1138,0,796,342,81,261
Jammu & Kashmir,Other Rape,15,404,0,18,401,1557,1958,18,1380,560,36,524
Jharkhand,Other Rape,437,1135,0,514,1058,1541,2599,19,1750,830,308,522
