state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Karnataka,Other Rape,199,1258,10,291,1156,2075,3231,0,2590,641,101,540
Kerala,Other Rape,865,1358,5,1067,1151,5694,6845,2,6466,377,103,274
Madhya Pradesh,Other Rape,45,5879,0,124,5800,13490,19290,57,13476,5757,1456,4301
Maharashtra,Other Rape,996,4243,46,1379,3814,20002,23816,39,22348,1429,249,1180
Manipur,Other Rape,54,37,26,49,16,95,111,0,103,8,6,2
Meghalaya,Other Rape,304,190,38,241,215,690,905,0,890,15,7,8
Mizoram,Other Rape,42,89,3,45,83,135,218,0,149,69,47,22
Nagaland,Other Rape,8,41,4,19,26,33,59,1,45,13,10,3
Odisha,Other Rape,152,2080,0,185,2047,6098,8145,0,7300,845,131,714
Punjab,Other Rape,510,1048,37,543,978,820,1798,0,706,1092,464,628
Rajasthan,Other Rape,37,2783,0,49,2771,5994,8765,26,7457,1282,434,848
Sikkim,Other Rape,16,43,5,10,44,45,89,0,9,80,59,21
Tamil Nadu,Other Rape,799,1193,16,729,1247,2420,3667,0,2968,699,186,513
Tripura,Other Rape,35,356,28,65,298,360,658,1,480,177,21,156
Uttar Pradesh,Other Rape,354,5587,1416,861,3664,7075,10739,39,8858,1842,939,903
Uttarakhand,Other Rape,17,289,3,12,291,381,672,0,389,283,189,94
West Bengal,Other Rape,574,2674,122,484,2642,14140,16782,0,15176,1606,181,1425
Total (State),Other Rape,9369,40118,2267,11072,36148,110130,146278,238,121625,24415,6554,17861
A&N Islands,Other Rape,15,36,0,7,44,163,207,0,170,37,3,34
Chandigarh,Other Rape,5,49,0,23,31,75,106,0,57,49,21,28
D&N Haveli,Other Rape,0,9,0,2,7,15,22,0,18,4,0,4
Daman & Diu,Other Rape,1,10,0,1,10,12,22,0,21,1,0,1
Delhi UT,Other Rape,369,1851,7,605,1608,2442,4050,0,3175,875,314,561
Lakshadweep,Other Rape,0,4,0,4,0,0,0,0,0,0,0,0
Puducherry,Other Rape,17,33,0,42,8,67,75,0,74,1,0,1
Total (UTs),Other Rape,407,1992,7,684,1708,2774,4482,0,3515,967,338,629
Total (All-India),Other Rape,9776,42110,2274,11756,37856,112904,150760,238,125140,25382,6892,18490
Andhra Pradesh,Other Theft,6396,17981,48,8198,16131,35512,51643,3529,35210,12904,4279,8625
Arunachal Pradesh,Other Theft,157,341,139,194,165,2522,2687,16,2607,64,35,29
Assam,Other Theft,8086,6030,5167,5907,3042,10270,13312,0,10387,2925,322,2603
Bihar,Other Theft,4471,12101,230,5962,10380,64658,75038,162,69724,5152,717,4435
Chhattisgarh,Other Theft,88,2135,0,125,2098,19260,21358,191,18234,2933,908,2025
Goa,Other Theft,248,388,77,336,223,1597,1820,24,1621,175,28,147
Gujarat,Other Theft,522,5733,0,689,5566,93085,98651,104,94708,3839,302,3537
Haryana,Other Theft,583,2986,0,207,3362,12151,15513,0,11258,4255,1610,2645
Himachal Pradesh,Other Theft,156,571,5,120,602,3937,4539,17,4086,436,101,335
Jammu & Kashmir,Other Theft,26,1787,0,31,1782,16636,18418,60,14216,4142,255,3887
Jharkhand,Other Theft,1613,2135,0,1484,2264,6790,9054,58,6184,2812,667,2145
Karnataka,Other Theft,531,4170,61,831,3809,20139,23948,637,19219,4092,426,3666
Kerala,Other Theft,465,2703,0,630,2538,15731,18269,71,16242,1956,683,1273
Madhya Pradesh,Other Theft,147,8033,0,112,8068,56061,64129,2245,55172,6712,1978,4734
Maharashtra,Other Theft,8567,27172,969,10054,24716,253030,277746,7714,250152,19880,2261,17619
Manipur,Other Theft,179,105,54,220,10,326,336,0,330,6,2,4
Meghalaya,Other Theft,654,310,129,639,196,1807,2003,12,1939,52,31,21
Mizoram,Other Theft,144,623,25,125,617,442,1059,1,534,524,461,63
Nagaland,Other Theft,104,171,42,106,127,97,224,12,117,95,75,20
Odisha,Other Theft,939,6495,175,773,6486,56194,62680,0,59370,3310,245,3065
Punjab,Other Theft,1630,2780,74,1647,2689,10721,13410,0,11081,2329,1056,1273
Rajasthan,Other Theft,64,4510,0,119,4455,35956,40411,388,35927,4096,2110,1986
Sikkim,Other Theft,39,109,11,49,88,114,202,12,39,151,35,116
Tamil Nadu,Other Theft,4895,9224,46,4689,9384,26784,36168,57,22284,13827,6460,7367
Tripura,Other Theft,92,423,78,75,362,745,1107,0,819,288,33,255
Uttar Pradesh,Other Theft,1647,14497,2157,1764,12223,55053,67276,892,59253,7131,4068,3063
Uttarakhand,Other Theft,116,668,41,31,712,3735,4447,7,3719,721,613,108
West Bengal,Other Theft,15395,12356,5581,14944,7226,60614,67840,14,65811,2015,357,1658
Total (State),Other Theft,57954,146537,15109,60061,129321,863967,993288,16223,870243,106822,30118,76704
A&N Islands,Other Theft,17,25,0,8,34,757,791,0,712,79,39,40
Chandigarh,Other Theft,115,524,9,112,518,1413,1931,0,1550,381,321,60
D&N Haveli,Other Theft,23,128,0,36,115,582,697,0,673,24,0,24
Daman & Diu,Other Theft,4,16,0,5,15,76,91,22,60,9,0,9
Delhi UT,Other Theft,1581,5052,547,2301,3785,31031,34816,114,31152,3550,1623,1927
Lakshadweep,Other Theft,11,0,0,10,1,6,7,0,6,1,0,1
Puducherry,Other Theft,36,166,0,6,196,505,701,7,567,127,76,51
Total (UTs),Other Theft,1787,5911,556,2478,4664,34370,39034,143,34720,4171,2059,2112
Total (All-India),Other Theft,59741,152448,15665,62539,133985,898337,1032322,16366,904963,110993,32177,78816
Andhra Pradesh,Preparation & Assembly for Dacoity,7,34,0,4,37,108,145,0,42,103,0,103
Arunachal Pradesh,Preparation & Assembly for Dacoity,0,0,0,0,0,23,23,0,5,18,0,18
Assam,Preparation & Assembly for Dacoity,113,34,20,117,10,317,327,0,297,30,0,30
Bihar,Preparation & Assembly for Dacoity,233,355,5,270,313,2937,3250,0,2880,370,32,338
Chhattisgarh,Preparation & Assembly for Dacoity,0,30,0,0,30,313,343,0,260,83,20,63
Goa,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Preparation & Assembly for Dacoity,10,136,0,20,126,700,826,0,751,75,0,75
Haryana,Preparation & Assembly for Dacoity,17,457,0,13,461,2291,2752,0,2125,627,174,453
Himachal Pradesh,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Preparation & Assembly for Dacoity,174,136,3,193,114,470,584,0,395,189,70,119
Karnataka,Preparation & Assembly for Dacoity,151,2442,0,337,2256,5234,7490,0,6667,823,38,785
Kerala,Preparation & Assembly for Dacoity,65,733,0,82,716,1827,2543,3,2105,435,164,271
Madhya Pradesh,Preparation & Assembly for Dacoity,23,1038,0,10,1051,2371,3422,0,2692,730,188,542
Maharashtra,Preparation & Assembly for Dacoity,651,1326,1,623,1353,13766,15119,1,14501,617,6,611
Manipur,Preparation & Assembly for Dacoity,403,208,197,412,2,6,8,0,7,1,1,0
Meghalaya,Preparation & Assembly for Dacoity,24,2,2,24,0,27,27,0,27,0,0,0
Mizoram,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Preparation & Assembly for Dacoity,93,654,0,48,699,1577,2276,0,2022,254,21,233
Punjab,Preparation & Assembly for Dacoity,735,678,0,858,555,1723,2278,0,1596,682,260,422
Rajasthan,Preparation & Assembly for Dacoity,14,304,0,16,302,1767,2069,0,1918,151,80,71
Sikkim,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Preparation & Assembly for Dacoity,83,309,0,193,199,296,495,0,450,45,4,41
Tripura,Preparation & Assembly for Dacoity,0,2,0,2,0,2,2,0,2,0,0,0
Uttar Pradesh,Preparation & Assembly for Dacoity,23,380,3,40,360,1836,2196,0,1961,235,151,84
Uttarakhand,Preparation & Assembly for Dacoity,0,42,0,0,42,25,67,0,51,16,12,4
West Bengal,Preparation & Assembly for Dacoity,3636,4001,359,3044,4234,25444,29678,0,28818,860,15,845
Total (State),Preparation & Assembly for Dacoity,6455,13301,590,6306,12860,63060,75920,4,69572,6344,1236,5108
A&N Islands,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Preparation & Assembly for Dacoity,11,4,0,6,9,76,85,0,30,55,4,51
D&N Haveli,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Preparation & Assembly for Dacoity,0,0,0,0,0,4,4,0,4,0,0,0
Delhi UT,Preparation & Assembly for Dacoity,599,21,0,588,32,2184,2216,0,2011,205,96,109
Lakshadweep,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Preparation & Assembly for Dacoity,38,41,0,46,33,175,208,0,157,51,0,51
Total (UTs),Preparation & Assembly for Dacoity,648,66,0,640,74,2439,2513,0,2202,311,100,211
Total (All-India),Preparation & Assembly for Dacoity,7103,13367,590,6946,12934,65499,78433,4,71774,6655,1336,5319
Andhra Pradesh,Rape,839,1960,17,1103,1679,3730,5409,29,4081,1299,190,1109
Arunachal Pradesh,Rape,46,106,15,76,61,605,666,0,664,2,1,1
Assam,Rape,1746,1745,410,1768,1313,4840,6153,0,5179,974,123,851
Bihar,Rape,938,1156,63,992,1039,5095,6134,0,5280,854,271,583
Chhattisgarh,Rape,106,1637,0,152,1591,5141,6732,5,5090,1637,485,1152
Goa,Rape,52,103,1,82,72,170,242,0,232,10,2,8
Gujarat,Rape,84,1027,0,113,998,5369,6367,2,6015,350,54,296
Haryana,Rape,42,1398,0,54,1386,1708,3094,0,1749,1345,420,925
Himachal Pradesh,Rape,57,299,2,47,307,831,1138,0,796,342,81,261
Jammu & Kashmir,Rape,15,404,0,18,401,1557,1958,18,1380,560,36,524
Jharkhand,Rape,437,1135,0,514,1058,1541,2599,19,1750,830,308,522
Karnataka,Rape,199,1263,15,291,1156,2075,3231,0,2590,641,101,540
Kerala,Rape,865,1358,5,1067,1151,5694,6845,2,6466,377,103,274
Madhya Pradesh,Rape,45,5879,0,124,5800,13496,19296,57,13482,5757,1456,4301
Maharashtra,Rape,996,4243,46,1379,3814,20002,23816,39,22348,1429,249,1180
Manipur,Rape,54,37,26,49,16,95,111,0,103,8,6,2
Meghalaya,Rape,304,190,38,241,215,690,905,0,890,15,7,8
Mizoram,Rape,42,89,3,45,83,136,219,0,149,70,47,23
Nagaland,Rape,8,41,4,19,26,33,59,1,45,13,10,3
Odisha,Rape,152,2080,0,185,2047,6098,8145,0,7300,845,131,714
Punjab,Rape,510,1048,37,543,978,820,1798,0,706,1092,464,628
Rajasthan,Rape,37,2783,0,49,2771,5994,8765,26,7457,1282,434,848
Sikkim,Rape,16,43,5,10,44,45,89,0,9,80,59,21
Tamil Nadu,Rape,799,1193,16,729,1247,2420,3667,0,2968,699,186,513
Tripura,Rape,35,356,28,65,298,360,658,1,480,177,21,156
Uttar Pradesh,Rape,354,5587,1416,861,3664,7075,10739,39,8858,1842,939,903
Uttarakhand,Rape,17,289,3,12,291,381,672,0,389,283,189,94
West Bengal,Rape,574,2674,122,484,2642,14140,16782,0,15176,1606,181,1425
Total (State),Rape,9369,40123,2272,11072,36148,110141,146289,238,121632,24419,6554,17865
A&N Islands,Rape,15,36,0,7,44,163,207,0,170,37,3,34
Chandigarh,Rape,5,49,0,23,31,75,106,0,57,49,21,28
D&N Haveli,Rape,0,9,0,2,7,15,22,0,18,4,0,4
Daman & Diu,Rape,1,10,0,1,10,12,22,0,21,1,0,1
Delhi UT,Rape,369,1851,7,605,1608,2442,4050,0,3175,875,314,561
Lakshadweep,Rape,0,4,0,4,0,0,0,0,0,0,0,0
Puducherry,Rape,17,33,0,42,8,67,75,0,74,1,0,1
Total (UTs),Rape,407,1992,7,684,1708,2774,4482,0,3515,967,338,629
Total (All-India),Rape,9776,42115,2279,11756,37856,112915,150771,238,125147,25386,6892,18494
Andhra Pradesh,Riots,3343,12530,49,4819,11005,40921,51926,1001,40653,10272,736,9536
Arunachal Pradesh,Riots,148,120,46,159,63,1527,1590,0,1588,2,0,2
Assam,Riots,7340,8317,3993,7325,4339,35208,39547,0,35689,3858,165,3693
Bihar,Riots,19915,63108,2783,22099,58141,525865,584006,4754,535254,43998,2694,41304
Chhattisgarh,Riots,773,4847,0,725,4895,36139,41034,1007,36119,3908,1339,2569
Goa,Riots,501,406,7,558,342,2366,2708,32,2412,264,50,214
Gujarat,Riots,1361,12107,0,1465,12003,165049,177052,327,168694,8031,370,7661
Haryana,Riots,487,6383,0,465,6405,22614,29019,0,25005,4014,810,3204
Himachal Pradesh,Riots,505,2311,0,351,2465,17900,20365,509,18154,1702,96,1606
Jammu & Kashmir,Riots,35,7362,7,33,7357,46342,53699,1803,42942,8954,176,8778
Jharkhand,Riots,4866,7214,0,5807,6273,18565,24838,266,19257,5315,986,4329
Karnataka,Riots,4753,30719,703,5197,29572,65020,94592,3977,64464,26151,581,25570
Kerala,Riots,8787,47017,7,8055,47742,197980,245722,1361,217055,27306,5942,21364
Madhya Pradesh,Riots,271,12511,0,405,12377,127166,139543,6454,123444,9645,3083,6562
Maharashtra,Riots,19323,58471,128,19775,57891,593515,651406,6516,602857,42033,1934,40099
Manipur,Riots,80,36,50,65,1,230,231,0,228,3,2,1
Meghalaya,Riots,78,13,4,76,11,679,690,0,690,0,0,0
Mizoram,Riots,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Riots,2,21,0,17,6,28,34,0,33,1,0,1
Odisha,Riots,1677,9688,0,1781,9584,84251,93835,0,88126,5709,274,5435
Punjab,Riots,3,0,0,3,0,27,27,0,27,0,0,0
Rajasthan,Riots,92,1968,0,92,1968,82197,84165,942,76577,6646,4381,2265
Sikkim,Riots,50,48,9,32,57,22,79,0,28,51,20,31
Tamil Nadu,Riots,7892,15002,295,8982,13617,46531,60148,79,46213,13856,3509,10347
Tripura,Riots,98,486,51,121,412,305,717,7,467,243,19,224
Uttar Pradesh,Riots,6236,47979,9003,11502,33710,130739,164449,1565,142830,20054,10297,9757
Uttarakhand,Riots,297,1050,223,59,1065,7745,8810,79,7291,1440,977,463
West Bengal,Riots,5653,14916,944,5588,14037,221393,235430,173,224161,11096,224,10872
Total (State),Riots,94566,364630,18302,105556,335338,2470324,2805662,30852,2520258,254552,38665,215887
A&N Islands,Riots,23,0,0,0,23,888,911,0,824,87,31,56
Chandigarh,Riots,63,168,3,67,161,1344,1505,0,1079,426,98,328
D&N Haveli,Riots,57,50,0,19,88,1090,1178,0,1043,135,7,128
Daman & Diu,Riots,31,62,0,57,36,560,596,9,430,157,0,157
Delhi UT,Riots,102,715,0,491,326,16936,17262,7,16884,371,132,239
Lakshadweep,Riots,68,11,0,40,39,26,65,0,65,0,0,0
Puducherry,Riots,416,562,0,164,814,2945,3759,0,3335,424,316,108
Total (UTs),Riots,760,1568,3,838,1487,23789,25276,16,23660,1600,584,1016
Total (All-India),Riots,95326,366198,18305,106394,336825,2494113,2830938,30868,2543918,256152,39249,216903
Andhra Pradesh,Robbery,526,1200,11,684,1031,3459,4490,6,3582,902,198,704
Arunachal Pradesh,Robbery,79,86,35,92,38,918,956,2,947,7,3,4
Assam,Robbery,2023,767,448,1807,535,2316,2851,0,2473,378,27,351
Bihar,Robbery,2566,2243,245,2466,2098,27528,29626,0,27805,1821,357,1464
Chhattisgarh,Robbery,91,524,0,97,518,4432,4950,11,4345,594,140,454
Goa,Robbery,33,45,4,48,26,248,274,0,251,23,2,21
Gujarat,Robbery,169,1676,0,164,1681,19351,21032,28,20332,672,53,619
Haryana,Robbery,155,1258,1,113,1299,3102,4401,5,3555,841,236,605
Himachal Pradesh,Robbery,3,13,0,2,14,238,252,0,225,27,8,19
Jammu & Kashmir,Robbery,2,129,0,3,128,1766,1894,0,1656,238,8,230
Jharkhand,Robbery,664,791,2,741,712,2197,2909,2,2074,833,270,563
Karnataka,Robbery,290,1832,45,417,1660,7432,9092,3,7785,1304,169,1135
Kerala,Robbery,375,997,0,359,1013,5719,6732,1,6162,569,191,378
Madhya Pradesh,Robbery,70,2794,0,101,2763,12149,14912,36,11654,3222,866,2356
Maharashtra,Robbery,2966,10057,464,3801,8758,52860,61618,120,58068,3430,520,2910
Manipur,Robbery,9,0,0,8,1,73,74,0,72,2,0,2
Meghalaya,Robbery,229,57,21,239,26,725,751,0,736,15,8,7
Mizoram,Robbery,4,1,0,0,5,16,21,0,12,9,2,7
Nagaland,Robbery,35,69,16,42,46,47,93,0,51,42,35,7
Odisha,Robbery,388,2471,12,334,2513,12823,15336,0,14009,1327,159,1168
Punjab,Robbery,325,317,3,354,285,1329,1614,0,1288,326,122,204
Rajasthan,Robbery,25,1158,0,26,1157,8526,9683,23,8801,859,345,514
Sikkim,Robbery,6,17,0,10,13,35,48,0,17,31,16,15
Tamil Nadu,Robbery,1442,2731,39,1432,2702,6020,8722,0,7410,1312,525,787
Tripura,Robbery,10,65,5,13,57,186,243,0,175,68,15,53
Uttar Pradesh,Robbery,801,6761,485,1172,5905,21454,27359,19,23908,3432,1890,1542
Uttarakhand,Robbery,42,242,37,5,242,953,1195,0,1003,192,134,58
West Bengal,Robbery,1757,871,107,1730,791,9744,10535,0,10303,232,20,212
Total (State),Robbery,15085,39172,1980,16260,36017,205646,241663,256,218699,22708,6319,16389
A&N Islands,Robbery,4,1,0,2,3,89,92,0,87,5,4,1
Chandigarh,Robbery,30,114,2,51,91,331,422,0,288,134,67,67
D&N Haveli,Robbery,0,5,0,0,5,28,33,0,31,2,0,2
Daman & Diu,Robbery,0,1,0,0,1,18,19,0,19,0,0,0
Delhi UT,Robbery,1265,1882,49,1680,1418,5615,7033,0,6100,933,403,530
Lakshadweep,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Robbery,23,15,0,12,26,100,126,0,116,10,3,7
Total (UTs),Robbery,1322,2018,51,1745,1544,6181,7725,0,6641,1084,477,607
Total (All-India),Robbery,16407,41190,2031,18005,37561,211827,249388,256,225340,23792,6796,16996
Andhra Pradesh,Theft,8047,23948,66,9973,21956,43919,65875,4535,44769,16571,5777,10794
Arunachal Pradesh,Theft,258,445,247,238,218,2918,3136,21,3051,64,35,29
Assam,Theft,9749,7747,5943,7881,3672,11818,15490,0,12211,3279,357,2922
Bihar,Theft,7185,16093,414,8947,13917,75190,89107,178,82636,6293,862,5431
Chhattisgarh,Theft,138,3176,0,156,3158,23032,26190,302,21926,3962,1162,2800
Goa,Theft,283,466,86,375,288,1981,2269,43,1988,238,42,196
Gujarat,Theft,747,8536,0,957,8326,123721,132047,118,126750,5179,437,4742
Haryana,Theft,1236,6796,0,545,7487,23903,31390,0,23228,8162,3255,4907
Himachal Pradesh,Theft,212,696,13,156,739,4801,5540,17,5014,509,119,390
Jammu & Kashmir,Theft,54,1949,0,67,1936,19281,21217,64,16839,4314,259,4055
Jharkhand,Theft,2053,2993,0,2009,3037,7888,10925,61,7124,3740,929,2811
Karnataka,Theft,811,6917,129,1194,6405,28195,34600,1203,27249,6148,617,5531
Kerala,Theft,975,3690,0,1143,3522,22112,25634,94,22953,2587,953,1634
Madhya Pradesh,Theft,174,12271,0,160,12285,71512,83797,2685,71954,9158,2846,6312
Maharashtra,Theft,11037,33294,1213,12812,30306,311170,341476,9320,308991,23165,2642,20523
Manipur,Theft,242,243,167,299,19,363,382,0,371,11,3,8
Meghalaya,Theft,706,357,149,693,221,2004,2225,12,2147,66,37,29
Mizoram,Theft,155,698,34,158,661,450,1111,1,566,544,480,64
Nagaland,Theft,124,284,65,167,176,115,291,12,148,131,108,23
Odisha,Theft,1138,8506,175,1016,8453,64165,72618,0,68482,4136,372,3764
Punjab,Theft,2554,4029,91,2557,3935,16592,20527,0,16755,3772,1771,2001
Rajasthan,Theft,96,7541,0,165,7472,52173,59645,500,53200,5945,3041,2904
Sikkim,Theft,50,130,15,58,107,118,225,14,42,169,44,125
Tamil Nadu,Theft,5916,13278,79,6096,13019,34811,47830,61,30572,17197,8212,8985
Tripura,Theft,97,522,84,108,427,836,1263,0,923,340,42,298
Uttar Pradesh,Theft,2196,20065,2322,2332,17607,68665,86272,898,75101,10273,5859,4414
Uttarakhand,Theft,198,1026,74,51,1099,4715,5814,9,4629,1176,995,181
West Bengal,Theft,19156,14885,7086,18321,8634,68168,76802,20,74474,2308,382,1926
Total (State),Theft,75587,200581,18452,78634,179082,1084616,1263698,20168,1104093,139437,41638,97799
A&N Islands,Theft,23,26,0,15,34,786,820,0,737,83,39,44
Chandigarh,Theft,150,1055,18,179,1008,2085,3093,0,2444,649,531,118
D&N Haveli,Theft,27,143,0,37,133,679,812,0,770,42,4,38
Daman & Diu,Theft,17,26,0,21,22,123,145,34,93,18,0,18
Delhi UT,Theft,2702,8251,982,3700,6271,49953,56224,170,49507,6547,2798,3749
Lakshadweep,Theft,11,0,0,10,1,6,7,0,6,1,0,1
Puducherry,Theft,61,222,0,13,270,776,1046,7,850,189,104,85
Total (UTs),Theft,2991,9723,1000,3975,7739,54408,62147,211,54407,7529,3476,4053
Total (All-India),Theft,78578,210304,19452,82609,186821,1139024,1325845,20379,1158500,146966,45114,101852
Andhra Pradesh,Total IPC Crimes,74165,281437,1498,92520,261584,466997,728581,44115,508047,176419,53548,122871
Arunachal Pradesh,Total IPC Crimes,2186,2981,1013,2523,1631,23262,24893,90,24429,374,168,206
Assam,Total IPC Crimes,70303,83475,36567,72169,45042,133014,178056,237,137713,40106,3219,36887
Bihar,Total IPC Crimes,105221,285851,9425,104443,277204,1656666,1933870,24269,1693503,216098,20344,195754
Chhattisgarh,Total IPC Crimes,3908,75622,46,4600,74884,267531,342415,10140,266153,66122,25254,40868
Goa,Total IPC Crimes,3084,3653,286,3610,2841,14700,17541,118,15045,2378,505,1873
Gujarat,Total IPC Crimes,17408,214048,24,17794,213638,1672345,1885983,3511,1760656,121816,38062,83754
Haryana,Total IPC Crimes,8617,73601,5,5447,76766,245808,322574,133,250105,72336,20536,51800
Himachal Pradesh,Total IPC Crimes,3900,18095,82,2542,19371,116995,136366,2495,122692,11179,1856,9323
Jammu & Kashmir,Total IPC Crimes,335,39791,7,411,39708,182617,222325,10358,171750,40217,7530,32687
Jharkhand,Total IPC Crimes,31581,54730,14,36970,49327,98757,148084,1952,98756,47376,10973,36403
Karnataka,Total IPC Crimes,26218,166081,3929,26283,162087,342293,504380,12158,354619,137603,31837,105766
Kerala,Total IPC Crimes,32325,225446,31,34456,223284,723675,946959,5108,806626,135225,74703,60522
Madhya Pradesh,Total IPC Crimes,3223,344326,5,3106,344438,1209723,1554161,129170,1190653,234338,109643,124695
Maharashtra,Total IPC Crimes,106369,345516,3426,123696,324763,2900300,3225063,46216,2951889,226958,20720,206238
Manipur,Total IPC Crimes,2651,1409,1238,2672,150,3097,3247,0,3168,79,38,41
Meghalaya,Total IPC Crimes,4183,3152,1163,4375,1797,14294,16091,66,15653,372,152,220
Mizoram,Total IPC Crimes,478,1898,103,602,1671,1449,3120,8,1626,1486,1222,264
Nagaland,Total IPC Crimes,485,1070,282,636,637,589,1226,38,610,578,456,122
Odisha,Total IPC Crimes,11426,101281,229,10481,101997,616200,718197,0,658194,60003,4756,55247
Punjab,Total IPC Crimes,35068,45979,1729,41846,37472,147571,185043,61,147484,37498,14299,23199
Rajasthan,Total IPC Crimes,1812,182992,0,2957,181847,934096,1115943,30526,956687,128730,77891,50839
Sikkim,Total IPC Crimes,411,1097,78,356,1074,767,1841,85,327,1429,635,794
Tamil Nadu,Total IPC Crimes,109597,245879,9016,108888,237572,393190,630762,1825,406161,222776,117263,105513
Tripura,Total IPC Crimes,1677,8969,1208,2039,7399,8601,16000,185,9307,6508,746,5762
Uttar Pradesh,Total IPC Crimes,61577,467679,109338,88443,331475,970606,1302081,33154,1098196,170731,90418,80313
Uttarakhand,Total IPC Crimes,1803,9732,1036,869,9630,45569,55199,434,44351,10414,6967,3447
West Bengal,Total IPC Crimes,82092,175734,17740,75846,164240,967082,1131322,619,1060985,69718,6076,63642
Total (State),Total IPC Crimes,802103,3461524,199518,870580,3193529,14157794,17351323,357071,14755385,2238867,739817,1499050
A&N Islands,Total IPC Crimes,353,720,0,187,886,10034,10920,0,10165,755,361,394
Chandigarh,Total IPC Crimes,906,3864,263,1206,3301,11696,14997,0,11093,3904,1740,2164
D&N Haveli,Total IPC Crimes,243,525,3,214,551,4875,5426,0,4981,445,22,423
Daman & Diu,Total IPC Crimes,146,337,0,207,276,1548,1824,127,1347,350,0,350
Delhi UT,Total IPC Crimes,25229,51628,1779,34173,40905,215839,256744,592,220092,36060,17208,18852
Lakshadweep,Total IPC Crimes,247,30,0,130,147,120,267,0,236,31,8,23
Puducherry,Total IPC Crimes,2064,4949,26,1459,5528,13287,18815,53,15671,3091,2212,879
Total (UTs),Total IPC Crimes,29188,62053,2071,37576,51594,257399,308993,772,263585,44636,21551,23085
Total (All-India),Total IPC Crimes,831291,3523577,201589,908156,3245123,14415193,17660316,357843,15018970,2283503,761368,1522135
