states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Andhra Pradesh,1 - Murder (Section 302 IPC),2014,754,59,813,772,113,885,517,48,565,48,0,48,2091,220,2311
Andhra Pradesh,2 - Attempt to commit Murder (Section 307 IPC),2014,1175,38,1213,920,43,963,448,16,464,22,0,22,2565,97,2662
Andhra Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,16,2,18,64,4,68,13,1,14,0,0,0,93,7,100
Andhra Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Andhra Pradesh,5 - Rape (Section 376 IPC),2014,708,7,715,341,28,369,88,10,98,11,1,12,1148,46,1194
Andhra Pradesh,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.2 - Rape other than Custodial,2014,708,7,715,341,28,369,88,10,98,11,1,12,1148,46,1194
Andhra Pradesh,5.2.1 - Gang Rape,2014,15,0,15,4,0,4,1,0,1,0,0,0,20,0,20
Andhra Pradesh,5.2.2 - Other Rape,2014,693,7,700,337,28,365,87,10,97,11,1,12,1128,46,1174
Andhra Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),2014,104,0,104,62,0,62,1,0,1,0,0,0,167,0,167
Andhra Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,802,18,820,463,51,514,124,10,134,2,0,2,1391,79,1470
Andhra Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,220,9,229,152,16,168,29,4,33,1,0,1,402,29,431
Andhra Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,7,0,7,2,0,2,0,0,0,0,0,0,9,0,9
Andhra Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,0,7,5,0,5,0,0,0,0,0,0,12,0,12
Andhra Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,311,4,315,95,13,108,25,2,27,0,0,0,431,19,450
Andhra Pradesh,7.5 - Other Kidnapping,2014,257,5,262,209,22,231,70,4,74,1,0,1,537,31,568
Andhra Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",2014,166,1,167,138,0,138,17,0,17,0,0,0,321,1,322
Andhra Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),2014,5,0,5,1,0,1,0,0,0,0,0,0,6,0,6
Andhra Pradesh,8.2 - Other Dacoity,2014,161,1,162,137,0,137,17,0,17,0,0,0,315,1,316
Andhra Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0,8,0,8,0,0,0,0,0,0,8,0,8
Andhra Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2014,398,1,399,169,9,178,51,0,51,0,0,0,618,10,628
Andhra Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,3028,22,3050,1740,39,1779,450,5,455,38,0,38,5256,66,5322
Andhra Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,2291,13,2304,1264,29,1293,308,4,312,37,0,37,3900,46,3946
Andhra Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,737,9,746,476,10,486,142,1,143,1,0,1,1356,20,1376
Andhra Pradesh,12 - Theft (Section 379 to 382 IPC),2014,6991,146,7137,4505,137,4642,1368,37,1405,207,0,207,13071,320,13391
Andhra Pradesh,12.1 - Auto Theft,2014,2045,27,2072,1168,8,1176,393,3,396,14,0,14,3620,38,3658
Andhra Pradesh,12.2 - Other Thefts,2014,4946,119,5065,3337,129,3466,975,34,1009,193,0,193,9451,282,9733
Andhra Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",2014,123,4,127,127,10,137,22,2,24,0,0,0,272,16,288
Andhra Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,3085,99,3184,2496,131,2627,945,43,988,67,2,69,6593,275,6868
Andhra Pradesh,14.1 - Communal,2014,120,3,123,43,1,44,18,1,19,0,0,0,181,5,186
Andhra Pradesh,14.2 - Industrial,2014,0,0,0,31,0,31,0,0,0,0,0,0,31,0,31
Andhra Pradesh,14.3 - Political,2014,767,8,775,777,19,796,396,13,409,8,0,8,1948,40,1988
Andhra Pradesh,14.4 - Caste Conflict,2014,31,0,31,17,0,17,7,0,7,0,0,0,55,0,55
Andhra Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,2014,31,0,31,17,0,17,7,0,7,0,0,0,55,0,55
Andhra Pradesh,14.4.2 - Other Caste Riots,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.5 - Agrarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.6 - Students,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.7 - Sectarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.8 - Other Riots,2014,2167,88,2255,1628,111,1739,524,29,553,59,2,61,4378,230,4608
Andhra Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),2014,352,10,362,543,25,568,188,14,202,34,2,36,1117,51,1168
Andhra Pradesh,16 - Cheating (Section 420 IPC),2014,1694,50,1744,3214,143,3357,1698,101,1799,118,9,127,6724,303,7027
Andhra Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",2014,39,1,40,82,6,88,49,4,53,18,0,18,188,11,199
Andhra Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,57,0,57,74,0,74,13,0,13,1,0,1,145,0,145
Andhra Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,2,0,2,4,0,4,0,0,0,0,0,0,6,0,6
Andhra Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,55,0,55,70,0,70,13,0,13,1,0,1,139,0,139
Andhra Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,25,0,25,37,0,37,6,0,6,1,0,1,69,0,69
Andhra Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,11,0,11,19,0,19,2,0,2,0,0,0,32,0,32
Andhra Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,17,0,17,14,0,14,5,0,5,0,0,0,36,0,36
Andhra Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Andhra Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,19 - Arson (Section 435-436 & 438 IPC),2014,129,3,132,265,9,274,88,5,93,2,0,2,484,17,501
Andhra Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,485,40,525,460,72,532,139,25,164,15,2,17,1099,139,1238
Andhra Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),2014,476,40,516,460,72,532,138,25,163,14,2,16,1088,139,1227
Andhra Pradesh,20.2 - Acid attack (Section 326A IPC),2014,5,0,5,0,0,0,1,0,1,1,0,1,7,0,7
Andhra Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),2014,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
Andhra Pradesh,21 - Dowry Deaths (Section 304-B IPC),2014,159,21,180,169,67,236,63,43,106,4,5,9,395,136,531
Andhra Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,2326,35,2361,1859,89,1948,528,31,559,11,1,12,4724,156,4880
Andhra Pradesh,22.1 - Sexual Harassment (Section 354A IPC),2014,511,3,514,423,10,433,101,7,108,2,0,2,1037,20,1057
Andhra Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,212,2,214,124,5,129,31,0,31,1,0,1,368,7,375
Andhra Pradesh,22.3 - Voyeurism (Section 354C IPC),2014,46,0,46,33,0,33,6,0,6,0,0,0,85,0,85
Andhra Pradesh,22.4 - Stalking (Section 354D IPC),2014,265,0,265,199,3,202,41,1,42,0,0,0,505,4,509
Andhra Pradesh,22.5 - Others,2014,1292,30,1322,1080,71,1151,349,23,372,8,1,9,2729,125,2854
Andhra Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),2014,1443,58,1501,1164,28,1192,237,4,241,62,0,62,2906,90,2996
Andhra Pradesh,23.1 - At Office premises,2014,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Andhra Pradesh,23.2 - Places related to work other than Office,2014,49,0,49,55,0,55,3,0,3,0,0,0,107,0,107
Andhra Pradesh,23.3 - In Public Transport system,2014,55,0,55,12,0,12,1,0,1,0,0,0,68,0,68
Andhra Pradesh,23.4 - in Other Places,2014,1339,58,1397,1095,28,1123,233,4,237,62,0,62,2729,90,2819
Andhra Pradesh,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),2014,2664,330,2994,3602,709,4311,1371,392,1763,133,69,202,7770,1500,9270
Andhra Pradesh,25 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,26 - Causing Death by Negligence (Section 304-A IPC),2014,2319,5,2324,3076,7,3083,1279,5,1284,49,0,49,6723,17,6740
Andhra Pradesh,26.1 - Deaths due to negligent driving/act,2014,2295,5,2300,3006,3,3009,1251,2,1253,49,0,49,6601,10,6611
Andhra Pradesh,26.2 - Deaths due to Other Causes,2014,24,0,24,70,4,74,28,3,31,0,0,0,122,7,129
Andhra Pradesh,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,27.1 - Sedition (Section 124A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,27.2 - Other offences against State,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,25,0,25,11,0,11,6,0,6,0,0,0,42,0,42
Andhra Pradesh,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,25,0,25,11,0,11,6,0,6,0,0,0,42,0,42
Andhra Pradesh,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,29 - Extortion (Section 384 - 389 IPC),2014,144,2,146,136,2,138,44,0,44,0,0,0,324,4,328
Andhra Pradesh,30 - Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,5217,27,5244,5616,44,5660,2205,5,2210,370,1,371,13408,77,13485
Andhra Pradesh,32 - Human Trafficking (Section 370 & 370A IPC),2014,4,0,4,3,2,5,0,1,1,0,0,0,7,3,10
Andhra Pradesh,33 - Unnatural Offences U/s 377 IPC,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Andhra Pradesh,34 - Other IPC crimes,2014,30248,2329,32577,32011,3127,35138,11436,1653,13089,1001,108,1109,74696,7217,81913
Andhra Pradesh,35 - Total Cognizable IPC crimes,2014,64656,3308,67964,64092,4895,68987,23390,2455,25845,2213,200,2413,154351,10858,165209
Arunachal Pradesh,1 - Murder (Section 302 IPC),2014,87,2,89,66,2,68,6,1,7,0,0,0,159,5,164
Arunachal Pradesh,2 - Attempt to commit Murder (Section 307 IPC),2014,32,0,32,28,1,29,9,0,9,0,0,0,69,1,70
Arunachal Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
Arunachal Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,5 - Rape (Section 376 IPC),2014,50,2,52,32,0,32,4,0,4,0,0,0,86,2,88
Arunachal Pradesh,5.1 - Custodial Rape,2014,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4
Arunachal Pradesh,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,5.1.2 - Other Rape,2014,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4
Arunachal Pradesh,5.2 - Rape other than Custodial,2014,47,2,49,31,0,31,4,0,4,0,0,0,82,2,84
Arunachal Pradesh,5.2.1 - Gang Rape,2014,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7
Arunachal Pradesh,5.2.2 - Other Rape,2014,40,2,42,31,0,31,4,0,4,0,0,0,75,2,77
Arunachal Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),2014,7,1,8,3,0,3,2,0,2,0,0,0,12,1,13
Arunachal Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,82,9,91,50,9,59,2,2,4,0,0,0,134,20,154
Arunachal Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,16,1,17,9,1,10,0,0,0,0,0,0,25,2,27
Arunachal Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2
Arunachal Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,0,7,2,0,2,0,0,0,0,0,0,9,0,9
Arunachal Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,6,2,8,8,3,11,1,0,1,0,0,0,15,5,20
Arunachal Pradesh,7.5 - Other Kidnapping,2014,52,5,57,31,5,36,1,2,3,0,0,0,84,12,96
Arunachal Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",2014,7,0,7,2,0,2,0,0,0,0,0,0,9,0,9
Arunachal Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,8.2 - Other Dacoity,2014,7,0,7,2,0,2,0,0,0,0,0,0,9,0,9
Arunachal Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2014,64,1,65,23,0,23,7,0,7,0,0,0,94,1,95
Arunachal Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,89,0,89,21,0,21,3,0,3,0,0,0,113,0,113
Arunachal Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,72,0,72,21,0,21,3,0,3,0,0,0,96,0,96
Arunachal Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,17,0,17,0,0,0,0,0,0,0,0,0,17,0,17
Arunachal Pradesh,12 - Theft (Section 379 to 382 IPC),2014,219,7,226,90,2,92,7,0,7,0,0,0,316,9,325
Arunachal Pradesh,12.1 - Auto Theft,2014,52,0,52,16,0,16,0,0,0,0,0,0,68,0,68
Arunachal Pradesh,12.2 - Other Thefts,2014,167,7,174,74,2,76,7,0,7,0,0,0,248,9,257
Arunachal Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",2014,12,0,12,8,1,9,0,0,0,0,0,0,20,1,21
Arunachal Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,70,3,73,46,3,49,13,2,15,0,0,0,129,8,137
Arunachal Pradesh,14.1 - Communal,2014,11,0,11,3,0,3,0,0,0,0,0,0,14,0,14
Arunachal Pradesh,14.2 - Industrial,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.3 - Political,2014,7,3,10,20,3,23,10,2,12,0,0,0,37,8,45
Arunachal Pradesh,14.4 - Caste Conflict,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.4.2 - Other Caste Riots,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.5 - Agrarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.6 - Students,2014,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5
Arunachal Pradesh,14.7 - Sectarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.8 - Other Riots,2014,47,0,47,23,0,23,3,0,3,0,0,0,73,0,73
Arunachal Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),2014,17,2,19,9,0,9,2,0,2,0,0,0,28,2,30
Arunachal Pradesh,16 - Cheating (Section 420 IPC),2014,34,5,39,30,9,39,9,0,9,0,0,0,73,14,87
Arunachal Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",2014,4,1,5,5,0,5,0,0,0,0,0,0,9,1,10
Arunachal Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,19 - Arson (Section 435-436 & 438 IPC),2014,17,0,17,6,0,6,0,0,0,0,0,0,23,0,23
Arunachal Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,191,7,198,86,3,89,25,0,25,0,0,0,302,10,312
Arunachal Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),2014,191,7,198,86,3,89,25,0,25,0,0,0,302,10,312
Arunachal Pradesh,20.2 - Acid attack (Section 326A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,21 - Dowry Deaths (Section 304-B IPC),2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,82,9,91,57,4,61,6,0,6,0,0,0,145,13,158
Arunachal Pradesh,22.1 - Sexual Harassment (Section 354A IPC),2014,13,0,13,13,0,13,0,0,0,0,0,0,26,0,26
Arunachal Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,22.3 - Voyeurism (Section 354C IPC),2014,3,0,3,3,0,3,0,0,0,0,0,0,6,0,6
Arunachal Pradesh,22.4 - Stalking (Section 354D IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,22.5 - Others,2014,66,9,75,41,4,45,6,0,6,0,0,0,113,13,126
Arunachal Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),2014,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
Arunachal Pradesh,23.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,23.2 - Places related to work other than Office,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,23.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,23.4 - in Other Places,2014,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
Arunachal Pradesh,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),2014,14,0,14,21,3,24,5,1,6,0,0,0,40,4,44
Arunachal Pradesh,25 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,26 - Causing Death by Negligence (Section 304-A IPC),2014,21,0,21,11,0,11,5,0,5,0,0,0,37,0,37
Arunachal Pradesh,26.1 - Deaths due to negligent driving/act,2014,21,0,21,10,0,10,4,0,4,0,0,0,35,0,35
Arunachal Pradesh,26.2 - Deaths due to Other Causes,2014,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Arunachal Pradesh,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,27.1 - Sedition (Section 124A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,27.2 - Other offences against State,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,29 - Extortion (Section 384 - 389 IPC),2014,115,0,115,38,1,39,6,0,6,0,0,0,159,1,160
Arunachal Pradesh,30 - Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,54,0,54,15,0,15,1,0,1,0,0,0,70,0,70
Arunachal Pradesh,32 - Human Trafficking (Section 370 & 370A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,33 - Unnatural Offences U/s 377 IPC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,34 - Other IPC crimes,2014,487,17,504,326,8,334,72,1,73,4,0,4,889,26,915
Arunachal Pradesh,35 - Total Cognizable IPC crimes,2014,1760,66,1826,975,46,1021,184,7,191,4,0,4,2923,119,3042
Assam,1 - Murder (Section 302 IPC),2014,1368,16,1384,2058,4,2062,154,0,154,0,0,0,3580,20,3600
Assam,2 - Attempt to commit Murder (Section 307 IPC),2014,526,0,526,1007,6,1013,188,0,188,0,0,0,1721,6,1727
Assam,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,27,0,27,104,0,104,20,0,20,0,0,0,151,0,151
Assam,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,2,0,2,12,0,12,0,0,0,0,0,0,14,0,14
Assam,5 - Rape (Section 376 IPC),2014,1398,0,1398,2017,0,2017,200,0,200,0,0,0,3615,0,3615
Assam,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,5.2 - Rape other than Custodial,2014,1398,0,1398,2017,0,2017,200,0,200,0,0,0,3615,0,3615
Assam,5.2.1 - Gang Rape,2014,17,0,17,25,0,25,2,0,2,0,0,0,44,0,44
Assam,5.2.2 - Other Rape,2014,1381,0,1381,1992,0,1992,198,0,198,0,0,0,3571,0,3571
Assam,6 - Attempt to commit Rape (Section 376/511 IPC),2014,65,0,65,135,0,135,25,0,25,0,0,0,225,0,225
Assam,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,2327,2,2329,4658,5,4663,884,3,887,0,0,0,7869,10,7879
Assam,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
