area_name,year,group_name,age_18_25_yrs,age_25_35_yrs,age_35_45_yrs,age_45_55_yrs,age_above_55_yrs,age_total
Puducherry,2009,Natural Deaths of Policemen while in Service,0,0,0,6,3,9
Punjab,2009,Natural Deaths of Policemen while in Service,0,33,89,65,6,193
Rajasthan,2009,Natural Deaths of Policemen while in Service,3,10,32,39,16,100
Sikkim,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Tamil Nadu,2009,Natural Deaths of Policemen while in Service,0,15,54,115,35,219
Tripura,2009,Natural Deaths of Policemen while in Service,2,2,9,8,3,24
Uttar Pradesh,2009,Natural Deaths of Policemen while in Service,1,16,84,177,98,376
Uttarakhand,2009,Natural Deaths of Policemen while in Service,2,4,3,14,1,24
West Bengal,2009,Natural Deaths of Policemen while in Service,0,3,8,49,28,88
Andaman & Nicobar Islands,2010,Natural Deaths of Policemen while in Service,0,2,13,3,1,19
Andhra Pradesh,2010,Natural Deaths of Policemen while in Service,2,25,63,84,25,199
Arunachal Pradesh,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Assam,2010,Natural Deaths of Policemen while in Service,0,0,9,7,2,18
Bihar,2010,Natural Deaths of Policemen while in Service,0,3,23,38,30,94
Chandigarh,2010,Natural Deaths of Policemen while in Service,0,1,6,7,1,15
Chhattisgarh,2010,Natural Deaths of Policemen while in Service,7,15,18,24,4,68
Dadra & Nagar Haveli,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2010,Natural Deaths of Policemen while in Service,0,12,50,83,35,180
Goa,2010,Natural Deaths of Policemen while in Service,0,2,3,3,2,10
Gujarat,2010,Natural Deaths of Policemen while in Service,4,15,36,92,19,166
Haryana,2010,Natural Deaths of Policemen while in Service,0,3,20,30,2,55
Himachal Pradesh,2010,Natural Deaths of Policemen while in Service,0,0,4,7,1,12
Jammu & Kashmir,2010,Natural Deaths of Policemen while in Service,0,7,10,11,3,31
Jharkhand,2010,Natural Deaths of Policemen while in Service,1,12,17,26,9,65
Karnataka,2010,Natural Deaths of Policemen while in Service,1,15,31,56,33,136
Kerala,2010,Natural Deaths of Policemen while in Service,0,3,6,49,0,58
Lakshadweep,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2010,Natural Deaths of Policemen while in Service,0,13,33,79,28,153
Maharashtra,2010,Natural Deaths of Policemen while in Service,5,33,106,140,21,305
Manipur,2010,Natural Deaths of Policemen while in Service,1,1,6,0,6,14
Meghalaya,2010,Natural Deaths of Policemen while in Service,0,12,8,10,0,30
Mizoram,2010,Natural Deaths of Policemen while in Service,0,0,4,3,2,9
Nagaland,2010,Natural Deaths of Policemen while in Service,0,2,0,1,1,4
Odisha,2010,Natural Deaths of Policemen while in Service,0,4,17,21,9,51
Puducherry,2010,Natural Deaths of Policemen while in Service,0,0,0,11,1,12
Punjab,2010,Natural Deaths of Policemen while in Service,0,21,99,62,19,201
Rajasthan,2010,Natural Deaths of Policemen while in Service,3,13,37,37,12,102
Sikkim,2010,Natural Deaths of Policemen while in Service,1,3,5,7,1,17
Tamil Nadu,2010,Natural Deaths of Policemen while in Service,2,31,47,137,30,247
Tripura,2010,Natural Deaths of Policemen while in Service,0,0,10,8,7,25
Uttar Pradesh,2010,Natural Deaths of Policemen while in Service,4,18,90,213,131,456
Uttarakhand,2010,Natural Deaths of Policemen while in Service,0,1,3,8,1,13
West Bengal,2010,Natural Deaths of Policemen while in Service,0,7,19,50,86,162
Andaman & Nicobar Islands,2001,Suicides by Police Personnel,0,0,0,0,1,1
Andhra Pradesh,2001,Suicides by Police Personnel,0,6,4,0,1,11
Arunachal Pradesh,2001,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2001,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2001,Suicides by Police Personnel,0,0,0,3,0,3
Chandigarh,2001,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2001,Suicides by Police Personnel,0,2,3,3,0,8
Dadra & Nagar Haveli,2001,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2001,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2001,Suicides by Police Personnel,2,1,2,0,0,5
Goa,2001,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2001,Suicides by Police Personnel,1,0,4,2,1,8
Haryana,2001,Suicides by Police Personnel,0,1,1,0,0,2
Himachal Pradesh,2001,Suicides by Police Personnel,0,0,2,1,0,3
Jammu & Kashmir,2001,Suicides by Police Personnel,0,1,1,1,0,3
Jharkhand,2001,Suicides by Police Personnel,0,0,0,0,0,0
Karnataka,2001,Suicides by Police Personnel,0,0,5,2,1,8
Kerala,2001,Suicides by Police Personnel,0,0,0,10,0,10
Lakshadweep,2001,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2001,Suicides by Police Personnel,1,2,5,2,0,10
Maharashtra,2001,Suicides by Police Personnel,0,10,7,3,0,20
Manipur,2001,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2001,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2001,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2001,Suicides by Police Personnel,0,1,0,0,0,1
Odisha,2001,Suicides by Police Personnel,0,0,1,0,1,2
Puducherry,2001,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2001,Suicides by Police Personnel,0,1,0,0,0,1
Rajasthan,2001,Suicides by Police Personnel,0,1,3,1,1,6
Sikkim,2001,Suicides by Police Personnel,1,2,0,0,0,3
Tamil Nadu,2001,Suicides by Police Personnel,0,2,0,1,0,3
Tripura,2001,Suicides by Police Personnel,0,0,0,0,0,0
Uttar Pradesh,2001,Suicides by Police Personnel,0,0,0,0,0,0
Uttarakhand,2001,Suicides by Police Personnel,1,0,0,0,0,1
West Bengal,2001,Suicides by Police Personnel,0,1,2,2,0,5
Andaman & Nicobar Islands,2002,Suicides by Police Personnel,0,0,0,0,0,0
Andhra Pradesh,2002,Suicides by Police Personnel,1,1,2,0,0,4
Arunachal Pradesh,2002,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2002,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2002,Suicides by Police Personnel,0,0,1,0,0,1
Chandigarh,2002,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2002,Suicides by Police Personnel,0,1,2,0,0,3
Dadra & Nagar Haveli,2002,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2002,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2002,Suicides by Police Personnel,0,2,1,0,0,3
Goa,2002,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2002,Suicides by Police Personnel,0,2,1,1,0,4
Haryana,2002,Suicides by Police Personnel,1,3,1,0,0,5
Himachal Pradesh,2002,Suicides by Police Personnel,2,0,2,2,3,9
Jammu & Kashmir,2002,Suicides by Police Personnel,0,1,2,0,0,3
Jharkhand,2002,Suicides by Police Personnel,0,0,0,0,0,0
Karnataka,2002,Suicides by Police Personnel,0,1,7,4,0,12
Kerala,2002,Suicides by Police Personnel,0,1,4,8,0,13
Lakshadweep,2002,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2002,Suicides by Police Personnel,0,2,3,5,0,10
Maharashtra,2002,Suicides by Police Personnel,0,20,15,7,1,43
Manipur,2002,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2002,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2002,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2002,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2002,Suicides by Police Personnel,0,0,0,0,0,0
Puducherry,2002,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2002,Suicides by Police Personnel,0,0,1,0,0,1
Rajasthan,2002,Suicides by Police Personnel,0,2,1,1,1,5
Sikkim,2002,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2002,Suicides by Police Personnel,0,4,2,0,0,6
Tripura,2002,Suicides by Police Personnel,0,0,1,1,0,2
Uttar Pradesh,2002,Suicides by Police Personnel,0,1,1,3,1,6
Uttarakhand,2002,Suicides by Police Personnel,0,0,0,0,0,0
West Bengal,2002,Suicides by Police Personnel,0,1,2,3,1,7
Andaman & Nicobar Islands,2003,Suicides by Police Personnel,0,0,0,0,0,0
Andhra Pradesh,2003,Suicides by Police Personnel,0,5,3,1,0,9
Arunachal Pradesh,2003,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2003,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2003,Suicides by Police Personnel,0,1,0,0,0,1
Chandigarh,2003,Suicides by Police Personnel,0,3,0,0,0,3
Chhattisgarh,2003,Suicides by Police Personnel,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2003,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2003,Suicides by Police Personnel,0,3,1,2,0,6
Goa,2003,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2003,Suicides by Police Personnel,0,4,6,3,0,13
Haryana,2003,Suicides by Police Personnel,0,0,1,0,0,1
Himachal Pradesh,2003,Suicides by Police Personnel,1,2,3,2,1,9
Jammu & Kashmir,2003,Suicides by Police Personnel,0,0,4,0,0,4
Jharkhand,2003,Suicides by Police Personnel,0,1,0,1,0,2
Karnataka,2003,Suicides by Police Personnel,0,0,5,4,0,9
Kerala,2003,Suicides by Police Personnel,0,2,6,6,0,14
Lakshadweep,2003,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2003,Suicides by Police Personnel,0,6,5,0,0,11
Maharashtra,2003,Suicides by Police Personnel,4,7,13,8,1,33
Manipur,2003,Suicides by Police Personnel,1,0,0,0,0,1
Meghalaya,2003,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2003,Suicides by Police Personnel,0,1,0,0,0,1
Nagaland,2003,Suicides by Police Personnel,0,2,0,0,0,2
Odisha,2003,Suicides by Police Personnel,0,0,0,3,0,3
Puducherry,2003,Suicides by Police Personnel,1,0,0,0,0,1
Punjab,2003,Suicides by Police Personnel,0,1,0,0,0,1
Rajasthan,2003,Suicides by Police Personnel,0,0,5,0,0,5
Sikkim,2003,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2003,Suicides by Police Personnel,0,2,6,7,2,17
Tripura,2003,Suicides by Police Personnel,0,0,0,0,0,0
Uttar Pradesh,2003,Suicides by Police Personnel,1,1,0,1,0,3
Uttarakhand,2003,Suicides by Police Personnel,0,0,1,0,0,1
West Bengal,2003,Suicides by Police Personnel,0,3,6,2,2,13
Andaman & Nicobar Islands,2004,Suicides by Police Personnel,0,1,0,0,0,1
Andhra Pradesh,2004,Suicides by Police Personnel,1,4,5,2,0,12
Arunachal Pradesh,2004,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2004,Suicides by Police Personnel,0,0,1,0,0,1
Bihar,2004,Suicides by Police Personnel,0,0,1,0,0,1
Chandigarh,2004,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2004,Suicides by Police Personnel,0,1,4,4,0,9
Dadra & Nagar Haveli,2004,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2004,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2004,Suicides by Police Personnel,0,0,1,4,0,5
Goa,2004,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2004,Suicides by Police Personnel,0,3,3,2,0,8
Haryana,2004,Suicides by Police Personnel,0,0,0,0,0,0
Himachal Pradesh,2004,Suicides by Police Personnel,0,0,0,0,2,2
Jammu & Kashmir,2004,Suicides by Police Personnel,0,1,1,0,0,2
Jharkhand,2004,Suicides by Police Personnel,0,0,0,0,0,0
Karnataka,2004,Suicides by Police Personnel,0,3,2,4,0,9
Kerala,2004,Suicides by Police Personnel,0,0,3,13,0,16
Lakshadweep,2004,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2004,Suicides by Police Personnel,1,2,6,1,0,10
Maharashtra,2004,Suicides by Police Personnel,3,8,9,6,3,29
Manipur,2004,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2004,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2004,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2004,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2004,Suicides by Police Personnel,0,1,0,0,0,1
Puducherry,2004,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2004,Suicides by Police Personnel,0,0,1,0,0,1
Rajasthan,2004,Suicides by Police Personnel,2,2,1,2,0,7
Sikkim,2004,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2004,Suicides by Police Personnel,2,7,7,3,0,19
Tripura,2004,Suicides by Police Personnel,0,2,0,0,0,2
Uttar Pradesh,2004,Suicides by Police Personnel,1,3,4,1,4,13
Uttarakhand,2004,Suicides by Police Personnel,0,0,0,0,0,0
West Bengal,2004,Suicides by Police Personnel,0,0,1,0,0,1
Andaman & Nicobar Islands,2005,Suicides by Police Personnel,1,0,0,0,0,1
Andhra Pradesh,2005,Suicides by Police Personnel,0,1,6,2,0,9
Arunachal Pradesh,2005,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2005,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2005,Suicides by Police Personnel,0,1,0,0,0,1
Chandigarh,2005,Suicides by Police Personnel,0,0,2,1,0,3
Chhattisgarh,2005,Suicides by Police Personnel,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2005,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2005,Suicides by Police Personnel,0,3,3,0,0,6
Goa,2005,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2005,Suicides by Police Personnel,1,1,8,4,0,14
Haryana,2005,Suicides by Police Personnel,0,2,3,2,0,7
Himachal Pradesh,2005,Suicides by Police Personnel,0,0,0,0,0,0
Jammu & Kashmir,2005,Suicides by Police Personnel,0,0,0,0,0,0
Jharkhand,2005,Suicides by Police Personnel,0,0,0,0,0,0
Karnataka,2005,Suicides by Police Personnel,0,3,7,1,1,12
Kerala,2005,Suicides by Police Personnel,0,2,5,7,0,14
Lakshadweep,2005,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2005,Suicides by Police Personnel,0,3,5,8,1,17
Maharashtra,2005,Suicides by Police Personnel,0,4,14,6,2,26
Manipur,2005,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2005,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2005,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2005,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2005,Suicides by Police Personnel,1,0,0,0,0,1
Puducherry,2005,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2005,Suicides by Police Personnel,0,5,11,10,3,29
Rajasthan,2005,Suicides by Police Personnel,0,2,0,0,0,2
Sikkim,2005,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2005,Suicides by Police Personnel,0,8,8,8,0,24
Tripura,2005,Suicides by Police Personnel,0,0,1,1,0,2
Uttar Pradesh,2005,Suicides by Police Personnel,0,0,0,0,0,0
Uttarakhand,2005,Suicides by Police Personnel,0,0,2,1,0,3
West Bengal,2005,Suicides by Police Personnel,0,1,2,2,0,5
Andaman & Nicobar Islands,2006,Suicides by Police Personnel,0,0,0,0,0,0
Andhra Pradesh,2006,Suicides by Police Personnel,0,3,1,1,0,5
Arunachal Pradesh,2006,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2006,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2006,Suicides by Police Personnel,0,1,0,1,0,2
Chandigarh,2006,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2006,Suicides by Police Personnel,2,5,3,7,2,19
Dadra & Nagar Haveli,2006,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2006,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2006,Suicides by Police Personnel,0,1,5,2,1,9
Goa,2006,Suicides by Police Personnel,0,2,0,0,0,2
Gujarat,2006,Suicides by Police Personnel,0,3,3,2,0,8
Haryana,2006,Suicides by Police Personnel,0,1,3,0,0,4
Himachal Pradesh,2006,Suicides by Police Personnel,0,0,0,0,0,0
Jammu & Kashmir,2006,Suicides by Police Personnel,0,1,0,0,0,1
Jharkhand,2006,Suicides by Police Personnel,0,5,1,7,5,18
Karnataka,2006,Suicides by Police Personnel,1,3,0,1,0,5
Kerala,2006,Suicides by Police Personnel,0,6,4,6,0,16
Lakshadweep,2006,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2006,Suicides by Police Personnel,0,4,3,6,0,13
Maharashtra,2006,Suicides by Police Personnel,1,9,20,15,0,45
Manipur,2006,Suicides by Police Personnel,0,0,1,0,0,1
Meghalaya,2006,Suicides by Police Personnel,0,0,2,0,0,2
Mizoram,2006,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2006,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2006,Suicides by Police Personnel,0,2,0,1,0,3
Puducherry,2006,Suicides by Police Personnel,0,0,1,1,0,2
Punjab,2006,Suicides by Police Personnel,0,0,1,0,0,1
Rajasthan,2006,Suicides by Police Personnel,0,1,1,2,1,5
Sikkim,2006,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2006,Suicides by Police Personnel,1,8,7,14,2,32
Tripura,2006,Suicides by Police Personnel,0,0,0,0,1,1
Uttar Pradesh,2006,Suicides by Police Personnel,0,1,1,2,1,5
Uttarakhand,2006,Suicides by Police Personnel,0,0,0,0,0,0
West Bengal,2006,Suicides by Police Personnel,0,1,2,4,2,9
Andaman & Nicobar Islands,2007,Suicides by Police Personnel,0,1,0,0,0,1
Andhra Pradesh,2007,Suicides by Police Personnel,1,2,2,15,4,24
Arunachal Pradesh,2007,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2007,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2007,Suicides by Police Personnel,0,0,1,2,0,3
Chandigarh,2007,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2007,Suicides by Police Personnel,1,0,3,2,0,6
Dadra & Nagar Haveli,2007,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2007,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2007,Suicides by Police Personnel,0,1,4,3,0,8
Goa,2007,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2007,Suicides by Police Personnel,0,1,4,2,0,7
Haryana,2007,Suicides by Police Personnel,0,0,2,0,0,2
Himachal Pradesh,2007,Suicides by Police Personnel,0,0,0,1,0,1
Jammu & Kashmir,2007,Suicides by Police Personnel,0,1,1,2,0,4
Jharkhand,2007,Suicides by Police Personnel,0,0,0,0,0,0
Karnataka,2007,Suicides by Police Personnel,2,4,5,10,3,24
Kerala,2007,Suicides by Police Personnel,0,0,9,9,0,18
Lakshadweep,2007,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2007,Suicides by Police Personnel,0,1,15,17,5,38
Maharashtra,2007,Suicides by Police Personnel,2,3,25,8,1,39
Manipur,2007,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2007,Suicides by Police Personnel,0,0,1,1,0,2
Mizoram,2007,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2007,Suicides by Police Personnel,0,1,1,0,0,2
Odisha,2007,Suicides by Police Personnel,0,0,1,3,0,4
Puducherry,2007,Suicides by Police Personnel,0,1,0,0,0,1
Punjab,2007,Suicides by Police Personnel,0,0,2,0,0,2
Rajasthan,2007,Suicides by Police Personnel,0,0,2,0,0,2
Sikkim,2007,Suicides by Police Personnel,0,3,0,0,0,3
Tamil Nadu,2007,Suicides by Police Personnel,1,7,4,4,0,16
Tripura,2007,Suicides by Police Personnel,0,4,0,0,0,4
Uttar Pradesh,2007,Suicides by Police Personnel,0,0,3,2,2,7
Uttarakhand,2007,Suicides by Police Personnel,0,0,0,0,0,0
West Bengal,2007,Suicides by Police Personnel,0,2,1,3,2,8
Andaman & Nicobar Islands,2008,Suicides by Police Personnel,0,1,1,0,0,2
Andhra Pradesh,2008,Suicides by Police Personnel,0,4,3,3,0,10
Arunachal Pradesh,2008,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2008,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2008,Suicides by Police Personnel,0,0,0,0,0,0
Chandigarh,2008,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2008,Suicides by Police Personnel,1,0,1,0,0,2
Dadra & Nagar Haveli,2008,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2008,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2008,Suicides by Police Personnel,1,2,2,0,0,5
Goa,2008,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2008,Suicides by Police Personnel,0,1,2,3,0,6
Haryana,2008,Suicides by Police Personnel,0,0,0,1,0,1
Himachal Pradesh,2008,Suicides by Police Personnel,0,0,1,0,0,1
Jammu & Kashmir,2008,Suicides by Police Personnel,0,0,0,0,0,0
Jharkhand,2008,Suicides by Police Personnel,0,1,0,3,0,4
Karnataka,2008,Suicides by Police Personnel,1,1,1,1,0,4
Kerala,2008,Suicides by Police Personnel,0,1,3,10,0,14
Lakshadweep,2008,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2008,Suicides by Police Personnel,0,1,1,6,1,9
Maharashtra,2008,Suicides by Police Personnel,3,6,8,16,3,36
Manipur,2008,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2008,Suicides by Police Personnel,0,0,0,0,0,0
Mizoram,2008,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2008,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2008,Suicides by Police Personnel,0,0,1,1,0,2
Puducherry,2008,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2008,Suicides by Police Personnel,0,0,2,0,0,2
Rajasthan,2008,Suicides by Police Personnel,1,1,0,0,4,6
Sikkim,2008,Suicides by Police Personnel,0,2,2,0,0,4
Tamil Nadu,2008,Suicides by Police Personnel,0,2,2,7,1,12
Tripura,2008,Suicides by Police Personnel,1,0,0,1,0,2
Uttar Pradesh,2008,Suicides by Police Personnel,0,3,3,2,0,8
Uttarakhand,2008,Suicides by Police Personnel,0,0,0,1,0,1
West Bengal,2008,Suicides by Police Personnel,0,1,4,3,0,8
Andaman & Nicobar Islands,2009,Suicides by Police Personnel,0,1,0,0,1,2
Andhra Pradesh,2009,Suicides by Police Personnel,2,1,4,1,0,8
Arunachal Pradesh,2009,Suicides by Police Personnel,0,0,1,0,0,1
Assam,2009,Suicides by Police Personnel,0,0,0,0,0,0
Bihar,2009,Suicides by Police Personnel,0,0,0,0,0,0
Chandigarh,2009,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2009,Suicides by Police Personnel,2,0,2,0,0,4
Dadra & Nagar Haveli,2009,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2009,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2009,Suicides by Police Personnel,0,1,3,3,0,7
Goa,2009,Suicides by Police Personnel,0,1,0,0,0,1
Gujarat,2009,Suicides by Police Personnel,0,2,4,3,0,9
Haryana,2009,Suicides by Police Personnel,1,5,4,7,0,17
Himachal Pradesh,2009,Suicides by Police Personnel,0,0,1,0,0,1
Jammu & Kashmir,2009,Suicides by Police Personnel,0,0,0,0,0,0
Jharkhand,2009,Suicides by Police Personnel,0,1,0,0,0,1
Karnataka,2009,Suicides by Police Personnel,0,2,0,2,1,5
Kerala,2009,Suicides by Police Personnel,0,1,4,5,0,10
Lakshadweep,2009,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2009,Suicides by Police Personnel,1,4,7,15,4,31
Maharashtra,2009,Suicides by Police Personnel,1,3,10,9,0,23
Manipur,2009,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2009,Suicides by Police Personnel,0,1,0,0,0,1
Mizoram,2009,Suicides by Police Personnel,0,0,0,0,0,0
Nagaland,2009,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2009,Suicides by Police Personnel,0,1,0,1,0,2
Puducherry,2009,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2009,Suicides by Police Personnel,0,0,2,0,0,2
Rajasthan,2009,Suicides by Police Personnel,1,2,1,0,0,4
Sikkim,2009,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2009,Suicides by Police Personnel,0,7,3,6,1,17
Tripura,2009,Suicides by Police Personnel,0,0,0,2,0,2
Uttar Pradesh,2009,Suicides by Police Personnel,0,1,0,1,1,3
Uttarakhand,2009,Suicides by Police Personnel,0,1,0,1,0,2
West Bengal,2009,Suicides by Police Personnel,1,1,0,7,0,9
Andaman & Nicobar Islands,2010,Suicides by Police Personnel,0,0,2,0,0,2
Andhra Pradesh,2010,Suicides by Police Personnel,1,1,3,2,0,7
Arunachal Pradesh,2010,Suicides by Police Personnel,0,0,0,0,0,0
Assam,2010,Suicides by Police Personnel,0,0,1,0,0,1
Bihar,2010,Suicides by Police Personnel,0,0,0,0,0,0
Chandigarh,2010,Suicides by Police Personnel,0,0,0,0,0,0
Chhattisgarh,2010,Suicides by Police Personnel,1,2,0,1,0,4
Dadra & Nagar Haveli,2010,Suicides by Police Personnel,0,0,0,0,0,0
Daman & Diu,2010,Suicides by Police Personnel,0,0,0,0,0,0
Delhi,2010,Suicides by Police Personnel,0,0,3,1,0,4
Goa,2010,Suicides by Police Personnel,0,0,0,0,0,0
Gujarat,2010,Suicides by Police Personnel,2,2,3,7,1,15
Haryana,2010,Suicides by Police Personnel,3,4,10,10,1,28
Himachal Pradesh,2010,Suicides by Police Personnel,0,0,0,0,0,0
Jammu & Kashmir,2010,Suicides by Police Personnel,0,0,0,2,1,3
Jharkhand,2010,Suicides by Police Personnel,1,0,3,6,1,11
Karnataka,2010,Suicides by Police Personnel,3,1,3,4,2,13
Kerala,2010,Suicides by Police Personnel,0,1,3,5,0,9
Lakshadweep,2010,Suicides by Police Personnel,0,0,0,0,0,0
Madhya Pradesh,2010,Suicides by Police Personnel,0,1,1,3,0,5
Maharashtra,2010,Suicides by Police Personnel,1,10,6,10,3,30
Manipur,2010,Suicides by Police Personnel,0,0,0,0,0,0
Meghalaya,2010,Suicides by Police Personnel,0,0,0,1,0,1
Mizoram,2010,Suicides by Police Personnel,0,2,0,0,0,2
Nagaland,2010,Suicides by Police Personnel,0,0,0,0,0,0
Odisha,2010,Suicides by Police Personnel,0,0,0,0,0,0
Puducherry,2010,Suicides by Police Personnel,0,0,0,0,0,0
Punjab,2010,Suicides by Police Personnel,0,0,4,6,0,10
Rajasthan,2010,Suicides by Police Personnel,0,2,3,0,0,5
Sikkim,2010,Suicides by Police Personnel,0,0,0,0,0,0
Tamil Nadu,2010,Suicides by Police Personnel,3,7,6,2,1,19
Tripura,2010,Suicides by Police Personnel,0,2,0,1,0,3
Uttar Pradesh,2010,Suicides by Police Personnel,0,2,1,3,0,6
Uttarakhand,2010,Suicides by Police Personnel,0,0,0,0,0,0
West Bengal,2010,Suicides by Police Personnel,0,7,2,1,1,11
