area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Andaman & Nicobar Islands,2001,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2001,Against Extremists & Terrorists,4,105,108,14,8
Arunachal Pradesh,2001,Against Extremists & Terrorists,0,0,0,0,0
Assam,2001,Against Extremists & Terrorists,4,26,37,3,9
Bihar,2001,Against Extremists & Terrorists,0,7,12,13,5
Chandigarh,2001,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2001,Against Extremists & Terrorists,14,2,2,14,2
Dadra & Nagar Haveli,2001,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2001,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2001,Against Extremists & Terrorists,0,6,2,13,0
Goa,2001,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2001,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2001,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2001,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2001,Against Extremists & Terrorists,82,97,308,86,26
Jharkhand,2001,Against Extremists & Terrorists,5,12,58,24,22
Karnataka,2001,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2001,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2001,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2001,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2001,Against Extremists & Terrorists,0,7,3,0,0
Manipur,2001,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2001,Against Extremists & Terrorists,1,3,15,1,7
Mizoram,2001,Against Extremists & Terrorists,0,0,1,0,0
Nagaland,2001,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2001,Against Extremists & Terrorists,0,0,0,0,0
Puducherry,2001,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2001,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2001,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2001,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2001,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2001,Against Extremists & Terrorists,0,41,28,18,23
Uttar Pradesh,2001,Against Extremists & Terrorists,0,3,1,0,0
Uttarakhand,2001,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2001,Against Extremists & Terrorists,0,0,1,4,0
Andaman & Nicobar Islands,2002,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2002,Against Extremists & Terrorists,11,75,71,19,2
Arunachal Pradesh,2002,Against Extremists & Terrorists,0,0,0,0,0
Assam,2002,Against Extremists & Terrorists,3,34,16,1,0
Bihar,2002,Against Extremists & Terrorists,0,0,8,2,1
Chandigarh,2002,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2002,Against Extremists & Terrorists,1,1,13,4,1
Dadra & Nagar Haveli,2002,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2002,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2002,Against Extremists & Terrorists,0,0,0,0,0
Goa,2002,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2002,Against Extremists & Terrorists,0,2,1,0,0
Haryana,2002,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2002,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2002,Against Extremists & Terrorists,49,20,350,25,13
Jharkhand,2002,Against Extremists & Terrorists,2,8,29,18,13
Karnataka,2002,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2002,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2002,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2002,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2002,Against Extremists & Terrorists,0,1,1,1,0
Manipur,2002,Against Extremists & Terrorists,0,0,1,1,0
Meghalaya,2002,Against Extremists & Terrorists,0,3,13,0,0
Mizoram,2002,Against Extremists & Terrorists,1,0,1,0,0
Nagaland,2002,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2002,Against Extremists & Terrorists,0,0,0,0,0
Puducherry,2002,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2002,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2002,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2002,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2002,Against Extremists & Terrorists,1,1,2,7,0
Tripura,2002,Against Extremists & Terrorists,0,21,34,24,40
Uttar Pradesh,2002,Against Extremists & Terrorists,0,1,1,3,1
Uttarakhand,2002,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2002,Against Extremists & Terrorists,0,8,10,7,3
Andaman & Nicobar Islands,2003,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2003,Against Extremists & Terrorists,4,85,103,10,5
Arunachal Pradesh,2003,Against Extremists & Terrorists,0,0,0,0,0
Assam,2003,Against Extremists & Terrorists,9,57,45,6,0
Bihar,2003,Against Extremists & Terrorists,0,2,3,9,3
Chandigarh,2003,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2003,Against Extremists & Terrorists,0,0,0,0,0
Dadra & Nagar Haveli,2003,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2003,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2003,Against Extremists & Terrorists,0,0,0,0,0
Goa,2003,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2003,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2003,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2003,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2003,Against Extremists & Terrorists,15,9,80,8,1
Jharkhand,2003,Against Extremists & Terrorists,10,12,42,11,2
Karnataka,2003,Against Extremists & Terrorists,1,3,2,2,0
Kerala,2003,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2003,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2003,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2003,Against Extremists & Terrorists,0,8,7,7,6
Manipur,2003,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2003,Against Extremists & Terrorists,0,6,20,0,1
Mizoram,2003,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2003,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2003,Against Extremists & Terrorists,0,0,0,0,0
Puducherry,2003,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2003,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2003,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2003,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2003,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2003,Against Extremists & Terrorists,25,40,69,55,39
Uttar Pradesh,2003,Against Extremists & Terrorists,0,0,0,1,0
Uttarakhand,2003,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2003,Against Extremists & Terrorists,2,7,5,14,1
Andaman & Nicobar Islands,2004,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2004,Against Extremists & Terrorists,12,21,49,6,1
Arunachal Pradesh,2004,Against Extremists & Terrorists,1,0,1,0,0
Assam,2004,Against Extremists & Terrorists,2,7,11,1,1
Bihar,2004,Against Extremists & Terrorists,4,1,3,12,0
Chandigarh,2004,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2004,Against Extremists & Terrorists,0,0,31,0,0
Dadra & Nagar Haveli,2004,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2004,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2004,Against Extremists & Terrorists,0,1,1,0,0
Goa,2004,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2004,Against Extremists & Terrorists,0,4,1,0,0
Haryana,2004,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2004,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2004,Against Extremists & Terrorists,18,12,112,14,11
Jharkhand,2004,Against Extremists & Terrorists,0,0,0,0,0
Karnataka,2004,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2004,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2004,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2004,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2004,Against Extremists & Terrorists,3,3,14,14,6
Manipur,2004,Against Extremists & Terrorists,0,1,18,6,15
Meghalaya,2004,Against Extremists & Terrorists,0,2,1,0,0
Mizoram,2004,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2004,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2004,Against Extremists & Terrorists,0,0,0,0,0
Puducherry,2004,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2004,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2004,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2004,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2004,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2004,Against Extremists & Terrorists,50,31,37,2,8
Uttar Pradesh,2004,Against Extremists & Terrorists,0,0,3,4,7
Uttarakhand,2004,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2004,Against Extremists & Terrorists,0,2,4,1,2
Andaman & Nicobar Islands,2005,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2005,Against Extremists & Terrorists,1,84,79,5,1
Arunachal Pradesh,2005,Against Extremists & Terrorists,1,1,1,1,0
Assam,2005,Against Extremists & Terrorists,2,8,13,2,2
Bihar,2005,Against Extremists & Terrorists,13,7,8,25,9
Chandigarh,2005,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2005,Against Extremists & Terrorists,0,0,46,1,1
Dadra & Nagar Haveli,2005,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2005,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2005,Against Extremists & Terrorists,0,0,0,0,0
Goa,2005,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2005,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2005,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2005,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2005,Against Extremists & Terrorists,0,38,46,29,0
Jharkhand,2005,Against Extremists & Terrorists,0,0,0,0,0
Karnataka,2005,Against Extremists & Terrorists,0,2,1,2,0
Kerala,2005,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2005,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2005,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2005,Against Extremists & Terrorists,6,0,35,15,18
Manipur,2005,Against Extremists & Terrorists,0,0,5,1,0
Meghalaya,2005,Against Extremists & Terrorists,0,7,4,0,0
Mizoram,2005,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2005,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2005,Against Extremists & Terrorists,0,0,0,0,0
Puducherry,2005,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2005,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2005,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2005,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2005,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2005,Against Extremists & Terrorists,8,17,32,5,5
Uttar Pradesh,2005,Against Extremists & Terrorists,1,2,1,4,0
Uttarakhand,2005,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2005,Against Extremists & Terrorists,0,0,3,0,0
Andaman & Nicobar Islands,2006,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2006,Against Extremists & Terrorists,3,67,43,2,1
Arunachal Pradesh,2006,Against Extremists & Terrorists,0,0,0,0,0
Assam,2006,Against Extremists & Terrorists,0,4,11,4,1
Bihar,2006,Against Extremists & Terrorists,0,5,5,2,4
Chandigarh,2006,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2006,Against Extremists & Terrorists,0,138,213,7,29
Dadra & Nagar Haveli,2006,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2006,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2006,Against Extremists & Terrorists,0,2,1,0,0
Goa,2006,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2006,Against Extremists & Terrorists,0,4,1,1,0
Haryana,2006,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2006,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2006,Against Extremists & Terrorists,0,0,112,9,6
Jharkhand,2006,Against Extremists & Terrorists,0,5,28,5,1
Karnataka,2006,Against Extremists & Terrorists,0,1,2,2,0
Kerala,2006,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2006,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2006,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2006,Against Extremists & Terrorists,6,8,17,69,3
Manipur,2006,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2006,Against Extremists & Terrorists,3,9,3,0,0
Mizoram,2006,Against Extremists & Terrorists,3,1,4,0,0
Nagaland,2006,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2006,Against Extremists & Terrorists,0,0,1,13,3
Puducherry,2006,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2006,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2006,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2006,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2006,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2006,Against Extremists & Terrorists,1,2,29,0,0
Uttar Pradesh,2006,Against Extremists & Terrorists,0,0,0,0,0
Uttarakhand,2006,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2006,Against Extremists & Terrorists,0,0,1,2,0
Andaman & Nicobar Islands,2007,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2007,Against Extremists & Terrorists,0,17,34,9,2
Arunachal Pradesh,2007,Against Extremists & Terrorists,0,0,0,0,0
Assam,2007,Against Extremists & Terrorists,2,8,26,7,19
Bihar,2007,Against Extremists & Terrorists,2,4,4,1,4
Chandigarh,2007,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2007,Against Extremists & Terrorists,0,6,33,0,10
Dadra & Nagar Haveli,2007,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2007,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2007,Against Extremists & Terrorists,0,0,0,0,0
Goa,2007,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2007,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2007,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2007,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2007,Against Extremists & Terrorists,0,7,41,2,0
Jharkhand,2007,Against Extremists & Terrorists,0,0,0,0,0
Karnataka,2007,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2007,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2007,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2007,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2007,Against Extremists & Terrorists,1,4,15,26,3
Manipur,2007,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2007,Against Extremists & Terrorists,2,5,2,2,1
Mizoram,2007,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2007,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2007,Against Extremists & Terrorists,0,0,2,0,0
Puducherry,2007,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2007,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2007,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2007,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2007,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2007,Against Extremists & Terrorists,2,3,25,2,3
Uttar Pradesh,2007,Against Extremists & Terrorists,0,0,1,0,0
Uttarakhand,2007,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2007,Against Extremists & Terrorists,0,0,0,0,0
Andaman & Nicobar Islands,2008,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2008,Against Extremists & Terrorists,0,16,13,7,2
Arunachal Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Assam,2008,Against Extremists & Terrorists,3,5,9,0,1
Bihar,2008,Against Extremists & Terrorists,1,3,1,2,5
Chandigarh,2008,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2008,Against Extremists & Terrorists,0,0,52,58,37
Dadra & Nagar Haveli,2008,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2008,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2008,Against Extremists & Terrorists,0,2,1,1,1
Goa,2008,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2008,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2008,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2008,Against Extremists & Terrorists,10,4,29,48,18
Jharkhand,2008,Against Extremists & Terrorists,0,2,70,4,24
Karnataka,2008,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2008,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2008,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2008,Against Extremists & Terrorists,1,22,19,29,20
Manipur,2008,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2008,Against Extremists & Terrorists,0,2,2,0,0
Mizoram,2008,Against Extremists & Terrorists,0,0,1,2,4
Nagaland,2008,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2008,Against Extremists & Terrorists,0,0,0,6,14
Puducherry,2008,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2008,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2008,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2008,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2008,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2008,Against Extremists & Terrorists,0,17,32,0,0
Uttar Pradesh,2008,Against Extremists & Terrorists,0,6,3,0,0
Uttarakhand,2008,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2008,Against Extremists & Terrorists,0,0,0,0,0
Andaman & Nicobar Islands,2009,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2009,Against Extremists & Terrorists,0,10,12,0,0
Arunachal Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Assam,2009,Against Extremists & Terrorists,2,7,11,1,1
Bihar,2009,Against Extremists & Terrorists,2,1,2,2,4
Chandigarh,2009,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2009,Against Extremists & Terrorists,0,0,49,23,5
Dadra & Nagar Haveli,2009,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2009,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2009,Against Extremists & Terrorists,0,0,0,2,0
Goa,2009,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2009,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2009,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2009,Against Extremists & Terrorists,0,21,20,17,8
Jharkhand,2009,Against Extremists & Terrorists,0,0,70,0,0
Karnataka,2009,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2009,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2009,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2009,Against Extremists & Terrorists,1,4,9,14,51
Manipur,2009,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2009,Against Extremists & Terrorists,0,0,0,0,0
Mizoram,2009,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2009,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2009,Against Extremists & Terrorists,0,1,9,35,22
Puducherry,2009,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2009,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2009,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2009,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2009,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2009,Against Extremists & Terrorists,1,0,5,1,1
Uttar Pradesh,2009,Against Extremists & Terrorists,0,0,1,0,0
Uttarakhand,2009,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2009,Against Extremists & Terrorists,0,0,0,0,5
Andaman & Nicobar Islands,2010,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2010,Against Extremists & Terrorists,0,1,1,0,0
Arunachal Pradesh,2010,Against Extremists & Terrorists,0,0,0,0,0
Assam,2010,Against Extremists & Terrorists,0,1,2,0,0
Bihar,2010,Against Extremists & Terrorists,0,0,0,0,0
