state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
PUDUCHERRY,2004,0,0,56,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,68,0,1,9,483,0,1,86,634
TOTAL (UTs),2004,19,97,1546,5389,0,6,0,318,0,0,1,7,1,4,3,1063,0,0,4,0,9,41,421,3212,4,326,298,11286,33,474,2273,21275
TOTAL (ALL-INDIA),2004,2323,3220,61317,76520,965,4414,142,7817,8,12,2,171,147,464,94,13752,69,102,333,345,358,1002,14263,25132,1441,9244,16339,149308,5311,18458,92490,273045
ANDHRA PRADESH,2005,109,262,5502,6920,59,165,2,150,0,0,0,4,3,9,0,797,2,0,21,9,14,27,1279,1872,63,331,1150,14026,250,794,7954,23778
ARUNACHAL PRADESH,2005,10,18,142,241,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,13,72,99,8,41,49,181,23,77,263,531
ASSAM,2005,213,128,1145,2845,43,76,24,214,1,5,0,4,2,16,2,66,3,0,1,2,14,29,501,1054,58,197,582,2184,334,451,2255,6369
BIHAR,2005,768,258,2346,5369,173,1032,8,211,0,1,0,1,44,68,13,1198,16,7,3,3,38,67,139,887,173,941,608,3143,1212,2374,3117,10812
CHHATTISGARH,2005,78,59,3098,1401,3,42,4,144,0,1,0,0,25,20,10,275,3,3,26,7,6,12,263,498,89,264,220,3275,204,401,3621,5600
GOA,2005,0,3,125,70,0,7,0,9,0,0,0,0,0,0,1,7,0,2,3,1,1,5,88,70,1,11,48,338,2,28,265,495
GUJARAT,2005,82,175,3306,4137,44,104,5,95,0,1,0,28,2,47,0,917,0,1,14,22,40,71,996,3021,114,567,1011,9744,282,966,5332,17964
HARYANA,2005,13,49,2416,2121,11,67,0,210,0,0,0,0,1,5,3,195,3,9,21,2,9,28,589,1142,51,232,408,5024,88,390,3437,8694
HIMACHAL PRADESH,2005,1,7,308,126,1,4,0,26,0,0,0,0,0,0,0,0,0,0,15,0,0,4,184,51,4,7,189,493,6,22,696,696
JAMMU & KASHMIR,2005,4,40,636,488,0,0,0,34,0,0,0,0,0,0,0,0,0,8,1,0,0,8,311,126,9,60,449,1253,13,116,1397,1901
JHARKHAND,2005,254,118,1374,3554,188,430,0,96,0,0,0,0,7,7,4,162,17,8,1,4,14,21,126,857,112,148,105,1522,592,732,1610,6195
KARNATAKA,2005,48,160,3846,3661,28,31,1,54,0,0,0,5,1,8,5,480,1,1,28,7,12,67,970,1829,118,935,1136,10972,208,1202,5986,17008
KERALA,2005,33,155,2285,1664,10,32,0,98,0,0,0,2,0,3,1,158,1,1,6,1,15,55,773,393,51,375,1045,3138,110,621,4110,5454
MADHYA PRADESH,2005,45,154,8020,6560,19,214,2,249,0,1,0,35,1,34,8,1673,0,3,12,11,5,65,1312,2190,77,1086,1838,9967,147,1557,11192,20685
MAHARASHTRA,2005,195,328,9401,8032,65,252,45,649,0,2,0,10,11,50,3,2655,10,9,75,28,75,178,2925,3398,285,1592,3166,32079,641,2411,15615,46851
MANIPUR,2005,0,1,15,29,4,2,1,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,96,0,5,15,100,4,8,62,243
MEGHALAYA,2005,20,15,82,133,32,37,0,10,0,0,0,0,0,0,0,0,1,0,2,0,9,3,20,20,19,40,44,313,81,95,148,476
MIZORAM,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,442,777,3,6,442,777
NAGALAND,2005,1,13,51,101,8,28,0,61,0,0,0,0,0,0,0,0,0,2,0,8,0,2,25,41,3,35,17,83,12,80,93,294
ODISHA,2005,86,197,1926,1700,37,347,0,74,0,2,0,0,1,147,13,404,5,9,82,0,24,157,527,1576,31,139,481,2989,184,998,3029,6743
PUNJAB,2005,6,34,1048,716,1,1,0,32,0,0,0,0,1,0,0,29,1,4,28,1,0,11,483,374,18,35,374,1772,27,85,1933,2924
RAJASTHAN,2005,2,13,3058,2355,8,35,0,63,0,0,0,6,1,4,0,459,0,4,33,0,4,6,1247,1528,26,528,889,13487,41,590,5227,17898
SIKKIM,2005,2,3,47,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,23,51,2,4,85,81
TAMIL NADU,2005,26,114,2353,4179,17,26,1,115,0,0,0,6,1,3,5,169,0,0,17,4,1,27,451,1995,28,267,911,9383,73,437,3738,15851
TRIPURA,2005,17,36,110,184,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,61,5,19,19,80,22,61,170,325
UTTAR PRADESH,2005,129,197,3067,4338,55,1034,0,4129,0,0,0,0,10,32,4,1108,1,11,1,1,11,21,299,904,80,754,1185,10215,286,2049,4556,20695
UTTARAKHAND,2005,22,39,349,682,11,57,0,33,0,0,0,0,0,0,0,0,1,1,0,1,3,2,115,108,11,60,57,806,48,159,521,1630
WEST BENGAL,2005,90,100,306,7671,20,47,1,110,0,0,0,0,4,7,0,676,7,2,4,0,30,39,53,1031,60,231,375,2636,211,426,739,12124
TOTAL (STATES),2005,2254,2676,56362,69304,837,4077,94,6892,1,13,0,101,115,460,72,11428,72,85,394,114,330,922,13835,25224,1497,8907,16836,140031,5106,17140,87593,253094
A & N ISLANDS,2005,0,1,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,41,0,4,68,92
CHANDIGARH,2005,0,0,134,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,86,173,0,12,0,984,0,12,223,1373
D & N HAVELI,2005,0,0,11,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11,29,1,2,3,28,3,2,25,74
DAMAN & DIU,2005,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13,4,0,5,37,4,0,37,50
DELHI,2005,12,91,1485,1453,0,1,0,133,0,0,0,0,0,9,0,648,1,0,0,0,6,38,394,333,8,371,214,15388,27,510,2093,17955
LAKSHADWEEP,2005,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,7
PUDUCHERRY,2005,1,1,38,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,0,4,14,344,1,5,67,466
TOTAL (UTs),2005,13,93,1756,1789,0,1,0,133,0,0,0,1,0,9,0,648,1,0,4,0,8,38,519,617,13,392,236,16829,35,533,2515,20017
TOTAL (ALL-INDIA),2005,2267,2769,58118,71093,837,4078,94,7025,1,13,0,102,115,469,72,12076,73,85,398,114,338,960,14354,25841,1510,9299,17072,156860,5141,17673,90108,273111
ANDHRA PRADESH,2006,77,223,6191,9766,42,101,50,330,0,3,0,18,7,15,0,621,0,0,24,3,10,32,1124,2970,42,305,915,9802,178,679,8304,23510
ARUNACHAL PRADESH,2006,15,30,113,193,3,12,0,10,0,0,0,0,0,0,0,0,0,0,1,0,3,12,54,67,7,20,89,181,28,74,257,451
ASSAM,2006,208,195,1690,3645,36,91,42,95,1,3,0,2,6,4,57,603,5,13,0,1,15,70,415,975,48,168,707,2499,319,544,2911,7820
BIHAR,2006,688,240,2759,5640,109,1024,147,650,0,0,0,0,51,72,13,1351,6,3,2,18,41,63,153,944,106,767,457,3149,1001,2169,3531,11752
CHHATTISGARH,2006,77,74,2828,1343,24,70,20,55,1,0,0,1,1,6,0,237,0,4,10,7,5,4,254,381,52,281,395,3238,160,439,3507,5262
GOA,2006,5,4,121,66,0,3,0,5,0,0,0,1,0,0,0,2,0,0,7,1,0,2,75,38,2,8,49,381,7,17,252,494
GUJARAT,2006,77,192,3241,4060,51,96,26,81,1,0,0,9,4,58,0,813,0,0,29,18,28,103,1109,2859,129,521,1125,10635,290,970,5530,18475
HARYANA,2006,17,53,2906,2206,32,72,5,205,0,1,0,0,3,6,0,267,2,0,20,7,12,43,799,1630,38,235,271,6203,104,410,4001,10518
HIMACHAL PRADESH,2006,1,2,370,84,2,4,0,13,0,0,0,0,0,0,0,0,0,0,12,1,0,0,180,113,4,23,192,601,7,29,754,812
JAMMU & KASHMIR,2006,4,30,583,365,0,0,0,91,0,0,0,0,0,0,0,0,0,1,2,0,0,12,265,178,6,69,501,1303,10,112,1351,1937
JHARKHAND,2006,223,165,1208,2624,171,337,24,65,0,0,0,0,34,70,0,351,9,4,1,6,24,40,90,648,75,163,105,2479,536,779,1428,6173
KARNATAKA,2006,63,217,4126,3429,14,55,14,91,0,0,0,8,3,11,2,407,1,8,37,4,22,89,1221,1951,99,969,567,9011,202,1349,5967,14901
KERALA,2006,32,192,2281,1628,13,29,0,76,1,0,0,1,0,6,3,153,2,1,53,2,14,48,782,595,67,415,1126,2976,129,691,4245,5431
MADHYA PRADESH,2006,66,252,8299,7099,23,221,25,332,0,0,6,28,1,34,2,1402,1,2,17,3,7,47,1166,1915,53,1214,1445,10954,151,1770,10960,21733
MAHARASHTRA,2006,162,331,9490,7735,64,282,78,478,1,0,0,7,16,62,1,2788,5,9,87,31,82,171,3471,3606,333,1719,2750,31828,663,2574,15877,46473
MANIPUR,2006,0,0,12,48,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,1,5,7,230,2,8,55,290
MEGHALAYA,2006,18,17,58,153,21,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,27,17,24,61,251,57,65,140,470
MIZORAM,2006,0,0,136,170,0,1,126,144,7,3,0,5,0,0,0,0,0,0,0,0,0,0,84,200,0,6,76,239,7,10,422,758
NAGALAND,2006,1,14,44,96,7,16,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,16,10,37,7,38,16,191,16,84,70,327
ODISHA,2006,84,176,1880,1334,76,498,2,3,0,0,0,0,2,13,36,409,27,3,23,0,2,103,591,286,48,391,588,4535,239,1184,3120,6567
PUNJAB,2006,12,36,1206,1245,1,3,1,49,0,0,0,2,0,1,0,51,1,9,30,9,7,21,452,486,14,72,588,2104,35,142,2277,3946
RAJASTHAN,2006,5,26,2949,2590,9,56,0,130,0,0,0,7,1,7,0,412,0,2,21,0,2,18,1128,1480,20,522,987,13270,37,631,5085,17889
SIKKIM,2006,0,2,55,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,7,16,47,0,9,84,113
TAMIL NADU,2006,32,188,2230,3224,11,23,2,111,0,0,0,10,1,3,2,155,0,1,7,4,6,23,454,1676,45,212,605,8471,95,450,3300,13651
TRIPURA,2006,8,25,101,210,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,42,68,4,38,39,109,18,71,182,392
UTTAR PRADESH,2006,95,131,3138,4869,42,864,0,6037,0,0,0,0,5,22,0,761,3,6,0,0,6,11,280,640,67,990,1159,8140,218,2024,4577,20447
UTTARAKHAND,2006,22,24,349,450,2,36,0,18,0,0,0,0,0,0,0,65,0,1,0,0,0,5,52,109,7,91,69,1054,31,157,470,1696
WEST BENGAL,2006,55,47,273,5664,19,60,1,32,0,0,0,0,7,15,0,1021,10,2,4,7,28,36,29,1679,58,266,294,4129,177,426,601,12532
TOTAL (STATES),2006,2047,2886,58637,69993,776,3985,563,9151,12,10,6,99,142,405,116,11871,72,69,387,122,319,973,14350,25574,1349,9539,15199,138010,4717,17867,89258,254820
A & N ISLANDS,2006,0,0,50,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,12,7,0,5,20,62,0,5,82,101
CHANDIGARH,2006,0,2,107,489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,72,378,0,28,10,367,1,34,189,1234
D & N HAVELI,2006,2,4,15,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,16,7,2,1,10,36,5,5,41,61
DAMAN & DIU,2006,3,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29,14,4,0,7,47,8,1,60,63
DELHI,2006,4,60,1096,4383,0,2,0,0,0,0,0,0,0,2,0,947,0,1,6,2,5,29,216,653,5,447,632,11513,14,541,1950,17498
LAKSHADWEEP,2006,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,17
PUDUCHERRY,2006,2,1,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,42,0,1,7,440,2,3,84,560
TOTAL (UTs),2006,11,67,1344,4996,0,2,0,0,0,0,0,17,0,2,0,947,1,1,6,4,7,35,372,1101,11,482,686,12469,30,589,2408,19534
TOTAL (ALL-INDIA),2006,2058,2953,59981,74989,776,3987,563,9151,12,10,6,116,142,407,116,12818,73,70,393,126,326,1008,14722,26675,1360,10021,15885,150479,4747,18456,91666,274354
ANDHRA PRADESH,2007,53,221,5208,9117,35,101,31,133,0,0,0,42,3,12,0,751,0,4,17,26,2,19,1085,2395,77,257,1336,11927,170,614,7677,24391
ARUNACHAL PRADESH,2007,5,30,110,232,2,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,18,65,82,8,21,65,176,16,75,240,513
ASSAM,2007,182,140,1253,3233,38,64,157,385,1,3,11,2,3,13,5,72,0,0,0,34,19,76,395,930,56,200,782,3098,299,496,2603,7754
BIHAR,2007,422,282,2671,5629,117,890,2,403,1,0,0,1,35,45,10,1164,14,9,1,13,28,47,196,1144,69,514,379,3441,686,1787,3259,11795
CHHATTISGARH,2007,59,42,2853,1254,15,61,5,26,0,1,0,1,3,3,0,201,1,10,6,7,3,9,265,571,34,301,503,3321,115,427,3632,5381
GOA,2007,2,1,144,66,2,2,0,5,0,0,0,2,0,0,0,5,0,0,10,1,2,3,69,46,1,16,69,369,7,22,292,494
GUJARAT,2007,75,178,2956,4161,37,68,8,79,0,1,0,12,8,35,0,738,4,1,26,26,21,48,909,2652,100,764,971,10496,245,1095,4870,18164
HARYANA,2007,10,49,2921,1600,31,83,9,186,0,0,0,0,3,18,1,427,1,6,16,1,4,34,920,1707,90,312,364,7126,139,502,4231,11047
HIMACHAL PRADESH,2007,0,3,422,93,0,6,0,43,0,0,0,0,0,0,0,0,0,0,5,1,3,1,192,51,2,13,258,904,5,23,877,1092
JAMMU & KASHMIR,2007,11,45,755,368,0,3,0,0,0,0,0,0,0,0,5,470,0,5,3,5,0,21,366,172,7,37,331,1071,18,111,1460,2086
JHARKHAND,2007,256,149,1248,3050,161,348,1,63,0,0,0,0,23,24,37,417,8,4,1,4,9,44,91,874,67,202,117,2683,524,771,1495,7091
KARNATAKA,2007,51,185,3788,3753,22,56,3,110,0,0,0,2,3,21,0,367,1,5,34,19,7,81,1083,1934,94,965,541,8166,178,1313,5449,14351
KERALA,2007,17,172,2155,1876,21,30,0,53,1,0,0,2,0,6,1,158,3,0,31,1,8,52,822,425,71,609,1091,3094,121,869,4100,5609
MADHYA PRADESH,2007,45,119,8286,6754,15,238,19,455,0,2,6,27,3,22,2,1340,0,6,11,8,34,59,1386,2165,46,1529,1520,11647,143,1975,11230,22396
MAHARASHTRA,2007,127,263,9624,9069,79,237,12,447,3,1,0,10,12,68,0,2924,2,0,64,42,54,141,3027,3195,439,2060,2880,31994,716,2770,15607,47681
MANIPUR,2007,0,1,15,91,1,6,0,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43,21,2,4,12,319,3,11,70,454
MEGHALAYA,2007,10,17,103,145,19,23,6,34,0,0,0,0,0,0,0,0,0,0,0,0,2,2,44,100,24,14,50,221,55,56,203,500
MIZORAM,2007,0,0,300,346,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,250,0,4,66,211,0,5,457,808
NAGALAND,2007,0,20,89,133,7,29,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,0,26,19,102,7,75,118,360
ODISHA,2007,76,139,1650,1864,50,409,131,37,0,0,0,43,2,9,0,291,9,10,12,0,41,103,498,332,69,603,782,4263,247,1273,3073,6830
PUNJAB,2007,6,18,1160,1557,3,7,1,39,0,0,0,0,0,0,3,34,2,3,15,132,8,9,661,655,18,101,776,2756,37,138,2616,5173
RAJASTHAN,2007,6,15,3105,2871,6,51,0,0,0,0,0,10,1,0,0,483,0,2,32,0,2,19,1164,1743,56,691,863,14238,71,778,5164,19345
SIKKIM,2007,0,6,49,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,21,22,0,6,83,118
TAMIL NADU,2007,24,146,2294,3312,14,46,1,145,1,0,0,9,2,4,4,144,0,0,23,38,8,26,504,2098,39,273,891,7471,88,495,3717,13217
TRIPURA,2007,2,25,119,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,30,11,33,47,166,14,64,193,411
UTTAR PRADESH,2007,130,167,3521,3563,47,792,0,8244,0,0,0,0,11,27,0,1279,1,6,1,0,12,77,291,1182,236,1100,1244,8548,437,2169,5057,22816
UTTARAKHAND,2007,20,29,366,894,17,56,0,26,0,0,0,0,0,1,0,19,2,1,0,0,2,3,77,221,5,83,105,433,46,173,548,1593
WEST BENGAL,2007,51,55,214,3372,8,44,0,48,0,0,0,2,10,13,3,739,8,5,0,1,14,43,21,1379,55,267,161,8206,146,427,399,13747
TOTAL (STATES),2007,1640,2517,57379,68685,748,3657,386,11021,7,8,17,166,122,321,71,12023,56,77,308,360,284,941,14315,26493,1676,10999,16244,146469,4533,18520,88720,265217
A & N ISLANDS,2007,0,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,31,5,9,21,58,5,9,90,112
CHANDIGARH,2007,0,0,55,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,119,501,2,37,15,768,2,37,191,1740
D & N HAVELI,2007,0,0,13,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,42,1,3,13,27,1,3,28,87
DAMAN & DIU,2007,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,34,3,2,1,1,31,3,2,46,43
DELHI,2007,10,45,1433,4113,0,6,0,0,0,0,0,0,1,2,1,739,0,0,0,5,3,30,287,1078,20,474,334,11102,34,557,2055,17037
LAKSHADWEEP,2007,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,20
PUDUCHERRY,2007,0,2,47,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,1,6,10,645,1,8,86,787
TOTAL (UTs),2007,10,47,1620,4742,0,6,0,0,0,0,0,1,1,2,1,739,0,1,2,6,4,30,481,1707,31,530,394,12631,46,616,2498,19826
TOTAL (ALL-INDIA),2007,1650,2564,58999,73427,748,3663,386,11021,7,8,17,167,123,323,72,12762,56,78,310,366,288,971,14796,28200,1707,11529,16638,159100,4579,19136,91218,285043
ANDHRA PRADESH,2008,45,226,6185,9532,28,91,0,305,0,0,0,1,0,6,1,799,0,0,18,28,3,25,931,2569,34,275,1197,12128,110,623,8332,25362
ARUNACHAL PRADESH,2008,3,22,96,135,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,28,74,66,7,21,75,237,14,79,245,445
ASSAM,2008,190,213,1643,3350,36,76,29,219,6,3,1,15,5,1,0,9,2,0,0,2,25,51,437,961,48,224,1037,3456,312,568,3147,8012
BIHAR,2008,412,244,2852,5833,99,724,0,232,0,21,0,1,25,36,0,868,12,4,3,11,35,57,202,1566,103,506,357,4695,686,1592,3414,13206
CHHATTISGARH,2008,36,58,3225,1404,10,101,2,5,0,0,0,1,0,3,0,210,0,8,12,8,1,17,269,466,77,313,604,3985,124,500,4112,6079
GOA,2008,0,3,173,81,1,1,0,2,0,0,0,4,0,0,0,8,0,0,2,0,1,0,98,47,1,19,29,459,3,23,302,601
GUJARAT,2008,87,201,2932,4194,34,58,7,79,1,2,0,4,4,13,0,779,0,2,20,19,25,133,949,2411,105,913,1145,13229,256,1322,5053,20715
HARYANA,2008,23,84,2800,2081,29,119,11,187,0,1,0,0,1,22,1,497,3,12,21,4,13,28,977,2562,51,289,439,7378,120,555,4249,12709
HIMACHAL PRADESH,2008,1,1,404,100,1,5,0,34,0,0,0,0,0,0,0,0,1,0,12,0,1,0,207,125,2,14,262,893,6,20,885,1152
JAMMU & KASHMIR,2008,0,18,703,629,0,4,4,2,0,0,0,96,0,6,0,62,0,0,0,0,0,7,280,338,3,32,360,1071,3,67,1347,2198
JHARKHAND,2008,164,166,1035,3181,154,380,0,290,0,0,0,2,19,18,0,110,4,7,0,1,13,27,154,1051,62,163,186,2634,416,761,1375,7269
KARNATAKA,2008,61,231,4469,3855,42,76,13,128,0,0,0,0,3,28,0,300,2,2,50,18,8,42,1012,1935,154,1236,714,11584,270,1615,6258,17820
KERALA,2008,13,215,2134,1569,11,27,0,74,0,0,0,2,1,1,1,151,0,0,16,0,13,40,700,452,53,533,1031,3570,91,816,3882,5818
MADHYA PRADESH,2008,48,89,7435,6513,14,250,15,567,0,1,2,66,4,20,6,1347,0,15,8,78,4,92,1774,3618,90,1767,1832,12394,160,2234,11072,24583
MAHARASHTRA,2008,147,302,10260,9501,78,262,0,174,3,0,1,25,19,63,1,3340,3,7,74,42,60,161,3052,3433,501,2236,2616,36345,811,3031,16004,52860
MANIPUR,2008,0,0,24,81,1,4,0,43,0,0,0,3,0,0,0,0,0,0,0,1,0,0,35,10,0,3,17,308,1,7,76,446
MEGHALAYA,2008,15,19,96,235,16,15,0,19,0,0,0,2,0,0,0,0,0,0,1,0,3,1,17,30,29,30,54,383,63,65,168,669
MIZORAM,2008,0,0,249,345,1,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,158,3,0,17,239,4,6,338,747
NAGALAND,2008,1,19,42,129,4,43,0,33,0,0,0,0,0,0,0,0,0,0,2,17,0,4,18,64,1,21,65,102,6,87,127,345
ODISHA,2008,97,236,1928,2020,52,420,28,141,0,0,0,5,1,18,3,430,8,5,18,0,47,107,484,909,100,559,639,3914,305,1345,3100,7419
PUNJAB,2008,9,21,1104,1569,2,6,1,40,0,0,0,0,1,1,0,45,0,1,21,2,0,13,606,780,28,125,889,3127,40,167,2621,5563
RAJASTHAN,2008,14,16,2795,3088,11,60,0,154,0,0,0,11,1,6,0,350,1,3,36,0,13,22,1137,443,24,722,768,16365,64,829,4736,20411
SIKKIM,2008,0,3,59,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,8,1,3,10,64,1,7,81,127
TAMIL NADU,2008,44,169,2466,3840,12,27,5,143,0,0,0,5,1,18,1,289,0,0,16,1,10,72,512,2051,33,376,849,8690,100,662,3849,15019
TRIPURA,2008,7,38,142,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,116,6,48,52,145,13,95,218,499
UTTAR PRADESH,2008,69,134,3676,3166,37,791,0,10223,0,0,0,0,18,40,4,1521,3,5,1,0,4,16,250,897,182,1111,1487,10139,313,2097,5418,25946
UTTARAKHAND,2008,8,10,150,551,0,53,0,7,0,0,0,0,0,2,0,13,0,2,1,2,6,2,84,121,2,75,188,928,16,144,423,1622
WEST BENGAL,2008,62,80,256,3924,17,71,2,67,0,0,0,0,3,15,1,680,4,0,1,1,16,54,34,1745,82,393,168,10917,184,613,462,17334
TOTAL (STATES),2008,1556,2818,59333,71198,690,3678,117,13180,10,28,4,243,106,317,19,11808,43,73,334,236,305,1009,14400,28932,1782,12007,17087,169379,4492,19930,91294,294976
A & N ISLANDS,2008,0,2,51,25,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,16,28,0,12,11,68,0,14,78,128
CHANDIGARH,2008,0,0,180,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,732,1,22,11,444,1,23,257,1991
D & N HAVELI,2008,1,0,26,25,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,18,18,0,0,5,7,1,0,49,54
DAMAN & DIU,2008,0,0,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,38,2,4,45,49
DAMAN & DIU,2008,0,0,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,7,2,4,2,38,2,4,45,49
DELHI,2008,4,64,1292,5106,0,7,0,0,0,0,0,0,1,2,1,821,0,2,0,14,3,34,278,1120,16,432,355,11806,24,541,1926,18867
LAKSHADWEEP,2008,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,3,8
PUDUCHERRY,2008,1,0,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,47,6,10,7,569,10,10,90,688
