area_name,year,sub_group_name,recidivism_new_delinquent,recidivism_old_delinquent,recidivism_total
Andaman & Nicobar Islands,2001,4. Recidivism,16,0,16
Andhra Pradesh,2001,4. Recidivism,1392,173,1565
Arunachal Pradesh,2001,4. Recidivism,130,7,137
Assam,2001,4. Recidivism,248,5,253
Bihar,2001,4. Recidivism,576,10,586
Chandigarh,2001,4. Recidivism,71,0,71
Chhattisgarh,2001,4. Recidivism,1210,152,1362
Dadra & Nagar Haveli,2001,4. Recidivism,2,0,2
Daman & Diu,2001,4. Recidivism,2,0,2
Delhi,2001,4. Recidivism,835,23,858
Goa,2001,4. Recidivism,93,0,93
Gujarat,2001,4. Recidivism,4082,288,4370
Haryana,2001,4. Recidivism,1955,60,2015
Himachal Pradesh,2001,4. Recidivism,116,26,142
Jammu & Kashmir,2001,4. Recidivism,2,0,2
Jharkhand,2001,4. Recidivism,213,85,298
Karnataka,2001,4. Recidivism,786,57,843
Kerala,2001,4. Recidivism,132,0,132
Lakshadweep,2001,4. Recidivism,1,0,1
Madhya Pradesh,2001,4. Recidivism,3816,3512,7328
Maharashtra,2001,4. Recidivism,4778,212,4990
Manipur,2001,4. Recidivism,0,0,0
Meghalaya,2001,4. Recidivism,59,7,66
Mizoram,2001,4. Recidivism,39,10,49
Nagaland,2001,4. Recidivism,12,14,26
Odisha,2001,4. Recidivism,208,4,212
Puducherry,2001,4. Recidivism,3,0,3
Punjab,2001,4. Recidivism,20,9,29
Rajasthan,2001,4. Recidivism,3087,158,3245
Sikkim,2001,4. Recidivism,17,0,17
Tamil Nadu,2001,4. Recidivism,4444,111,4555
Tripura,2001,4. Recidivism,8,12,20
Uttar Pradesh,2001,4. Recidivism,256,0,256
Uttarakhand,2001,4. Recidivism,57,0,57
West Bengal,2001,4. Recidivism,27,0,27
Andaman & Nicobar Islands,2002,4. Recidivism,6,0,6
Andhra Pradesh,2002,4. Recidivism,1676,408,2084
Arunachal Pradesh,2002,4. Recidivism,132,0,132
Assam,2002,4. Recidivism,296,36,332
Bihar,2002,4. Recidivism,647,13,660
Chandigarh,2002,4. Recidivism,75,0,75
Chhattisgarh,2002,4. Recidivism,1208,199,1407
Dadra & Nagar Haveli,2002,4. Recidivism,0,0,0
Daman & Diu,2002,4. Recidivism,0,0,0
Delhi,2002,4. Recidivism,1146,46,1192
Goa,2002,4. Recidivism,67,1,68
Gujarat,2002,4. Recidivism,3109,226,3335
Haryana,2002,4. Recidivism,2421,90,2511
Himachal Pradesh,2002,4. Recidivism,120,1,121
Jammu & Kashmir,2002,4. Recidivism,3,0,3
Jharkhand,2002,4. Recidivism,510,236,746
Karnataka,2002,4. Recidivism,258,19,277
Kerala,2002,4. Recidivism,230,4,234
Lakshadweep,2002,4. Recidivism,0,0,0
Madhya Pradesh,2002,4. Recidivism,6657,1879,8536
Maharashtra,2002,4. Recidivism,5063,316,5379
Manipur,2002,4. Recidivism,0,0,0
Meghalaya,2002,4. Recidivism,62,6,68
Mizoram,2002,4. Recidivism,42,18,60
Nagaland,2002,4. Recidivism,12,2,14
Odisha,2002,4. Recidivism,189,3,192
Puducherry,2002,4. Recidivism,16,0,16
Punjab,2002,4. Recidivism,155,1,156
Rajasthan,2002,4. Recidivism,1852,85,1937
Sikkim,2002,4. Recidivism,2,0,2
Tamil Nadu,2002,4. Recidivism,5763,319,6082
Tripura,2002,4. Recidivism,7,0,7
Uttar Pradesh,2002,4. Recidivism,96,0,96
Uttarakhand,2002,4. Recidivism,34,0,34
West Bengal,2002,4. Recidivism,17,0,17
Andaman & Nicobar Islands,2003,4. Recidivism,9,0,9
Andhra Pradesh,2003,4. Recidivism,2376,297,2673
Arunachal Pradesh,2003,4. Recidivism,173,23,196
Assam,2003,4. Recidivism,327,51,378
Bihar,2003,4. Recidivism,273,19,292
Chandigarh,2003,4. Recidivism,116,0,116
Chhattisgarh,2003,4. Recidivism,1533,69,1602
Dadra & Nagar Haveli,2003,4. Recidivism,2,0,2
Daman & Diu,2003,4. Recidivism,2,0,2
Delhi,2003,4. Recidivism,737,65,802
Goa,2003,4. Recidivism,77,10,87
Gujarat,2003,4. Recidivism,2313,404,2717
Haryana,2003,4. Recidivism,2012,14,2026
Himachal Pradesh,2003,4. Recidivism,109,15,124
Jammu & Kashmir,2003,4. Recidivism,18,0,18
Jharkhand,2003,4. Recidivism,375,446,821
Karnataka,2003,4. Recidivism,349,9,358
Kerala,2003,4. Recidivism,749,15,764
Lakshadweep,2003,4. Recidivism,0,0,0
Madhya Pradesh,2003,4. Recidivism,7167,505,7672
Maharashtra,2003,4. Recidivism,4674,396,5070
Manipur,2003,4. Recidivism,0,0,0
Meghalaya,2003,4. Recidivism,29,6,35
Mizoram,2003,4. Recidivism,78,4,82
Nagaland,2003,4. Recidivism,1,0,1
Odisha,2003,4. Recidivism,310,3,313
Puducherry,2003,4. Recidivism,40,0,40
Punjab,2003,4. Recidivism,83,49,132
Rajasthan,2003,4. Recidivism,1699,163,1862
Sikkim,2003,4. Recidivism,17,0,17
Tamil Nadu,2003,4. Recidivism,4804,91,4895
Tripura,2003,4. Recidivism,0,0,0
Uttar Pradesh,2003,4. Recidivism,60,1,61
Uttarakhand,2003,4. Recidivism,30,0,30
West Bengal,2003,4. Recidivism,123,0,123
Andaman & Nicobar Islands,2004,4. Recidivism,13,0,13
Andhra Pradesh,2004,4. Recidivism,1729,467,2196
Arunachal Pradesh,2004,4. Recidivism,89,2,91
Assam,2004,4. Recidivism,235,96,331
Bihar,2004,4. Recidivism,219,17,236
Chandigarh,2004,4. Recidivism,109,0,109
Chhattisgarh,2004,4. Recidivism,1771,231,2002
Dadra & Nagar Haveli,2004,4. Recidivism,4,0,4
Daman & Diu,2004,4. Recidivism,0,0,0
Delhi,2004,4. Recidivism,830,79,909
Goa,2004,4. Recidivism,68,6,74
Gujarat,2004,4. Recidivism,2363,326,2689
Haryana,2004,4. Recidivism,1665,12,1677
Himachal Pradesh,2004,4. Recidivism,117,0,117
Jammu & Kashmir,2004,4. Recidivism,11,0,11
Jharkhand,2004,4. Recidivism,381,441,822
Karnataka,2004,4. Recidivism,439,1,440
Kerala,2004,4. Recidivism,366,16,382
Lakshadweep,2004,4. Recidivism,0,0,0
Madhya Pradesh,2004,4. Recidivism,6974,459,7433
Maharashtra,2004,4. Recidivism,5285,211,5496
Manipur,2004,4. Recidivism,0,0,0
Meghalaya,2004,4. Recidivism,52,3,55
Mizoram,2004,4. Recidivism,689,129,818
Nagaland,2004,4. Recidivism,3,0,3
Odisha,2004,4. Recidivism,355,4,359
Puducherry,2004,4. Recidivism,55,0,55
Punjab,2004,4. Recidivism,96,0,96
Rajasthan,2004,4. Recidivism,1798,77,1875
Sikkim,2004,4. Recidivism,13,0,13
Tamil Nadu,2004,4. Recidivism,2223,150,2373
Tripura,2004,4. Recidivism,0,0,0
Uttar Pradesh,2004,4. Recidivism,125,10,135
Uttarakhand,2004,4. Recidivism,36,0,36
West Bengal,2004,4. Recidivism,89,4,93
Andaman & Nicobar Islands,2005,4. Recidivism,10,0,10
Andhra Pradesh,2005,4. Recidivism,2013,415,2428
Arunachal Pradesh,2005,4. Recidivism,122,25,147
Assam,2005,4. Recidivism,293,80,373
Bihar,2005,4. Recidivism,325,12,337
Chandigarh,2005,4. Recidivism,116,0,116
Chhattisgarh,2005,4. Recidivism,2765,372,3137
Dadra & Nagar Haveli,2005,4. Recidivism,19,0,19
Daman & Diu,2005,4. Recidivism,1,0,1
Delhi,2005,4. Recidivism,1208,42,1250
Goa,2005,4. Recidivism,64,2,66
Gujarat,2005,4. Recidivism,2404,344,2748
Haryana,2005,4. Recidivism,1601,22,1623
Himachal Pradesh,2005,4. Recidivism,194,0,194
Jammu & Kashmir,2005,4. Recidivism,7,0,7
Jharkhand,2005,4. Recidivism,499,561,1060
Karnataka,2005,4. Recidivism,235,7,242
Kerala,2005,4. Recidivism,462,2,464
Lakshadweep,2005,4. Recidivism,1,0,1
Madhya Pradesh,2005,4. Recidivism,5673,705,6378
Maharashtra,2005,4. Recidivism,6065,238,6303
Manipur,2005,4. Recidivism,0,0,0
Meghalaya,2005,4. Recidivism,89,18,107
Mizoram,2005,4. Recidivism,251,162,413
Nagaland,2005,4. Recidivism,3,0,3
Odisha,2005,4. Recidivism,549,106,655
Puducherry,2005,4. Recidivism,42,0,42
Punjab,2005,4. Recidivism,135,0,135
Rajasthan,2005,4. Recidivism,1867,91,1958
Sikkim,2005,4. Recidivism,24,0,24
Tamil Nadu,2005,4. Recidivism,2009,139,2148
Tripura,2005,4. Recidivism,0,0,0
Uttar Pradesh,2005,4. Recidivism,115,0,115
Uttarakhand,2005,4. Recidivism,37,2,39
West Bengal,2005,4. Recidivism,133,5,138
Andaman & Nicobar Islands,2006,4. Recidivism,88,3,91
Andhra Pradesh,2006,4. Recidivism,1553,326,1879
Arunachal Pradesh,2006,4. Recidivism,80,0,80
Assam,2006,4. Recidivism,489,50,539
Bihar,2006,4. Recidivism,226,13,239
Chandigarh,2006,4. Recidivism,102,5,107
Chhattisgarh,2006,4. Recidivism,1891,162,2053
Dadra & Nagar Haveli,2006,4. Recidivism,8,1,9
Daman & Diu,2006,4. Recidivism,5,0,5
Delhi,2006,4. Recidivism,1111,402,1513
Goa,2006,4. Recidivism,67,1,68
Gujarat,2006,4. Recidivism,2405,402,2807
Haryana,2006,4. Recidivism,1711,1,1712
Himachal Pradesh,2006,4. Recidivism,128,0,128
Jammu & Kashmir,2006,4. Recidivism,8,0,8
Jharkhand,2006,4. Recidivism,722,140,862
Karnataka,2006,4. Recidivism,600,59,659
Kerala,2006,4. Recidivism,436,8,444
Lakshadweep,2006,4. Recidivism,0,0,0
Madhya Pradesh,2006,4. Recidivism,6401,413,6814
Maharashtra,2006,4. Recidivism,6396,262,6658
Manipur,2006,4. Recidivism,0,0,0
Meghalaya,2006,4. Recidivism,58,0,58
Mizoram,2006,4. Recidivism,65,24,89
Nagaland,2006,4. Recidivism,3,0,3
Odisha,2006,4. Recidivism,622,5,627
Puducherry,2006,4. Recidivism,37,0,37
Punjab,2006,4. Recidivism,159,0,159
Rajasthan,2006,4. Recidivism,2029,57,2086
Sikkim,2006,4. Recidivism,35,0,35
Tamil Nadu,2006,4. Recidivism,1795,179,1974
Tripura,2006,4. Recidivism,0,0,0
Uttar Pradesh,2006,4. Recidivism,172,0,172
Uttarakhand,2006,4. Recidivism,75,31,106
West Bengal,2006,4. Recidivism,123,1,124
Andaman & Nicobar Islands,2007,4. Recidivism,73,2,75
Andhra Pradesh,2007,4. Recidivism,1656,297,1953
Arunachal Pradesh,2007,4. Recidivism,105,0,105
Assam,2007,4. Recidivism,803,352,1155
Bihar,2007,4. Recidivism,1394,75,1469
Chandigarh,2007,4. Recidivism,118,0,118
Chhattisgarh,2007,4. Recidivism,1811,216,2027
Dadra & Nagar Haveli,2007,4. Recidivism,0,11,11
Daman & Diu,2007,4. Recidivism,8,6,14
Delhi,2007,4. Recidivism,811,159,970
Goa,2007,4. Recidivism,77,0,77
Gujarat,2007,4. Recidivism,2528,350,2878
Haryana,2007,4. Recidivism,1828,12,1840
Himachal Pradesh,2007,4. Recidivism,145,0,145
Jammu & Kashmir,2007,4. Recidivism,15,0,15
Jharkhand,2007,4. Recidivism,430,79,509
Karnataka,2007,4. Recidivism,571,46,617
Kerala,2007,4. Recidivism,643,32,675
Lakshadweep,2007,4. Recidivism,0,0,0
Madhya Pradesh,2007,4. Recidivism,6711,639,7350
Maharashtra,2007,4. Recidivism,6420,416,6836
Manipur,2007,4. Recidivism,0,0,0
Meghalaya,2007,4. Recidivism,87,19,106
Mizoram,2007,4. Recidivism,52,39,91
Nagaland,2007,4. Recidivism,0,0,0
Odisha,2007,4. Recidivism,654,4,658
Puducherry,2007,4. Recidivism,62,0,62
Punjab,2007,4. Recidivism,129,0,129
Rajasthan,2007,4. Recidivism,2015,109,2124
Sikkim,2007,4. Recidivism,94,0,94
Tamil Nadu,2007,4. Recidivism,1661,60,1721
Tripura,2007,4. Recidivism,2,0,2
Uttar Pradesh,2007,4. Recidivism,424,3,427
Uttarakhand,2007,4. Recidivism,124,5,129
West Bengal,2007,4. Recidivism,140,5,145
Andaman & Nicobar Islands,2008,4. Recidivism,51,4,55
Andhra Pradesh,2008,4. Recidivism,1436,186,1622
Arunachal Pradesh,2008,4. Recidivism,85,0,85
Assam,2008,4. Recidivism,249,395,644
Bihar,2008,4. Recidivism,1164,80,1244
Chandigarh,2008,4. Recidivism,152,10,162
Chhattisgarh,2008,4. Recidivism,2279,767,3046
Dadra & Nagar Haveli,2008,4. Recidivism,22,0,22
Daman & Diu,2008,4. Recidivism,11,0,11
Delhi,2008,4. Recidivism,465,58,523
Goa,2008,4. Recidivism,67,0,67
Gujarat,2008,4. Recidivism,2220,479,2699
Haryana,2008,4. Recidivism,1774,25,1799
Himachal Pradesh,2008,4. Recidivism,163,0,163
Jammu & Kashmir,2008,4. Recidivism,12,0,12
Jharkhand,2008,4. Recidivism,522,27,549
Karnataka,2008,4. Recidivism,360,155,515
Kerala,2008,4. Recidivism,760,16,776
Lakshadweep,2008,4. Recidivism,0,0,0
Madhya Pradesh,2008,4. Recidivism,6367,741,7108
Maharashtra,2008,4. Recidivism,6706,313,7019
Manipur,2008,4. Recidivism,0,0,0
Meghalaya,2008,4. Recidivism,134,5,139
Mizoram,2008,4. Recidivism,68,2,70
Nagaland,2008,4. Recidivism,0,0,0
Odisha,2008,4. Recidivism,668,105,773
Puducherry,2008,4. Recidivism,54,1,55
Punjab,2008,4. Recidivism,113,0,113
Rajasthan,2008,4. Recidivism,2268,84,2352
Sikkim,2008,4. Recidivism,36,1,37
Tamil Nadu,2008,4. Recidivism,1532,61,1593
Tripura,2008,4. Recidivism,43,0,43
Uttar Pradesh,2008,4. Recidivism,347,0,347
Uttarakhand,2008,4. Recidivism,157,0,157
West Bengal,2008,4. Recidivism,648,59,707
Andaman & Nicobar Islands,2009,4. Recidivism,33,5,38
Andhra Pradesh,2009,4. Recidivism,1424,141,1565
Arunachal Pradesh,2009,4. Recidivism,139,0,139
Assam,2009,4. Recidivism,518,45,563
Bihar,2009,4. Recidivism,892,174,1066
Chandigarh,2009,4. Recidivism,122,13,135
Chhattisgarh,2009,4. Recidivism,2425,687,3112
Dadra & Nagar Haveli,2009,4. Recidivism,9,17,26
Daman & Diu,2009,4. Recidivism,3,0,3
Delhi,2009,4. Recidivism,518,68,586
Goa,2009,4. Recidivism,75,1,76
Gujarat,2009,4. Recidivism,1989,477,2466
Haryana,2009,4. Recidivism,1328,46,1374
Himachal Pradesh,2009,4. Recidivism,170,0,170
Jammu & Kashmir,2009,4. Recidivism,11,0,11
Jharkhand,2009,4. Recidivism,549,239,788
Karnataka,2009,4. Recidivism,251,31,282
Kerala,2009,4. Recidivism,682,25,707
Lakshadweep,2009,4. Recidivism,0,0,0
Madhya Pradesh,2009,4. Recidivism,5404,782,6186
Maharashtra,2009,4. Recidivism,6432,540,6972
Manipur,2009,4. Recidivism,0,0,0
Meghalaya,2009,4. Recidivism,85,3,88
Mizoram,2009,4. Recidivism,20,0,20
Nagaland,2009,4. Recidivism,20,0,20
Odisha,2009,4. Recidivism,471,12,483
Puducherry,2009,4. Recidivism,79,2,81
Punjab,2009,4. Recidivism,225,8,233
Rajasthan,2009,4. Recidivism,2354,102,2456
Sikkim,2009,4. Recidivism,60,0,60
Tamil Nadu,2009,4. Recidivism,2658,263,2921
Tripura,2009,4. Recidivism,91,0,91
Uttar Pradesh,2009,4. Recidivism,475,0,475
Uttarakhand,2009,4. Recidivism,249,5,254
West Bengal,2009,4. Recidivism,173,22,195
Andaman & Nicobar Islands,2010,4. Recidivism,23,3,26
Andhra Pradesh,2010,4. Recidivism,1655,294,1949
Arunachal Pradesh,2010,4. Recidivism,81,0,81
Assam,2010,4. Recidivism,219,166,385
Bihar,2010,4. Recidivism,611,131,742
Chandigarh,2010,4. Recidivism,161,7,168
Chhattisgarh,2010,4. Recidivism,2026,330,2356
Dadra & Nagar Haveli,2010,4. Recidivism,19,0,19
Daman & Diu,2010,4. Recidivism,10,0,10
Delhi,2010,4. Recidivism,580,47,627
Goa,2010,4. Recidivism,74,3,77
Gujarat,2010,4. Recidivism,1763,358,2121
Haryana,2010,4. Recidivism,863,44,907
Himachal Pradesh,2010,4. Recidivism,218,0,218
Jammu & Kashmir,2010,4. Recidivism,27,0,27
Jharkhand,2010,4. Recidivism,98,6,104
Karnataka,2010,4. Recidivism,194,10,204
Kerala,2010,4. Recidivism,794,32,826
Lakshadweep,2010,4. Recidivism,0,0,0
Madhya Pradesh,2010,4. Recidivism,4849,1600,6449
Maharashtra,2010,4. Recidivism,6120,268,6388
Manipur,2010,4. Recidivism,0,0,0
Meghalaya,2010,4. Recidivism,106,12,118
Mizoram,2010,4. Recidivism,106,10,116
Nagaland,2010,4. Recidivism,53,0,53
Odisha,2010,4. Recidivism,536,8,544
Puducherry,2010,4. Recidivism,49,0,49
Punjab,2010,4. Recidivism,241,5,246
Rajasthan,2010,4. Recidivism,2174,204,2378
Sikkim,2010,4. Recidivism,78,4,82
Tamil Nadu,2010,4. Recidivism,1522,122,1644
Tripura,2010,4. Recidivism,46,0,46
Uttar Pradesh,2010,4. Recidivism,852,0,852
Uttarakhand,2010,4. Recidivism,154,0,154
West Bengal,2010,4. Recidivism,327,10,337
