area_name,year,chnamurder_cause_by_terroristextremist,chnamurder_cause_casteism,chnamurder_cause_class_conflict,chnamurder_cause_communalism,chnamurder_cause_dowry,chnamurder_cause_for_political_reason,chnamurder_cause_gain,chnamurder_cause_love_affairssexual_relations,chnamurder_cause_lunacy,chnamurder_cause_other_causes_or_motives,chnamurder_cause_personal_vendetta_or_enmity,chnamurder_cause_property_dispute,chnamurder_cause_total,chnamurder_cause_witchcraft,murder_cause_by_terroristextremist,murder_cause_casteism,murder_cause_class_conflict,murder_cause_communalism,murder_cause_dowry,murder_cause_for_political_reason,murder_cause_gain,murder_cause_love_affairssexual_relations,murder_cause_lunacy,murder_cause_other_causes_or_motives,murder_cause_personal_vendetta_or_enmity,murder_cause_property_dispute,murder_cause_total,murder_cause_witchcraft
Puducherry,2005,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,2,0,0,10,6,1,19,0
Punjab,2005,0,0,0,0,8,0,0,0,0,202,1,5,216,0,0,0,0,0,5,0,14,96,0,469,47,81,713,1
Rajasthan,2005,0,0,0,0,0,0,1,1,0,56,1,0,59,0,0,0,0,0,51,0,43,34,1,949,96,47,1221,0
Sikkim,2005,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,8,0
Tamil Nadu,2005,0,0,0,0,0,0,0,1,0,23,4,0,28,0,0,2,0,2,9,0,74,176,2,767,288,120,1440,0
Tripura,2005,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24,0,0,0,8,0,14,1,0,52,15,7,121,0
Uttar Pradesh,2005,0,0,0,0,0,0,0,4,2,1486,9,19,1520,0,0,11,0,5,0,4,211,397,0,4180,628,275,5711,0
Uttarakhand,2005,0,0,0,0,0,0,0,0,0,25,5,0,30,0,0,0,0,0,0,1,13,18,0,182,45,20,279,0
West Bengal,2005,0,0,0,0,0,1,1,2,0,370,22,12,408,0,2,0,0,0,32,8,21,29,0,1219,108,29,1453,5
Andaman & Nicobar Islands,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0
Andhra Pradesh,2006,0,0,0,0,0,0,2,1,0,116,1,3,123,0,35,0,0,0,107,83,227,375,3,1437,257,216,2766,26
Arunachal Pradesh,2006,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,9,5,0,35,5,4,60,0
Assam,2006,0,0,0,0,0,0,1,0,0,28,0,3,32,0,59,3,0,0,34,1,86,30,0,719,101,168,1207,6
Bihar,2006,0,0,0,0,1,0,12,8,0,224,22,59,326,0,10,10,4,0,173,19,242,120,1,1717,375,567,3249,11
Chandigarh,2006,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,10,1,1,12,0
Chhattisgarh,2006,0,0,0,0,0,0,0,0,0,15,0,0,15,0,194,5,0,0,9,1,41,82,19,510,127,100,1098,10
Dadra & Nagar Haveli,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,1,9,0
Daman & Diu,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,6,0
Delhi,2006,0,0,0,0,1,0,0,1,0,59,10,4,75,0,0,0,0,0,7,0,41,78,0,258,59,33,476,0
Goa,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,4,0,18,7,2,39,0
Gujarat,2006,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,1,0,4,10,1,74,168,7,654,133,110,1165,3
Himachal Pradesh,2006,0,0,0,0,0,0,1,0,0,16,2,1,20,0,0,0,0,0,0,0,2,7,0,71,19,12,111,0
Jammu & Kashmir,2006,0,0,0,0,0,0,0,0,1,39,0,0,40,0,344,0,0,0,0,0,4,9,0,106,16,8,487,0
Jharkhand,2006,0,0,0,0,0,0,7,1,0,82,2,4,97,1,26,0,0,1,51,3,112,96,4,810,180,180,1492,29
Karnataka,2006,0,0,0,0,0,0,0,2,0,64,2,0,68,0,0,0,1,4,53,4,55,108,0,1188,132,82,1627,0
Kerala,2006,0,0,0,0,0,0,0,0,0,83,4,0,87,0,0,0,0,0,3,10,26,5,3,183,154,9,393,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,0,0,0,0,1,0,0,3,0,129,3,2,138,0,4,4,0,0,32,1,114,273,2,1142,454,270,2309,13
Maharashtra,2006,0,0,0,0,0,0,1,2,1,95,0,1,100,0,36,0,8,1,135,11,49,262,4,1825,198,118,2656,9
Manipur,2006,0,0,0,0,0,0,0,0,0,4,0,0,4,0,127,0,0,0,0,0,0,0,0,77,1,0,205,0
Meghalaya,2006,0,0,0,0,0,0,0,0,0,8,0,0,8,0,12,0,0,0,0,0,30,1,0,89,14,11,157,0
Mizoram,2006,0,0,0,0,0,0,2,0,0,1,1,3,7,0,0,0,1,0,0,0,2,0,1,20,1,0,25,0
Nagaland,2006,0,0,0,0,0,0,0,0,0,8,0,0,8,0,22,0,0,0,0,0,0,0,0,101,0,0,123,0
Odisha,2006,0,0,0,0,2,0,0,1,0,31,0,2,36,0,1,0,0,0,74,1,39,55,0,799,116,38,1159,36
Puducherry,2006,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,1,2,0,0,14,11,1,30,0
Punjab,2006,0,0,0,0,0,0,0,2,0,153,0,10,165,0,0,1,0,0,6,0,10,141,0,504,46,109,817,0
Rajasthan,2006,0,0,0,0,0,0,1,0,0,78,0,0,79,0,0,0,0,0,42,0,38,49,0,929,96,54,1209,1
Sikkim,2006,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,11,5,1,21,0
Tamil Nadu,2006,0,0,0,0,0,0,0,0,0,19,1,0,20,0,0,1,0,0,6,5,90,182,0,689,282,107,1363,1
Tripura,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,0,0,10,1,14,8,1,73,22,4,154,4
Uttar Pradesh,2006,0,0,0,0,0,0,1,9,0,1506,5,21,1543,1,0,11,0,0,0,7,181,344,1,4200,480,254,5480,2
Uttarakhand,2006,0,0,0,0,0,0,3,0,0,29,7,1,40,0,0,0,0,0,0,1,15,14,0,193,38,13,274,0
West Bengal,2006,0,0,0,0,1,1,0,2,0,373,16,8,401,0,5,0,0,2,53,7,14,20,0,1223,73,27,1425,1
Andaman & Nicobar Islands,2007,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,11,2,0,15,0
Andhra Pradesh,2007,0,0,0,0,2,0,8,0,0,120,4,1,135,0,37,0,0,1,132,19,134,405,1,1394,267,242,2665,33
Arunachal Pradesh,2007,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,0,2,1,0,55,4,1,68,0
Assam,2007,0,0,0,0,0,0,6,15,0,75,6,7,109,0,40,0,0,0,45,5,74,74,2,800,101,233,1374,0
Bihar,2007,0,0,3,0,11,0,7,8,0,186,8,34,257,0,22,14,12,0,80,18,319,143,0,1396,431,599,3034,0
Chandigarh,2007,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,16,3,0,19,0
Chhattisgarh,2007,0,0,0,0,0,0,1,0,0,25,0,0,26,0,145,0,0,1,17,0,29,64,17,626,100,90,1097,8
Dadra & Nagar Haveli,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,10,0
Daman & Diu,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,12,0
Delhi,2007,0,0,0,0,0,0,1,2,0,69,13,9,94,0,0,0,0,0,17,0,30,48,0,322,58,20,495,0
Goa,2007,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,3,0,19,9,1,33,0
Gujarat,2007,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,19,3,74,152,2,658,164,93,1166,1
Haryana,2007,0,0,0,0,0,0,3,0,0,48,8,12,72,1,0,0,1,0,15,1,71,48,1,333,210,201,911,30
Himachal Pradesh,2007,0,0,0,0,0,0,0,0,0,7,2,0,9,0,0,0,0,0,0,0,5,10,0,98,11,3,127,0
Jammu & Kashmir,2007,0,0,0,0,0,0,0,0,0,23,0,0,23,0,186,0,0,0,0,0,3,3,0,93,15,18,318,0
Jharkhand,2007,4,0,0,0,0,0,20,0,0,53,3,12,92,0,20,1,0,0,57,15,254,87,24,667,181,261,1617,50
Karnataka,2007,0,0,0,0,0,0,2,0,0,51,1,1,55,0,0,0,0,0,56,3,47,100,0,1137,124,71,1538,0
Kerala,2007,0,0,0,0,0,0,0,0,1,84,6,1,92,0,0,0,0,0,2,10,22,3,2,209,110,9,367,0
Lakshadweep,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,0,0,0,0,0,0,0,2,0,132,17,4,155,0,1,1,0,1,32,3,81,233,4,1121,472,281,2244,14
Maharashtra,2007,0,0,0,0,0,0,1,2,0,109,0,0,113,1,27,1,3,3,128,9,70,203,3,1954,155,124,2693,13
Manipur,2007,0,0,0,0,0,0,0,0,0,2,0,0,2,0,152,0,0,0,0,1,0,0,1,86,0,0,240,0
Meghalaya,2007,0,0,0,1,0,0,0,0,0,7,0,0,8,0,6,0,0,0,0,0,13,0,1,77,12,5,114,0
Mizoram,2007,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,0,0,1,0,5,0,35,0,1,43,0
Nagaland,2007,1,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,4,0,0,0,0,0,0,106,1,0,111,0
Puducherry,2007,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,3,1,0,11,18,0,34,0
Punjab,2007,0,0,0,0,2,0,0,3,1,158,3,3,170,0,0,0,0,0,0,0,10,111,0,519,43,77,760,0
Rajasthan,2007,0,0,0,0,0,0,1,0,0,62,1,0,64,0,1,5,0,0,38,0,36,36,1,1048,86,52,1303,0
Sikkim,2007,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,8,0,0,9,0
Tamil Nadu,2007,0,0,0,0,0,0,0,1,0,27,0,0,28,0,0,1,0,0,24,4,102,206,0,818,302,176,1633,0
Tripura,2007,0,0,0,0,0,0,0,0,0,2,0,0,2,0,14,0,0,0,6,0,3,2,0,66,16,31,138,0
Uttar Pradesh,2007,0,0,0,0,0,0,1,9,1,1584,7,14,1616,0,0,0,0,0,0,1,161,279,0,3995,384,180,5000,0
Uttarakhand,2007,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,2,18,14,0,183,28,23,268,0
West Bengal,2007,0,0,0,0,2,1,6,1,2,360,12,10,394,0,1,0,0,0,163,20,38,27,1,1272,109,21,1652,0
Andaman & Nicobar Islands,2008,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,0,4,1,0,8,0
Andhra Pradesh,2008,0,0,0,0,0,0,13,0,0,148,2,2,165,0,35,0,0,3,139,22,195,428,5,1421,243,176,2690,23
Arunachal Pradesh,2008,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,3,5,1,54,6,2,72,0
Assam,2008,0,0,0,0,0,0,0,0,0,59,5,7,71,0,63,0,0,0,59,0,56,108,0,838,121,181,1426,0
Bihar,2008,0,0,3,0,18,5,11,20,0,212,27,90,386,0,25,15,16,0,177,16,332,156,0,1202,375,825,3139,0
Chandigarh,2008,0,0,0,0,0,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,1,0,0,12,4,0,17,0
Chhattisgarh,2008,1,0,0,0,1,0,0,0,0,15,0,1,18,0,128,1,0,0,7,0,38,65,8,746,81,80,1169,15
Dadra & Nagar Haveli,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,9,0
Daman & Diu,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Delhi,2008,0,0,0,0,0,0,0,1,0,56,4,5,66,0,7,0,0,0,12,0,21,29,0,412,51,22,554,0
Goa,2008,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,6,0,31,6,3,49,0
Gujarat,2008,0,0,0,0,0,0,0,0,0,34,0,1,35,0,5,0,0,0,11,3,61,163,14,605,157,87,1106,0
Haryana,2008,0,0,0,0,0,0,6,2,0,66,9,8,92,1,0,0,0,0,11,0,55,46,0,374,218,192,921,25
Himachal Pradesh,2008,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,1,0,4,7,0,93,17,7,129,0
Jammu & Kashmir,2008,0,0,0,0,0,0,0,0,0,31,0,0,31,0,93,4,0,0,1,1,4,9,0,111,3,11,237,0
Jharkhand,2008,0,0,0,0,0,0,3,0,35,70,3,1,112,0,19,0,0,0,51,8,123,50,5,1051,112,226,1697,52
Karnataka,2008,0,0,0,0,2,0,1,2,0,73,2,1,81,0,1,1,0,0,54,2,55,87,2,1299,113,83,1698,1
Kerala,2008,0,0,0,0,0,1,0,1,0,89,1,3,95,0,0,0,0,4,2,21,23,0,4,211,86,11,362,0
Lakshadweep,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Madhya Pradesh,2008,0,0,0,0,6,0,1,0,2,184,9,2,204,0,0,5,0,17,38,1,107,196,6,1181,465,289,2322,17
Maharashtra,2008,0,0,0,0,0,0,1,0,1,109,0,0,111,0,19,4,0,10,106,12,60,239,6,2028,172,128,2795,11
Manipur,2008,0,0,0,0,0,0,0,0,0,4,0,0,4,0,112,0,0,0,0,0,0,0,0,75,0,0,187,0
Meghalaya,2008,0,0,0,0,0,0,0,1,0,5,0,0,6,0,10,0,0,0,2,0,20,2,1,67,12,9,126,3
Mizoram,2008,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,2,0,30,3,0,35,0
Nagaland,2008,0,0,0,0,0,0,0,0,0,13,0,0,13,0,4,0,0,0,0,1,0,0,0,138,0,0,143,0
Odisha,2008,0,0,0,0,3,0,0,0,0,58,13,10,84,0,9,0,0,5,289,3,64,51,0,650,101,55,1250,23
Puducherry,2008,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,4,0,10,16,3,35,0
Punjab,2008,0,0,0,0,1,0,1,2,0,137,2,3,146,0,0,0,0,0,8,1,19,102,0,538,38,63,769,0
Rajasthan,2008,0,0,0,0,6,0,3,0,0,43,2,0,54,0,0,0,0,0,42,0,39,34,0,1036,95,51,1297,0
Sikkim,2008,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,1,0,2,6,0,9,0
Tamil Nadu,2008,0,0,0,0,1,0,0,0,0,27,0,0,28,0,0,1,0,0,7,2,105,208,0,968,336,132,1759,0
Tripura,2008,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,0,0,0,11,0,15,0,1,75,25,20,155,0
Uttar Pradesh,2008,0,0,0,0,0,0,9,7,1,1457,5,14,1493,0,1,6,0,1,0,1,172,296,0,3627,301,158,4564,1
Uttarakhand,2008,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,13,8,0,187,7,8,223,0
West Bengal,2008,1,0,38,0,3,4,5,1,0,405,24,7,488,0,0,5,58,5,167,9,27,22,2,1386,99,27,1811,4
Andaman & Nicobar Islands,2009,0,0,0,0,0,0,1,0,0,1,1,1,4,0,1,0,0,0,1,0,0,4,0,6,3,0,15,0
Andhra Pradesh,2009,0,0,0,0,0,1,0,2,0,119,7,5,134,0,14,0,14,0,116,59,184,415,3,1191,258,168,2449,27
Arunachal Pradesh,2009,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,6,0,45,5,1,59,0
Assam,2009,0,0,0,0,0,0,5,1,0,23,1,5,35,0,41,0,0,0,138,0,89,74,0,731,77,173,1323,0
Bihar,2009,0,0,0,0,11,0,9,3,0,141,20,59,243,0,43,8,7,0,134,24,311,145,0,1199,443,836,3152,2
Chandigarh,2009,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,16,6,0,22,0
Chhattisgarh,2009,0,0,0,0,0,0,0,0,0,18,0,1,19,0,66,9,8,17,8,0,44,75,10,662,104,74,1083,6
Dadra & Nagar Haveli,2009,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,1,0,10,1
Daman & Diu,2009,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Delhi,2009,0,0,0,0,0,0,1,2,0,73,6,2,84,0,0,0,0,0,6,0,32,62,0,338,81,33,552,0
Goa,2009,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,21,3,0,18,11,0,53,0
Gujarat,2009,0,0,0,0,1,0,1,0,0,28,0,0,30,0,0,1,4,0,6,0,66,154,12,554,136,83,1020,4
Haryana,2009,0,0,0,1,0,0,3,2,0,53,7,10,78,2,0,0,0,2,11,0,61,53,0,380,198,213,948,30
Himachal Pradesh,2009,0,0,0,0,0,0,0,0,0,12,0,1,13,0,0,1,0,0,0,0,4,11,0,93,9,7,125,0
Jammu & Kashmir,2009,0,0,0,0,0,0,0,0,0,22,0,1,23,0,85,0,0,0,1,0,5,6,0,121,6,13,237,0
Jharkhand,2009,0,0,2,0,0,0,0,2,2,94,0,4,104,0,29,21,12,0,53,19,188,114,0,794,130,239,1636,37
Karnataka,2009,0,0,0,0,0,0,2,0,0,77,0,0,79,0,0,0,0,0,65,1,102,106,0,1177,191,59,1702,1
Kerala,2009,0,0,0,0,0,0,0,0,0,97,3,0,100,0,0,0,0,0,0,9,16,1,1,212,94,10,343,0
Lakshadweep,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,0,0,0,0,0,0,3,0,0,109,0,3,117,2,3,7,5,4,55,13,159,216,5,1072,467,357,2386,23
Maharashtra,2009,0,0,0,0,2,0,0,2,0,90,2,2,98,0,37,4,0,4,102,2,79,263,5,1806,178,162,2653,11
Manipur,2009,0,0,0,0,0,0,0,0,0,2,0,0,2,0,61,0,0,0,0,0,0,0,0,70,0,0,131,0
Meghalaya,2009,0,0,0,0,0,0,0,1,0,10,1,0,12,0,3,0,4,0,0,0,17,2,2,74,10,15,128,1
Mizoram,2009,0,0,0,0,0,0,1,0,0,6,1,0,8,0,0,0,0,0,0,0,8,1,0,16,4,2,31,0
Nagaland,2009,0,0,0,0,0,0,0,0,0,7,0,0,7,0,5,0,0,0,0,0,0,1,0,40,0,0,46,0
Odisha,2009,0,0,0,0,1,0,0,0,0,34,5,0,48,8,11,0,0,0,269,6,36,58,0,622,150,70,1250,28
Puducherry,2009,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,2,2,3,0,13,15,2,37,0
Punjab,2009,0,0,0,0,0,0,3,2,0,121,1,2,129,0,0,0,0,0,11,0,18,128,0,575,51,70,853,0
Rajasthan,2009,0,0,0,0,6,0,1,1,0,71,1,0,80,0,0,0,0,0,35,0,35,59,0,1096,111,59,1395,0
Sikkim,2009,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,1,11,5,1,19,0
Tamil Nadu,2009,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,1,0,1,14,2,123,231,0,970,307,124,1776,3
Tripura,2009,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,19,1,12,18,0,5,58,19,133,1
Uttar Pradesh,2009,0,0,0,0,0,0,2,2,0,1424,5,6,1439,0,0,0,0,0,0,1,168,314,1,3684,258,108,4534,0
Uttarakhand,2009,0,0,0,0,0,0,1,0,0,50,0,0,51,0,0,0,0,0,0,1,6,6,0,175,4,3,195,0
West Bengal,2009,0,0,0,0,4,2,16,6,0,856,26,21,931,0,71,0,0,0,223,50,50,25,0,1509,106,34,2068,0
Andaman & Nicobar Islands,2010,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,4,2,2,9,0
Andhra Pradesh,2010,0,0,0,0,0,0,0,0,0,142,8,5,155,0,19,0,0,2,128,5,219,375,3,1299,282,180,2538,26
Arunachal Pradesh,2010,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,0,70,3,0,75,0
Assam,2010,0,0,0,0,0,0,1,1,0,33,1,10,46,0,20,0,0,0,43,0,24,21,1,945,50,119,1223,0
Chandigarh,2010,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,2,0,16,3,0,21,0
Chhattisgarh,2010,0,0,0,1,1,0,0,1,0,25,1,1,30,0,131,0,4,10,19,0,26,72,2,661,66,66,1065,8
Dadra & Nagar Haveli,2010,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0
Daman & Diu,2010,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0
Delhi,2010,0,0,0,0,0,0,1,2,0,60,6,2,71,0,0,2,0,0,5,0,26,54,0,372,73,33,565,0
Goa,2010,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,3,2,0,20,10,0,35,0
Gujarat,2010,0,0,0,0,1,0,2,1,0,40,0,0,44,0,0,2,0,1,3,0,66,131,8,624,118,90,1048,5
Haryana,2010,0,0,1,0,0,0,2,2,0,44,5,8,63,1,0,0,2,0,17,0,40,42,1,390,215,241,1005,57
Himachal Pradesh,2010,0,0,0,0,0,0,0,0,0,11,0,1,12,0,0,0,0,0,0,0,3,10,0,102,5,12,132,0
Jammu & Kashmir,2010,0,0,0,0,0,0,0,0,0,26,0,0,26,0,77,0,0,0,2,0,1,8,0,100,9,20,217,0
Jharkhand,2010,0,0,0,0,0,0,0,7,0,63,5,7,82,0,48,0,0,0,36,9,154,105,1,916,146,259,1689,15
Karnataka,2010,0,0,0,0,0,0,0,1,0,89,4,0,94,0,0,1,0,2,67,8,71,99,0,1367,118,71,1805,1
Kerala,2010,0,0,0,0,0,0,0,0,0,83,3,0,86,0,0,0,0,0,0,6,25,5,2,212,103,10,363,0
Lakshadweep,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,0,0,0,1,0,0,1,1,0,120,0,0,123,0,0,5,9,0,44,19,81,175,3,1235,492,342,2423,18
Maharashtra,2010,2,0,0,0,0,0,0,1,0,147,0,2,152,0,31,0,0,1,116,4,69,236,6,1961,169,140,2744,11
Manipur,2010,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29,0,0,0,0,0,0,0,0,63,0,0,92,0
Meghalaya,2010,0,0,0,0,0,0,0,0,0,8,0,0,8,0,4,0,3,0,0,3,23,2,0,67,19,11,134,2
Mizoram,2010,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,4,10,0,33,1,0,48,0
Nagaland,2010,0,0,0,0,0,0,0,0,0,13,0,0,13,0,2,0,0,0,0,0,0,0,0,43,0,0,45,0
Odisha,2010,0,0,0,0,0,0,0,0,0,24,4,0,31,3,8,0,3,0,309,2,48,66,0,650,140,51,1308,31
Puducherry,2010,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,1,0,0,5,0,5,20,2,33,0
Punjab,2010,0,0,0,0,0,0,4,2,0,111,1,2,120,0,0,0,0,0,6,0,8,137,0,622,63,71,907,0
Rajasthan,2010,0,0,0,0,4,0,0,0,0,100,0,0,104,0,0,0,0,1,39,0,28,45,0,1173,77,56,1421,2
Sikkim,2010,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,3,1,0,8,4,0,17,0
Tamil Nadu,2010,0,0,0,0,0,0,1,0,0,30,1,0,32,0,0,1,0,0,6,5,153,237,0,993,316,164,1875,0
Tripura,2010,0,0,0,0,2,0,0,2,0,2,0,2,8,0,1,0,0,0,14,0,20,13,0,13,57,32,150,0
Uttar Pradesh,2010,0,0,0,0,0,0,2,0,0,1381,8,10,1401,0,0,1,0,1,0,1,138,282,0,3597,220,161,4401,0
Uttarakhand,2010,0,0,0,0,0,0,0,1,0,56,3,0,60,0,0,0,0,0,0,0,7,13,0,151,0,5,176,0
West Bengal,2010,0,0,0,0,1,0,2,0,3,576,30,18,630,0,145,0,0,0,285,38,49,27,1,1665,145,43,2398,0
