area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Punjab,2007,476.0000,189.0000,665.0000,231.0000,12.0000,2.0000,9.0000,198.0000,147.0000,198.0000,0.0000,3.0000,31.0000,434.0000,67.0000,2464753.0000,0.0000,1180.0000,198.0000,1378.0000,13.0000,192.0000,60.0000,132.0000,1173.0000,0.0000,281200.0000
Gujarat,2008,187.0000,186.0000,373.0000,190.0000,3.0000,0.0000,9.0000,183.0000,83.0000,17.0000,11.0000,4.0000,18.0000,187.0000,182.0000,1928557.0000,0.0000,1061.0000,183.0000,1244.0000,6.0000,177.0000,62.0000,115.0000,1061.0000,0.0000,479000.0000
Gujarat,2009,187.0000,183.0000,370.0000,215.0000,0.0000,0.0000,19.0000,196.0000,76.0000,22.0000,23.0000,16.0000,19.0000,175.0000,181.0000,11013548.0000,0.0000,1061.0000,196.0000,1257.0000,3.0000,147.0000,53.0000,94.0000,1107.0000,0.0000,0.0000
Kerala,2010,538.0000,181.0000,719.0000,719.0000,1.0000,1.0000,46.0000,81.0000,34.0000,19.0000,12.0000,5.0000,36.0000,520.0000,8.0000,0.0000,0.0000,827.0000,81.0000,908.0000,0.0000,42.0000,30.0000,12.0000,794.0000,71.4000,3644800.0000
Gujarat,2002,91.0000,178.0000,269.0000,183.0000,0.0000,0.0000,9.0000,173.0000,76.0000,11.0000,1.0000,0.0000,8.0000,123.0000,144.0000,930091.0000,0.0000,1512.0000,173.0000,1685.0000,1.0000,104.0000,30.0000,74.0000,1580.0000,0.0000,207200.0000
Gujarat,2007,175.0000,165.0000,340.0000,189.0000,0.0000,0.0000,17.0000,155.0000,76.0000,11.0000,6.0000,3.0000,13.0000,187.0000,156.0000,1216980.0000,200.0000,1178.0000,155.0000,1333.0000,0.0000,272.0000,88.0000,184.0000,1061.0000,81.0000,684500.0000
Himachal Pradesh,2009,242.0000,163.0000,405.0000,405.0000,0.0000,0.0000,4.0000,93.0000,25.0000,9.0000,0.0000,0.0000,13.0000,296.0000,30.0000,8047592.0000,0.0000,329.0000,93.0000,422.0000,0.0000,49.0000,9.0000,40.0000,373.0000,0.0000,318000.0000
Punjab,2009,452.0000,162.0000,614.0000,245.0000,12.0000,3.0000,15.0000,168.0000,125.0000,52.0000,0.0000,22.0000,74.0000,369.0000,46.0000,651975.0000,0.0000,1117.0000,168.0000,1285.0000,11.0000,362.0000,117.0000,245.0000,912.0000,0.0000,547800.0000
Haryana,2003,262.0000,152.0000,414.0000,285.0000,0.0000,0.0000,9.0000,180.0000,34.0000,142.0000,0.0000,0.0000,26.0000,228.0000,41.0000,128500.0000,0.0000,382.0000,180.0000,562.0000,3.0000,63.0000,18.0000,45.0000,496.0000,0.0000,100400.0000
Tamil Nadu,2003,116.0000,152.0000,268.0000,268.0000,3.0000,0.0000,0.0000,25.0000,11.0000,24.0000,7.0000,1.0000,10.0000,228.0000,32.0000,825623.0000,0.0000,115.0000,25.0000,140.0000,0.0000,16.0000,11.0000,5.0000,124.0000,0.0000,43600.0000
Karnataka,2002,200.0000,151.0000,351.0000,351.0000,0.0000,2.0000,19.0000,129.0000,81.0000,45.0000,16.0000,0.0000,59.0000,140.0000,151.0000,6142703.0000,0.0000,1050.0000,129.0000,1179.0000,8.0000,120.0000,8.0000,112.0000,1051.0000,0.0000,16500.0000
Haryana,2005,199.0000,151.0000,350.0000,243.0000,1.0000,0.0000,3.0000,114.0000,26.0000,68.0000,0.0000,0.0000,25.0000,214.0000,41.0000,148890.0000,0.0000,529.0000,114.0000,643.0000,4.0000,107.0000,29.0000,78.0000,532.0000,0.0000,254000.0000
Kerala,2008,476.0000,149.0000,625.0000,625.0000,0.0000,1.0000,37.0000,108.0000,32.0000,12.0000,22.0000,0.0000,59.0000,423.0000,6.0000,0.0000,0.0000,529.0000,108.0000,637.0000,8.0000,35.0000,25.0000,10.0000,594.0000,0.0000,1380000.0000
Kerala,2004,552.0000,146.0000,698.0000,698.0000,2.0000,0.0000,33.0000,98.0000,13.0000,6.0000,22.0000,1.0000,2.0000,520.0000,8.0000,0.0000,0.0000,322.0000,98.0000,420.0000,1.0000,40.0000,14.0000,26.0000,379.0000,0.0000,669000.0000
Kerala,2002,474.0000,145.0000,619.0000,619.0000,0.0000,0.0000,21.0000,81.0000,13.0000,11.0000,10.0000,10.0000,21.0000,497.0000,0.0000,0.0000,0.0000,247.0000,81.0000,328.0000,1.0000,53.0000,31.0000,22.0000,274.0000,0.0000,1716481.0000
Kerala,2005,520.0000,143.0000,663.0000,663.0000,0.0000,1.0000,25.0000,117.0000,17.0000,1.0000,7.0000,26.0000,30.0000,531.0000,4.0000,0.0000,0.0000,379.0000,117.0000,496.0000,0.0000,55.0000,27.0000,28.0000,441.0000,0.0000,1129000.0000
Uttar Pradesh,2002,155.0000,137.0000,292.0000,130.0000,0.0000,0.0000,0.0000,56.0000,135.0000,26.0000,26.0000,1.0000,12.0000,93.0000,0.0000,0.0000,0.0000,193.0000,56.0000,249.0000,0.0000,8.0000,1.0000,7.0000,241.0000,0.0000,0.0000
Bihar,2007,220.0000,133.0000,353.0000,353.0000,0.0000,0.0000,0.0000,248.0000,99.0000,0.0000,0.0000,0.0000,0.0000,86.0000,117.0000,30347184.0000,0.0000,440.0000,248.0000,688.0000,4.0000,4.0000,4.0000,0.0000,684.0000,0.0000,0.0000
Kerala,2001,462.0000,129.0000,591.0000,591.0000,0.0000,0.0000,30.0000,62.0000,115.0000,0.0000,15.0000,0.0000,30.0000,474.0000,0.0000,0.0000,10.7000,235.0000,62.0000,297.0000,0.0000,50.0000,43.0000,7.0000,247.0000,86.0000,1722025.0000
Uttar Pradesh,2007,115.0000,129.0000,244.0000,244.0000,0.0000,0.0000,0.0000,126.0000,43.0000,55.0000,1.0000,0.0000,5.0000,88.0000,0.0000,0.0000,0.0000,360.0000,126.0000,486.0000,1.0000,15.0000,1.0000,15.0000,470.0000,0.0000,0.0000
Bihar,2009,129.0000,129.0000,258.0000,258.0000,0.0000,0.0000,0.0000,114.0000,98.0000,0.0000,0.0000,0.0000,0.0000,175.0000,97.0000,78855653.0000,0.0000,763.0000,114.0000,877.0000,2.0000,5.0000,3.0000,2.0000,870.0000,50.0000,12000.0000
Tamil Nadu,2005,264.0000,128.0000,392.0000,392.0000,0.0000,0.0000,0.0000,19.0000,54.0000,53.0000,21.0000,3.0000,54.0000,262.0000,0.0000,2005371.0000,0.0000,134.0000,19.0000,153.0000,0.0000,5.0000,5.0000,0.0000,148.0000,0.0000,28000.0000
Kerala,2007,521.0000,128.0000,649.0000,649.0000,0.0000,0.0000,29.0000,118.0000,24.0000,4.0000,19.0000,4.0000,40.0000,476.0000,8.0000,0.0000,0.0000,481.0000,118.0000,599.0000,6.0000,68.0000,47.0000,21.0000,529.0000,0.0000,2020200.0000
Haryana,2009,233.0000,128.0000,359.0000,283.0000,0.0000,0.0000,9.0000,133.0000,14.0000,55.0000,0.0000,0.0000,26.0000,196.0000,30.0000,165100.0000,0.0000,779.0000,150.0000,929.0000,3.0000,325.0000,66.0000,234.0000,656.0000,0.0000,736750.0000
Uttar Pradesh,2001,28.0000,122.0000,150.0000,122.0000,1.0000,0.0000,0.0000,51.0000,65.0000,25.0000,1.0000,0.0000,7.0000,155.0000,3.0000,21000.0000,0.0000,147.0000,51.0000,198.0000,2.0000,3.0000,0.0000,3.0000,193.0000,0.0000,0.0000
Kerala,2006,531.0000,122.0000,653.0000,653.0000,1.0000,0.0000,19.0000,75.0000,20.0000,2.0000,11.0000,19.0000,18.0000,521.0000,5.0000,0.0000,0.0000,441.0000,75.0000,516.0000,1.0000,34.0000,25.0000,9.0000,481.0000,0.0000,1577000.0000
Bihar,2008,86.0000,116.0000,202.0000,202.0000,1.0000,0.0000,0.0000,88.0000,70.0000,0.0000,0.0000,0.0000,0.0000,129.0000,80.0000,8679253.0000,0.0000,684.0000,88.0000,772.0000,0.0000,9.0000,8.0000,1.0000,763.0000,0.0000,23000.0000
Madhya Pradesh,2004,265.0000,111.0000,376.0000,376.0000,0.0000,0.0000,0.0000,283.0000,186.0000,0.0000,5.0000,0.0000,20.0000,107.0000,7.0000,31286758.0000,75.0000,508.0000,283.0000,791.0000,4.0000,151.0000,65.0000,86.0000,636.0000,43.0000,2392988.0000
Haryana,2001,135.0000,110.0000,245.0000,239.0000,53.0000,1.0000,9.0000,77.0000,27.0000,61.0000,0.0000,0.0000,11.0000,102.0000,21.0000,1045500.0000,0.0000,319.0000,77.0000,396.0000,19.0000,34.0000,4.0000,30.0000,343.0000,0.0000,15000.0000
Himachal Pradesh,2010,296.0000,110.0000,406.0000,406.0000,0.0000,0.0000,7.0000,139.0000,25.0000,0.0000,0.0000,0.0000,21.0000,259.0000,64.0000,20280810.0000,0.0000,373.0000,139.0000,512.0000,8.0000,62.0000,10.0000,52.0000,442.0000,0.0000,268500.0000
Tamil Nadu,2006,262.0000,109.0000,371.0000,371.0000,4.0000,0.0000,0.0000,9.0000,12.0000,28.0000,103.0000,2.0000,46.0000,216.0000,61.0000,1424728.0000,0.0000,148.0000,9.0000,157.0000,1.0000,14.0000,1.0000,13.0000,142.0000,0.0000,6000.0000
Haryana,2004,228.0000,108.0000,336.0000,246.0000,0.0000,0.0000,10.0000,123.0000,16.0000,84.0000,0.0000,0.0000,18.0000,199.0000,27.0000,83900.0000,0.0000,496.0000,123.0000,619.0000,3.0000,87.0000,22.0000,65.0000,529.0000,0.0000,163800.0000
Madhya Pradesh,2010,132.0000,107.0000,239.0000,239.0000,0.0000,0.0000,0.0000,78.0000,12.0000,0.0000,0.0000,0.0000,4.0000,145.0000,25.0000,25659477.0000,0.0000,256.0000,78.0000,334.0000,4.0000,45.0000,17.0000,24.0000,289.0000,45.9000,5071000.0000
Punjab,2010,369.0000,107.0000,476.0000,264.0000,12.0000,2.0000,13.0000,182.0000,76.0000,53.0000,0.0000,15.0000,79.0000,210.0000,33.0000,371810.0000,0.0000,912.0000,182.0000,1094.0000,8.0000,277.0000,89.0000,188.0000,809.0000,0.0000,596600.0000
Bihar,2006,227.0000,104.0000,331.0000,331.0000,0.0000,1.0000,0.0000,69.0000,60.0000,0.0000,0.0000,0.0000,15.0000,220.0000,70.0000,25359911.0000,0.0000,372.0000,69.0000,443.0000,1.0000,1.0000,1.0000,0.0000,440.0000,0.0000,0.0000
Uttar Pradesh,2006,74.0000,100.0000,174.0000,174.0000,0.0000,0.0000,0.0000,59.0000,35.0000,25.0000,2.0000,0.0000,12.0000,115.0000,0.0000,0.0000,0.0000,320.0000,59.0000,379.0000,1.0000,18.0000,0.0000,18.0000,360.0000,0.0000,0.0000
Madhya Pradesh,2009,84.0000,100.0000,184.0000,184.0000,0.0000,0.0000,0.0000,48.0000,13.0000,0.0000,0.0000,0.0000,1.0000,132.0000,15.0000,22810819.0000,0.0000,250.0000,48.0000,298.0000,3.0000,39.0000,26.0000,13.0000,256.0000,66.6000,1371500.0000
Bihar,2010,175.0000,99.0000,274.0000,274.0000,3.0000,0.0000,0.0000,99.0000,97.0000,0.0000,0.0000,0.0000,0.0000,185.0000,74.0000,35216711.0000,0.0000,870.0000,99.0000,969.0000,1.0000,12.0000,10.0000,2.0000,956.0000,90.0000,593200.0000
Tamil Nadu,2002,130.0000,97.0000,227.0000,227.0000,0.0000,0.0000,2.0000,14.0000,0.0000,106.0000,26.0000,8.0000,111.0000,116.0000,18.0000,405148.0000,0.0000,137.0000,14.0000,151.0000,0.0000,36.0000,30.0000,6.0000,115.0000,0.0000,124200.0000
Himachal Pradesh,2008,227.0000,95.0000,322.0000,322.0000,0.0000,0.0000,11.0000,59.0000,26.0000,8.0000,0.0000,0.0000,27.0000,242.0000,35.0000,4130433.0000,0.0000,267.0000,59.0000,373.0000,2.0000,42.0000,12.0000,30.0000,329.0000,0.0000,77000.0000
Karnataka,2003,140.0000,93.0000,233.0000,233.0000,0.0000,1.0000,16.0000,43.0000,34.0000,0.0000,0.0000,0.0000,0.0000,139.0000,30.0000,600250.0000,0.0000,1051.0000,43.0000,1094.0000,20.0000,186.0000,19.0000,167.0000,888.0000,0.0000,312664.0000
Tamil Nadu,2004,228.0000,93.0000,321.0000,321.0000,0.0000,0.0000,0.0000,14.0000,10.0000,10.0000,7.0000,0.0000,27.0000,264.0000,27.0000,23278250.0000,0.0000,124.0000,14.0000,138.0000,0.0000,4.0000,2.0000,2.0000,134.0000,0.0000,116000.0000
Uttar Pradesh,2008,88.0000,85.0000,173.0000,173.0000,0.0000,0.0000,0.0000,94.0000,28.0000,56.0000,0.0000,0.0000,18.0000,84.0000,0.0000,0.0000,0.0000,470.0000,94.0000,564.0000,0.0000,16.0000,3.0000,13.0000,548.0000,0.0000,0.0000
Jammu & Kashmir,2006,151.0000,84.0000,235.0000,116.0000,0.0000,0.0000,0.0000,93.0000,42.0000,0.0000,5.0000,0.0000,92.0000,119.0000,27.0000,12941312.0000,0.0000,324.0000,93.0000,417.0000,1.0000,73.0000,8.0000,65.0000,343.0000,0.0000,4025000.0000
Delhi,2006,155.0000,82.0000,237.0000,83.0000,1.0000,0.0000,0.0000,82.0000,25.0000,43.0000,88.0000,0.0000,1.0000,152.0000,55.0000,1019200.0000,0.0000,350.0000,82.0000,432.0000,5.0000,38.0000,29.0000,9.0000,389.0000,0.0000,491000.0000
Jammu & Kashmir,2007,119.0000,81.0000,200.0000,111.0000,0.0000,0.0000,24.0000,89.0000,51.0000,0.0000,1.0000,0.0000,53.0000,89.0000,27.0000,69633814.0000,0.0000,343.0000,89.0000,432.0000,1.0000,39.0000,4.0000,35.0000,392.0000,0.0000,36000.0000
Haryana,2010,196.0000,79.0000,275.0000,204.0000,0.0000,5.0000,4.0000,99.0000,34.0000,31.0000,0.0000,0.0000,19.0000,184.0000,29.0000,97000.0000,0.0000,656.0000,99.0000,755.0000,5.0000,226.0000,72.0000,154.0000,524.0000,0.0000,458800.0000
Jharkhand,2002,65.0000,78.0000,143.0000,65.0000,0.0000,0.0000,0.0000,65.0000,21.0000,141.0000,0.0000,0.0000,0.0000,65.0000,65.0000,1877992.0000,0.0000,80.0000,84.0000,164.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000
Delhi,2003,81.0000,77.0000,158.0000,46.0000,0.0000,0.0000,0.0000,46.0000,10.0000,17.0000,43.0000,0.0000,0.0000,112.0000,41.0000,75342.0000,0.0000,348.0000,46.0000,394.0000,3.0000,31.0000,8.0000,23.0000,360.0000,0.0000,80000.0000
Karnataka,2004,139.0000,77.0000,216.0000,216.0000,4.0000,1.0000,2.0000,60.0000,82.0000,0.0000,7.0000,0.0000,0.0000,142.0000,77.0000,91050.0000,0.0000,888.0000,60.0000,948.0000,0.0000,265.0000,41.0000,224.0000,683.0000,0.0000,318500.0000
Jammu & Kashmir,2003,290.0000,73.0000,363.0000,107.0000,0.0000,0.0000,0.0000,16.0000,29.0000,0.0000,52.0000,0.0000,75.0000,298.0000,0.0000,0.0000,0.0000,415.0000,16.0000,431.0000,3.0000,51.0000,4.0000,41.0000,377.0000,0.0000,10000.0000
Jharkhand,2010,64.0000,71.0000,135.0000,41.0000,0.0000,0.0000,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.0000,41.0000,4154001.0000,0.0000,48.0000,93.0000,71.0000,0.0000,0.0000,1.0000,1.0000,48.0000,0.0000,0.0000
Delhi,2001,111.0000,70.0000,181.0000,181.0000,0.0000,0.0000,4.0000,89.0000,9.0000,44.0000,74.0000,0.0000,4.0000,84.0000,58.0000,116044.0000,0.0000,311.0000,89.0000,400.0000,1.0000,61.0000,4.0000,57.0000,338.0000,0.0000,2000.0000
Jammu & Kashmir,2010,157.0000,70.0000,227.0000,73.0000,2.0000,0.0000,6.0000,58.0000,31.0000,0.0000,3.0000,0.0000,24.0000,154.0000,22.0000,586120.0000,0.0000,431.0000,58.0000,489.0000,3.0000,15.0000,4.0000,11.0000,470.0000,0.0000,72000.0000
Himachal Pradesh,2007,245.0000,66.0000,315.0000,315.0000,0.0000,0.0000,32.0000,57.0000,23.0000,8.0000,4.0000,4.0000,40.0000,209.0000,18.0000,687844.0000,0.0000,276.0000,80.0000,356.0000,0.0000,16.0000,1.0000,14.0000,299.0000,0.0000,10000.0000
Jammu & Kashmir,2005,213.0000,65.0000,278.0000,127.0000,0.0000,1.0000,0.0000,44.0000,33.0000,0.0000,26.0000,0.0000,184.0000,151.0000,5.0000,12015400.0000,0.0000,317.0000,44.0000,361.0000,5.0000,32.0000,9.0000,23.0000,324.0000,0.0000,771000.0000
Delhi,2004,112.0000,62.0000,174.0000,30.0000,0.0000,0.0000,0.0000,30.0000,19.0000,14.0000,40.0000,0.0000,3.0000,144.0000,43.0000,127555.0000,0.0000,360.0000,30.0000,390.0000,3.0000,40.0000,18.0000,22.0000,347.0000,0.0000,123000.0000
Delhi,2005,144.0000,61.0000,205.0000,53.0000,2.0000,0.0000,1.0000,50.0000,21.0000,17.0000,64.0000,0.0000,3.0000,155.0000,46.0000,156524.0000,0.0000,347.0000,50.0000,397.0000,5.0000,42.0000,18.0000,24.0000,350.0000,0.0000,198500.0000
Jammu & Kashmir,2009,185.0000,61.0000,246.0000,89.0000,0.0000,0.0000,6.0000,40.0000,36.0000,0.0000,1.0000,32.0000,32.0000,157.0000,30.0000,110070.0000,0.0000,428.0000,40.0000,468.0000,3.0000,34.0000,11.0000,23.0000,431.0000,0.0000,1285000.0000
Delhi,2002,84.0000,56.0000,140.0000,58.0000,1.0000,1.0000,1.0000,53.0000,12.0000,20.0000,74.0000,0.0000,5.0000,81.0000,44.0000,173906.0000,0.0000,338.0000,53.0000,391.0000,2.0000,41.0000,12.0000,29.0000,348.0000,0.0000,87200.0000
Jammu & Kashmir,2002,317.0000,56.0000,373.0000,122.0000,0.0000,5.0000,0.0000,43.0000,41.0000,0.0000,34.0000,0.0000,41.0000,290.0000,0.0000,0.0000,35.2000,394.0000,43.0000,437.0000,1.0000,21.0000,1.0000,20.0000,415.0000,4.5000,2000.0000
Chhattisgarh,2002,108.0000,55.0000,163.0000,157.0000,0.0000,0.0000,0.0000,52.0000,43.0000,0.0000,0.0000,0.0000,4.0000,107.0000,45.0000,215572.0000,0.0000,159.0000,52.0000,211.0000,2.0000,61.0000,32.0000,29.0000,148.0000,0.0000,347000.0000
Himachal Pradesh,2003,150.0000,55.0000,205.0000,205.0000,0.0000,0.0000,0.0000,27.0000,16.0000,14.0000,1.0000,0.0000,26.0000,152.0000,18.0000,49900.0000,0.0000,88.0000,27.0000,115.0000,1.0000,32.0000,4.0000,28.0000,82.0000,0.0000,30000.0000
Jammu & Kashmir,2008,89.0000,52.0000,141.0000,57.0000,0.0000,0.0000,10.0000,62.0000,31.0000,0.0000,2.0000,0.0000,34.0000,84.0000,9.0000,800247.0000,0.0000,392.0000,62.0000,454.0000,1.0000,25.0000,69.0000,19.0000,428.0000,0.0000,260675.0000
Delhi,2007,152.0000,51.0000,203.0000,60.0000,13.0000,0.0000,0.0000,47.0000,21.0000,24.0000,40.0000,0.0000,13.0000,145.0000,34.0000,94900.0000,0.0000,389.0000,47.0000,436.0000,0.0000,65.0000,38.0000,27.0000,371.0000,0.0000,644500.0000
Madhya Pradesh,2007,49.0000,49.0000,98.0000,98.0000,0.0000,0.0000,0.0000,83.0000,13.0000,0.0000,1.0000,0.0000,3.0000,57.0000,2.0000,1237555.0000,0.0000,396.0000,83.0000,479.0000,6.0000,129.0000,85.0000,44.0000,344.0000,66.0000,1151343.0000
Chhattisgarh,2009,85.0000,49.0000,134.0000,131.0000,0.0000,0.0000,0.0000,31.0000,22.0000,0.0000,0.0000,0.0000,5.0000,116.0000,49.0000,1508500.0000,0.0000,118.0000,31.0000,149.0000,2.0000,16.0000,3.0000,13.0000,131.0000,0.0000,15000.0000
Chhattisgarh,2010,116.0000,49.0000,165.0000,152.0000,0.0000,0.0000,0.0000,24.0000,27.0000,0.0000,0.0000,0.0000,4.0000,132.0000,48.0000,24154236.0000,0.0000,131.0000,24.0000,155.0000,3.0000,8.0000,4.0000,4.0000,144.0000,0.0000,11000.0000
Jammu & Kashmir,2001,308.0000,48.0000,356.0000,125.0000,0.0000,7.0000,0.0000,38.0000,35.0000,0.0000,45.0000,0.0000,0.0000,317.0000,0.0000,0.0000,30.4000,391.0000,38.0000,429.0000,3.0000,33.0000,5.0000,28.0000,393.0000,15.0000,67000.0000
Himachal Pradesh,2005,133.0000,48.0000,181.0000,181.0000,0.0000,0.0000,0.0000,39.0000,20.0000,12.0000,1.0000,0.0000,9.0000,133.0000,20.0000,94000.0000,0.0000,80.0000,39.0000,119.0000,1.0000,18.0000,5.0000,13.0000,100.0000,0.0000,82000.0000
Chhattisgarh,2006,57.0000,48.0000,105.0000,85.0000,0.0000,0.0000,0.0000,25.0000,25.0000,0.0000,0.0000,0.0000,1.0000,88.0000,44.0000,21288440.0000,0.0000,127.0000,25.0000,152.0000,0.0000,18.0000,5.0000,13.0000,134.0000,0.0000,27500.0000
Uttar Pradesh,2009,84.0000,48.0000,132.0000,132.0000,0.0000,0.0000,0.0000,51.0000,23.0000,23.0000,0.0000,0.0000,5.0000,91.0000,0.0000,0.0000,0.0000,548.0000,51.0000,599.0000,0.0000,13.0000,6.0000,7.0000,586.0000,0.0000,0.0000
Himachal Pradesh,2001,151.0000,45.0000,196.0000,196.0000,0.0000,3.0000,0.0000,30.0000,30.0000,25.0000,0.0000,2.0000,13.0000,149.0000,6.0000,43497.0000,0.0000,74.0000,30.0000,104.0000,0.0000,20.0000,4.0000,16.0000,84.0000,0.0000,6500.0000
Himachal Pradesh,2006,133.0000,45.0000,178.0000,178.0000,0.0000,0.0000,0.0000,29.0000,21.0000,2.0000,0.0000,0.0000,14.0000,135.0000,14.0000,51100.0000,0.0000,100.0000,29.0000,129.0000,1.0000,16.0000,3.0000,13.0000,112.0000,0.0000,11400.0000
Delhi,2008,145.0000,45.0000,190.0000,76.0000,30.0000,0.0000,0.0000,46.0000,23.0000,13.0000,33.0000,0.0000,30.0000,124.0000,13.0000,114500.0000,0.0000,371.0000,46.0000,417.0000,3.0000,66.0000,51.0000,15.0000,348.0000,0.0000,463000.0000
Delhi,2009,124.0000,45.0000,169.0000,25.0000,4.0000,0.0000,0.0000,21.0000,14.0000,3.0000,21.0000,0.0000,4.0000,154.0000,23.0000,120400.0000,0.0000,348.0000,21.0000,369.0000,1.0000,63.0000,44.0000,19.0000,305.0000,0.0000,6150000.0000
Tamil Nadu,2001,131.0000,43.0000,174.0000,174.0000,0.0000,0.0000,2.0000,5.0000,8.0000,0.0000,4.0000,3.0000,22.0000,130.0000,4.0000,4296791.0000,0.0000,140.0000,5.0000,145.0000,0.0000,8.0000,0.0000,8.0000,137.0000,0.0000,0.0000
Uttar Pradesh,2005,56.0000,41.0000,97.0000,97.0000,0.0000,0.0000,0.0000,34.0000,34.0000,8.0000,4.0000,0.0000,6.0000,74.0000,0.0000,0.0000,0.0000,296.0000,37.0000,333.0000,0.0000,13.0000,4.0000,9.0000,320.0000,0.0000,0.0000
Madhya Pradesh,2008,57.0000,41.0000,98.0000,98.0000,0.0000,0.0000,0.0000,42.0000,10.0000,0.0000,0.0000,0.0000,3.0000,84.0000,5.0000,27568478.0000,0.0000,344.0000,42.0000,386.0000,2.0000,134.0000,53.0000,81.0000,250.0000,52.4000,5660951.0000
Delhi,2010,154.0000,39.0000,193.0000,17.0000,6.0000,0.0000,0.0000,11.0000,22.0000,5.0000,24.0000,0.0000,6.0000,176.0000,17.0000,130000.0000,0.0000,305.0000,11.0000,316.0000,2.0000,91.0000,53.0000,38.0000,223.0000,0.0000,1217000.0000
Chhattisgarh,2005,82.0000,37.0000,119.0000,105.0000,0.0000,0.0000,0.0000,21.0000,37.0000,0.0000,0.0000,0.0000,4.0000,57.0000,36.0000,4766175.0000,0.0000,137.0000,21.0000,158.0000,0.0000,31.0000,15.0000,16.0000,127.0000,0.0000,50000.0000
Madhya Pradesh,2006,83.0000,37.0000,120.0000,120.0000,0.0000,0.0000,0.0000,83.0000,31.0000,0.0000,2.0000,0.0000,9.0000,49.0000,0.0000,0.0000,88.4000,585.0000,83.0000,668.0000,2.0000,270.0000,172.0000,98.0000,396.0000,63.0000,5592578.0000
Jharkhand,2003,80.0000,36.0000,116.0000,29.0000,0.0000,0.0000,0.0000,29.0000,33.0000,22.0000,0.0000,0.0000,0.0000,80.0000,72.0000,195500.0000,0.0000,217.0000,22.0000,116.0000,1.0000,0.0000,4.0000,0.0000,213.0000,0.0000,11000.0000
Himachal Pradesh,2002,149.0000,33.0000,182.0000,182.0000,0.0000,0.0000,0.0000,23.0000,38.0000,17.0000,0.0000,0.0000,9.0000,150.0000,12.0000,12700.0000,0.0000,84.0000,23.0000,107.0000,3.0000,16.0000,6.0000,10.0000,88.0000,0.0000,66000.0000
