area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Bihar,2004,179.0000,31.0000,210.0000,210.0000,0.0000,0.0000,0.0000,17.0000,31.0000,0.0000,0.0000,0.0000,0.0000,219.0000,11.0000,27000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,6.0000,1.0000,357.0000,0.0000,22500.0000
Uttar Pradesh,2010,91.0000,30.0000,121.0000,121.0000,0.0000,0.0000,0.0000,51.0000,43.0000,43.0000,0.0000,0.0000,18.0000,125.0000,0.0000,0.0000,0.0000,586.0000,51.0000,637.0000,0.0000,89.0000,67.0000,22.0000,548.0000,0.0000,0.0000
Madhya Pradesh,2005,107.0000,29.0000,136.0000,136.0000,0.0000,0.0000,0.0000,133.0000,86.0000,0.0000,3.0000,0.0000,14.0000,0.0000,3.0000,1552012.0000,89.9000,636.0000,133.0000,769.0000,8.0000,184.0000,85.0000,91.0000,585.0000,48.0000,360900.0000
Jammu & Kashmir,2004,298.0000,27.0000,325.0000,112.0000,0.0000,0.0000,0.0000,7.0000,17.0000,0.0000,54.0000,0.0000,76.0000,213.0000,0.0000,0.0000,0.0000,377.0000,7.0000,384.0000,13.0000,54.0000,4.0000,50.0000,317.0000,0.0000,63000.0000
Chhattisgarh,2008,95.0000,27.0000,122.0000,119.0000,0.0000,0.0000,0.0000,18.0000,40.0000,0.0000,0.0000,0.0000,6.0000,85.0000,27.0000,126900.0000,0.0000,129.0000,18.0000,147.0000,1.0000,28.0000,9.0000,19.0000,118.0000,0.0000,32300.0000
Jharkhand,2008,97.0000,27.0000,124.0000,124.0000,0.0000,0.0000,0.0000,33.0000,17.0000,23.0000,22.0000,33.0000,2.0000,97.0000,24.0000,365000.0000,26.6000,38.0000,24.0000,62.0000,1.0000,0.0000,0.0000,0.0000,272.0000,0.0000,0.0000
Jharkhand,2009,97.0000,27.0000,124.0000,124.0000,0.0000,0.0000,0.0000,33.0000,17.0000,23.0000,22.0000,33.0000,2.0000,97.0000,24.0000,365000.0000,26.6000,38.0000,24.0000,62.0000,1.0000,0.0000,0.0000,0.0000,272.0000,0.0000,0.0000
Assam,2003,48.0000,26.0000,74.0000,74.0000,0.0000,0.0000,0.0000,7.0000,13.0000,7.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.0000,31.0000,7.0000,38.0000,0.0000,0.0000,0.0000,0.0000,38.0000,0.0000,0.0000
Jharkhand,2004,92.0000,26.0000,118.0000,31.0000,0.0000,0.0000,0.0000,31.0000,38.0000,31.0000,26.0000,0.0000,0.0000,92.0000,0.0000,27400.0000,2.0000,31.0000,31.0000,1.0000,11.0000,1.0000,2.0000,0.0000,2.0000,0.0000,0.0000
Uttar Pradesh,2004,23.0000,26.0000,49.0000,49.0000,0.0000,0.0000,0.0000,27.0000,48.0000,10.0000,1.0000,0.0000,4.0000,56.0000,0.0000,0.0000,0.0000,278.0000,27.0000,305.0000,4.0000,5.0000,1.0000,4.0000,296.0000,0.0000,0.0000
Sikkim,2001,34.0000,25.0000,59.0000,59.0000,1.0000,1.0000,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,12.0000,33.0000,0.0000,0.0000,0.0000,17.0000,4.0000,21.0000,0.0000,6.0000,3.0000,3.0000,15.0000,0.0000,8000.0000
Nagaland,2010,32.0000,23.0000,55.0000,55.0000,1.0000,0.0000,0.0000,3.0000,2.0000,2.0000,0.0000,2.0000,8.0000,20.0000,1.0000,132000.0000,0.0000,8.0000,3.0000,11.0000,2.0000,1.0000,0.0000,1.0000,8.0000,0.0000,0.0000
Bihar,2003,174.0000,22.0000,196.0000,196.0000,0.0000,0.0000,0.0000,16.0000,30.0000,16.0000,0.0000,0.0000,0.0000,179.0000,2.0000,300000.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sikkim,2008,33.0000,22.0000,55.0000,55.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,4.0000,0.0000,3.0000,50.0000,1.0000,568430.0000,0.0000,27.0000,2.0000,29.0000,1.0000,6.0000,3.0000,3.0000,22.0000,0.0000,9000.0000
Sikkim,2002,33.0000,21.0000,54.0000,54.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,7.0000,42.0000,0.0000,0.0000,0.0000,15.0000,5.0000,20.0000,0.0000,4.0000,3.0000,1.0000,16.0000,0.0000,5000.0000
Bihar,2005,319.0000,21.0000,340.0000,340.0000,0.0000,0.0000,0.0000,23.0000,0.0000,43.0000,0.0000,0.0000,0.0000,227.0000,6.0000,18400.0000,0.0000,347.0000,30.0000,377.0000,2.0000,3.0000,3.0000,0.0000,372.0000,0.0000,0.0000
Himachal Pradesh,2004,152.0000,20.0000,172.0000,172.0000,0.0000,0.0000,0.0000,28.0000,19.0000,11.0000,1.0000,0.0000,12.0000,133.0000,8.0000,29200.0000,0.0000,82.0000,28.0000,110.0000,1.0000,29.0000,11.0000,18.0000,80.0000,0.0000,41000.0000
Chhattisgarh,2007,88.0000,20.0000,108.0000,93.0000,0.0000,0.0000,0.0000,7.0000,28.0000,0.0000,0.0000,0.0000,5.0000,95.0000,19.0000,1784300.0000,0.0000,134.0000,7.0000,141.0000,0.0000,12.0000,4.0000,8.0000,129.0000,0.0000,20000.0000
Sikkim,2007,30.0000,18.0000,48.0000,48.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,4.0000,0.0000,6.0000,33.0000,2.0000,797927.0000,0.0000,25.0000,9.0000,34.0000,0.0000,7.0000,5.0000,2.0000,27.0000,0.0000,35500.0000
Assam,2001,31.0000,17.0000,48.0000,48.0000,0.0000,0.0000,1.0000,8.0000,16.0000,8.0000,0.0000,0.0000,1.0000,39.0000,0.0000,0.0000,0.0000,22.0000,8.0000,30.0000,0.0000,1.0000,0.0000,1.0000,29.0000,0.0000,0.0000
Bihar,2001,232.0000,17.0000,249.0000,249.0000,0.0000,0.0000,0.0000,17.0000,36.0000,18.0000,0.0000,0.0000,0.0000,171.0000,5.0000,155500.0000,0.0000,326.0000,17.0000,343.0000,2.0000,3.0000,3.0000,0.0000,338.0000,0.0000,0.0000
Assam,2004,54.0000,17.0000,71.0000,71.0000,0.0000,0.0000,0.0000,2.0000,17.0000,0.0000,0.0000,0.0000,0.0000,54.0000,0.0000,0.0000,38.0000,2.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000,0.0000,0.0000
Chhattisgarh,2004,92.0000,16.0000,108.0000,92.0000,0.0000,0.0000,0.0000,23.0000,37.0000,0.0000,0.0000,0.0000,3.0000,82.0000,16.0000,247537.0000,0.0000,143.0000,23.0000,166.0000,0.0000,29.0000,18.0000,11.0000,137.0000,0.0000,56200.0000
Sikkim,2005,29.0000,16.0000,45.0000,45.0000,0.0000,0.0000,0.0000,7.0000,1.0000,0.0000,2.0000,0.0000,5.0000,33.0000,0.0000,0.0000,0.0000,22.0000,7.0000,29.0000,1.0000,3.0000,3.0000,0.0000,25.0000,0.0000,7000.0000
Jharkhand,2007,97.0000,16.0000,113.0000,113.0000,0.0000,0.0000,2.0000,20.0000,13.0000,22.0000,14.0000,20.0000,2.0000,91.0000,14.0000,143000.0000,90.0000,168.0000,22.0000,192.0000,0.0000,0.0000,0.0000,0.0000,192.0000,0.0000,0.0000
Chhattisgarh,2003,107.0000,15.0000,122.0000,101.0000,0.0000,1.0000,0.0000,28.0000,38.0000,0.0000,0.0000,0.0000,1.0000,92.0000,13.0000,4671240.0000,0.0000,148.0000,28.0000,176.0000,0.0000,33.0000,23.0000,10.0000,143.0000,0.0000,123700.0000
Jharkhand,2006,94.0000,15.0000,109.0000,109.0000,0.0000,0.0000,0.0000,12.0000,28.0000,12.0000,12.0000,12.0000,0.0000,97.0000,15.0000,46700.0000,100.0000,156.0000,12.0000,167.0000,0.0000,1.0000,1.0000,0.0000,167.0000,100.0000,2000.0000
Chandigarh,2006,18.0000,13.0000,31.0000,31.0000,1.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,0.0000,18.0000,8.0000,26.0000,0.0000,2.0000,0.0000,2.0000,24.0000,0.0000,0.0000
Bihar,2002,171.0000,12.0000,183.0000,183.0000,0.0000,0.0000,0.0000,8.0000,35.0000,8.0000,0.0000,0.0000,0.0000,174.0000,2.0000,9000.0000,0.0000,338.0000,8.0000,346.0000,4.0000,5.0000,4.0000,1.0000,337.0000,0.0000,6000.0000
Sikkim,2004,42.0000,12.0000,54.0000,54.0000,0.0000,0.0000,0.0000,8.0000,0.0000,2.0000,6.0000,0.0000,17.0000,29.0000,1.0000,16616.0000,0.0000,19.0000,8.0000,27.0000,3.0000,2.0000,1.0000,1.0000,22.0000,0.0000,35000.0000
Assam,2002,39.0000,11.0000,50.0000,50.0000,0.0000,0.0000,0.0000,2.0000,17.0000,2.0000,0.0000,0.0000,0.0000,39.0000,0.0000,0.0000,0.0000,29.0000,2.0000,31.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.0000
Uttarakhand,2004,15.0000,11.0000,26.0000,4.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.0000,4000.0000,0.0000,10.0000,4.0000,14.0000,0.0000,1.0000,0.0000,1.0000,13.0000,0.0000,0.0000
Uttarakhand,2006,18.0000,11.0000,29.0000,2.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,1.0000,1.0000,0.0000,27.0000,2.0000,7000.0000,0.0000,15.0000,2.0000,17.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0000,0.0000
Chandigarh,2008,26.0000,11.0000,37.0000,37.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,0.0000,0.0000,0.0000,25.0000,8.0000,33.0000,0.0000,4.0000,3.0000,1.0000,29.0000,0.0000,0.0000
Goa,2001,4.0000,10.0000,14.0000,14.0000,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,18.0000,3.0000,21.0000,0.0000,1.0000,0.0000,1.0000,20.0000,0.0000,0.0000
Goa,2002,11.0000,10.0000,21.0000,21.0000,0.0000,0.0000,0.0000,5.0000,0.0000,3.0000,0.0000,0.0000,0.0000,16.0000,1.0000,10000.0000,23.8000,20.0000,5.0000,25.0000,1.0000,3.0000,0.0000,3.0000,21.0000,0.0000,0.0000
Sikkim,2006,33.0000,10.0000,43.0000,43.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,3.0000,1.0000,8.0000,30.0000,0.0000,0.0000,0.0000,25.0000,5.0000,30.0000,2.0000,3.0000,3.0000,0.0000,25.0000,19000.0000,0.0000
Assam,2005,69.0000,9.0000,78.0000,78.0000,0.0000,0.0000,0.0000,1.0000,22.0000,1.0000,0.0000,0.0000,0.0000,69.0000,0.0000,0.0000,0.0000,40.0000,1.0000,41.0000,0.0000,1.0000,1.0000,0.0000,40.0000,0.0000,0.0000
Nagaland,2009,26.0000,9.0000,35.0000,35.0000,1.0000,0.0000,0.0000,7.0000,3.0000,0.0000,0.0000,2.0000,0.0000,13.0000,2.0000,28695375.0000,0.0000,8.0000,7.0000,15.0000,0.0000,1.0000,12.0000,2.0000,8.0000,0.0000,0.0000
Mizoram,2010,8.0000,9.0000,17.0000,13.0000,4.0000,0.0000,0.0000,3.0000,2.0000,1.0000,1.0000,3.0000,1.0000,9.0000,0.0000,48042484.0000,18.0000,4.0000,3.0000,7.0000,0.0000,2.0000,0.0000,2.0000,5.0000,0.0000,0.0000
Sikkim,2010,48.0000,9.0000,57.0000,57.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,2.0000,0.0000,7.0000,45.0000,0.0000,0.0000,0.0000,26.0000,5.0000,31.0000,0.0000,1.0000,0.0000,1.0000,30.0000,0.0000,0.0000
Chandigarh,2001,7.0000,8.0000,15.0000,15.0000,1.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,10.0000,3.0000,13.0000,0.0000,1.0000,0.0000,1.0000,12.0000,0.0000,0.0000
Manipur,2002,9.0000,8.0000,17.0000,17.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0000,0.0000,0.0000,11.0000,1.0000,12.0000,1.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000
Uttarakhand,2005,12.0000,8.0000,20.0000,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0000,1.0000,116800.0000,0.0000,13.0000,2.0000,15.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000
Chandigarh,2007,23.0000,8.0000,31.0000,31.0000,1.0000,0.0000,1.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,0.0000,0.0000,0.0000,24.0000,9.0000,33.0000,0.0000,8.0000,3.0000,5.0000,25.0000,0.0000,0.0000
Chandigarh,2009,29.0000,8.0000,37.0000,2.0000,0.0000,0.0000,16.0000,2.0000,0.0000,0.0000,0.0000,2.0000,17.0000,17.0000,0.0000,0.0000,0.0000,30.0000,16.0000,46.0000,0.0000,9.0000,4.0000,5.0000,37.0000,0.0000,0.0000
Sikkim,2009,50.0000,8.0000,58.0000,58.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,2.0000,0.0000,6.0000,48.0000,0.0000,0.0000,0.0000,22.0000,4.0000,26.0000,0.0000,0.0000,0.0000,0.0000,26.0000,0.0000,0.0000
Sikkim,2003,42.0000,7.0000,49.0000,49.0000,0.0000,0.0000,0.0000,7.0000,2.0000,0.0000,2.0000,1.0000,17.0000,42.0000,0.0000,0.0000,0.0000,16.0000,7.0000,23.0000,0.0000,5.0000,5.0000,0.0000,18.0000,0.0000,16200.0000
Chandigarh,2005,15.0000,7.0000,22.0000,22.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0000,0.0000,0.0000,0.0000,15.0000,4.0000,19.0000,0.0000,1.0000,0.0000,1.0000,18.0000,0.0000,0.0000
Nagaland,2008,10.0000,7.0000,17.0000,17.0000,0.0000,0.0000,0.0000,1.0000,3.0000,3.0000,3.0000,5.0000,0.0000,16.0000,3.0000,22739000.0000,0.0000,0.0000,1.0000,14.0000,0.0000,2.0000,1.0000,1.0000,6.0000,0.0000,0.0000
Arunachal Pradesh,2009,3.0000,7.0000,10.0000,10.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,1.0000,7.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Chandigarh,2003,10.0000,6.0000,16.0000,16.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,13.0000,3.0000,16.0000,0.0000,1.0000,0.0000,1.0000,15.0000,0.0000,0.0000
Puducherry,2007,3.0000,6.0000,9.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,8.0000,0.0000,8.0000,0.0000,1.0000,1.0000,0.0000,7.0000,0.0000,55000.0000
Mizoram,2009,4.0000,6.0000,10.0000,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,8.0000,1.0000,6153365.0000,100.0000,2.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
Uttarakhand,2002,13.0000,5.0000,18.0000,6.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12.0000,4.0000,6000.0000,0.0000,6.0000,5.0000,11.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000
Goa,2003,16.0000,5.0000,21.0000,21.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,18.0000,0.0000,0.0000,14.2000,21.0000,3.0000,24.0000,1.0000,1.0000,0.0000,1.0000,22.0000,0.0000,0.0000
Chandigarh,2004,13.0000,5.0000,18.0000,18.0000,2.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,15.0000,1.0000,16.0000,0.0000,1.0000,0.0000,1.0000,15.0000,0.0000,0.0000
Andaman & Nicobar Islands,2007,9.0000,5.0000,14.0000,14.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12.0000,0.0000,0.0000,0.0000,7.0000,1.0000,8.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000
Puducherry,2008,9.0000,5.0000,14.0000,14.0000,1.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,7.0000,8.0000,15.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000
Assam,2010,71.0000,5.0000,76.0000,76.0000,0.0000,0.0000,6.0000,6.0000,11.0000,0.0000,0.0000,0.0000,6.0000,64.0000,0.0000,0.0000,50.0000,38.0000,6.0000,44.0000,0.0000,4.0000,2.0000,2.0000,40.0000,50.0000,30000.0000
Lakshadweep,2010,0.0000,5.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,4.0000,0.0000,4.0000,0.0000,1.0000,0.0000,1.0000,3.0000,0.0000,0.0000
Uttarakhand,2001,13.0000,4.0000,17.0000,13.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,1.0000,2.0000,1.0000,13.0000,1.0000,500.0000,0.0000,6.0000,2.0000,8.0000,0.0000,2.0000,1.0000,1.0000,6.0000,0.0000,0.0000
Andaman & Nicobar Islands,2006,9.0000,4.0000,13.0000,13.0000,0.0000,0.0000,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,1.0000,9.0000,0.0000,0.0000,0.0000,4.0000,3.0000,7.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000
Puducherry,2006,4.0000,4.0000,8.0000,8.0000,1.0000,0.0000,1.0000,3.0000,5.0000,3.0000,0.0000,0.0000,1.0000,2.0000,1.0000,0.0000,0.0000,11.0000,3.0000,14.0000,0.0000,6.0000,3.0000,3.0000,8.0000,0.0000,3000.0000
Tripura,2006,4.0000,4.0000,8.0000,8.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
Mizoram,2007,4.0000,4.0000,12.0000,12.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2007,27.0000,4.0000,31.0000,12.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.0000,0.0000,17.0000,12.0000,29.0000,0.0000,1.0000,0.0000,1.0000,28.0000,0.0000,0.0000
Andaman & Nicobar Islands,2008,12.0000,4.0000,16.0000,16.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,12.0000,0.0000,0.0000,0.0000,8.0000,2.0000,10.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000
Manipur,2008,8.0000,4.0000,12.0000,12.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000,21.0000,0.0000,21.0000,0.0000,1.0000,0.0000,1.0000,20.0000,0.0000,0.0000
Mizoram,2008,4.0000,4.0000,8.0000,2.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,4.0000,1.0000,2320020.0000,0.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Puducherry,2009,18.0000,4.0000,22.0000,22.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,21.0000,0.0000,0.0000,0.0000,26.0000,1.0000,27.0000,1.0000,1.0000,0.0000,1.0000,25.0000,0.0000,0.0000
Andaman & Nicobar Islands,2010,11.0000,4.0000,15.0000,15.0000,0.0000,0.0000,2.0000,2.0000,1.0000,1.0000,0.0000,0.0000,2.0000,11.0000,0.0000,0.0000,13.3000,11.0000,2.0000,12.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000
Puducherry,2001,6.0000,3.0000,9.0000,9.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,23.0000,5.0000,2.0000,7.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000
West Bengal,2001,25.0000,3.0000,28.0000,28.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,26.0000,1.0000,500.0000,0.0000,23.0000,2.0000,25.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,40000.0000
Chandigarh,2002,11.0000,3.0000,14.0000,14.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,12.0000,4.0000,16.0000,0.0000,3.0000,1.0000,2.0000,13.0000,0.0000,0.0000
Puducherry,2002,7.0000,3.0000,10.0000,10.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,7.0000,1.0000,8.0000,0.0000,3.0000,0.0000,3.0000,5.0000,0.0000,0.0000
Andaman & Nicobar Islands,2003,7.0000,3.0000,10.0000,9.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,0.0000,0.0000,0.0000,2.0000,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000
Arunachal Pradesh,2003,0.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2003,12.0000,3.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,1.0000,20000.0000,0.0000,11.0000,0.0000,11.0000,0.0000,1.0000,0.0000,1.0000,10.0000,0.0000,0.0000
Andaman & Nicobar Islands,2004,7.0000,3.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000
Manipur,2005,12.0000,3.0000,15.0000,15.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,4.0000,9.0000,0.0000,0.0000,0.0000,15.0000,2.0000,17.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0000,0.0000
Puducherry,2005,8.0000,3.0000,11.0000,11.0000,1.0000,0.0000,1.0000,5.0000,0.0000,0.0000,0.0000,0.0000,1.0000,5.0000,0.0000,0.0000,0.0000,6.0000,5.0000,11.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000
Manipur,2007,9.0000,3.0000,12.0000,12.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,17.0000,4.0000,21.0000,0.0000,0.0000,0.0000,0.0000,21.0000,0.0000,0.0000
Uttarakhand,2008,19.0000,3.0000,22.0000,3.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.0000,0.0000,28.0000,3.0000,31.0000,0.0000,1.0000,0.0000,1.0000,30.0000,0.0000,0.0000
Assam,2009,74.0000,3.0000,77.0000,77.0000,0.0000,0.0000,3.0000,3.0000,12.0000,3.0000,0.0000,0.0000,3.0000,71.0000,0.0000,0.0000,0.0000,38.0000,3.0000,41.0000,0.0000,3.0000,1.0000,2.0000,38.0000,0.0000,5000.0000
Chandigarh,2010,17.0000,3.0000,20.0000,20.0000,0.0000,0.0000,0.0000,5.0000,4.0000,0.0000,0.0000,0.0000,2.0000,14.0000,1.0000,44200.0000,0.0000,37.0000,5.0000,42.0000,0.0000,9.0000,6.0000,3.0000,33.0000,0.0000,0.0000
Puducherry,2010,21.0000,3.0000,24.0000,24.0000,0.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,25.0000,2.0000,27.0000,1.0000,2.0000,1.0000,1.0000,24.0000,0.0000,0.0000
Mizoram,2001,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,9.0000,0.0000,9.0000,1.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000
Tripura,2001,0.0000,2.0000,2.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,13000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2003,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Nagaland,2004,4.0000,2.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2004,2.0000,2.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
