area_name,year,sub_group,cpa_cases_registered,cpa_cases_reported_for_dept_action,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_magisterial_enquiries,cpa_cases_sent_for_trials_charge_sheeted,cpa_no_of_judicial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded
Andaman & Nicobar Islands,2001,Complaints Against Police Personnel,10,4,0,10,4,0,5,0,1,0,5,1,0,6,25,73,2,11,20
Andhra Pradesh,2001,Complaints Against Police Personnel,3078,72,109,3229,160,2969,3039,23,12,3,92,15,16,23,476,1506,47,248,1085
Arunachal Pradesh,2001,Complaints Against Police Personnel,24,39,5,54,44,0,17,0,0,0,17,0,1,8,43,107,4,17,15
Assam,2001,Complaints Against Police Personnel,17,3,1,52,52,3,9,1,1,0,7,1,1,0,7,144,5,61,102
Bihar,2001,Complaints Against Police Personnel,1,1,12,125,3,15,18,81,0,0,81,0,6,537,141,1385,33,470,1557
Chandigarh,2001,Complaints Against Police Personnel,6,1,42,52,1,0,2,0,0,0,2,0,1,141,14,131,11,57,17
Chhattisgarh,2001,Complaints Against Police Personnel,137,51,2008,2618,748,5,13,1,2,4,30,6,1,22,44,131,0,26,36
Dadra & Nagar Haveli,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Complaints Against Police Personnel,184,99,368,6572,428,0,5,0,0,0,5,0,0,0,0,99,103,487,1864
Goa,2001,Complaints Against Police Personnel,2,7,0,8,7,0,1,1,4,0,1,4,0,90,113,168,0,6,84
Gujarat,2001,Complaints Against Police Personnel,417,1736,548,2358,555,2,364,53,26,18,419,44,32,2441,191,3429,67,143,2682
Haryana,2001,Complaints Against Police Personnel,9,11,1635,1681,792,0,4,0,0,0,5,0,0,0,0,21,0,2,5
Himachal Pradesh,2001,Complaints Against Police Personnel,7,0,118,179,1,0,4,0,18,2,4,20,0,4,40,35,2,23,27
Jammu & Kashmir,2001,Complaints Against Police Personnel,44,6,447,560,168,1,30,1,0,0,74,0,29,634,778,2938,81,1573,923
Jharkhand,2001,Complaints Against Police Personnel,12,0,2,11,0,0,2,8,0,0,3,0,2,193,91,379,41,202,42
Karnataka,2001,Complaints Against Police Personnel,183,33,9,2209,196,2,169,7,1,0,20,1,1,334,288,1094,15,79,810
Kerala,2001,Complaints Against Police Personnel,115,34,729,1336,1118,3,44,0,6,1,52,7,9,135,102,548,1,87,123
Lakshadweep,2001,Complaints Against Police Personnel,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Complaints Against Police Personnel,635,452,13907,19390,7605,398,90,0,4,1,27,5,4,166,312,513,28,115,212
Maharashtra,2001,Complaints Against Police Personnel,464,296,2899,5001,2327,21,283,121,19,7,305,26,16,3829,1275,7920,178,486,14531
Manipur,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Complaints Against Police Personnel,6,1,0,6,4,0,1,2,0,0,2,0,2,0,2,28,2,60,52
Mizoram,2001,Complaints Against Police Personnel,9,1,0,7,1,0,6,0,4,0,7,4,3,32,0,43,3,28,6
Nagaland,2001,Complaints Against Police Personnel,76,74,1,99,1,0,35,0,3,0,2,3,1,2,1,8,0,2,1
Odisha,2001,Complaints Against Police Personnel,72,13,9,81,10,5,16,47,0,1,27,1,2,68,36,191,11,72,260
Puducherry,2001,Complaints Against Police Personnel,4,0,2,6,0,0,4,0,1,1,4,2,0,17,18,35,3,7,7
Punjab,2001,Complaints Against Police Personnel,191,186,3023,4046,2459,45,9,4,9,3,30,12,7,30,7,1216,118,600,809
Rajasthan,2001,Complaints Against Police Personnel,110,110,944,1858,909,4,60,1,4,1,70,5,5,2777,1060,4243,90,328,2359
Sikkim,2001,Complaints Against Police Personnel,109,0,5,109,0,0,46,30,0,1,1,1,0,1,1,0,1,0,0
Tamil Nadu,2001,Complaints Against Police Personnel,90,189,6,143,83,5,49,46,2,0,47,2,8,369,377,1185,22,256,690
Tripura,2001,Complaints Against Police Personnel,13,1,2,15,15,0,6,2,1,0,9,1,0,95,40,186,1,21,131
Uttar Pradesh,2001,Complaints Against Police Personnel,1233,1115,4547,5858,1273,30,118,8,4,0,145,4,9,955,253,1208,28,265,662
Uttarakhand,2001,Complaints Against Police Personnel,25,117,763,944,838,1,22,0,1,0,22,1,1,228,16,328,18,33,161
West Bengal,2001,Complaints Against Police Personnel,13,0,0,43,42,0,5,1,0,0,8,0,0,0,5,456,7,149,508
Andaman & Nicobar Islands,2002,Complaints Against Police Personnel,13,0,0,13,0,0,4,0,0,2,3,2,0,20,14,92,3,10,27
Andhra Pradesh,2002,Complaints Against Police Personnel,159,84,67,311,165,2,104,22,12,0,108,12,12,105,497,1850,26,359,1471
Arunachal Pradesh,2002,Complaints Against Police Personnel,40,13,0,54,42,8,11,0,0,0,10,0,1,8,5,47,3,17,25
Assam,2002,Complaints Against Police Personnel,17,1,7,115,106,2,7,15,0,0,9,0,3,36,1,124,2,70,374
Bihar,2002,Complaints Against Police Personnel,16,1,35,127,14,16,35,82,0,0,61,0,3,575,303,1467,22,301,112
Chandigarh,2002,Complaints Against Police Personnel,6,0,123,125,13,0,4,0,0,0,4,0,112,68,19,135,4,42,27
Chhattisgarh,2002,Complaints Against Police Personnel,19,29,1731,2053,725,0,5,0,0,0,11,0,0,28,27,151,15,72,32
Dadra & Nagar Haveli,2002,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Daman & Diu,2002,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Complaints Against Police Personnel,92,58,366,9626,475,0,11,0,0,0,11,0,0,0,0,58,79,307,1587
Goa,2002,Complaints Against Police Personnel,2,0,5,8,6,0,2,2,0,0,2,0,0,76,75,108,0,0,37
Gujarat,2002,Complaints Against Police Personnel,244,1594,475,2362,611,7,199,32,40,21,270,61,48,393,160,1074,49,154,1301
Haryana,2002,Complaints Against Police Personnel,3,1,689,697,313,0,1,0,0,0,1,0,1,4,0,219,9,90,112
Himachal Pradesh,2002,Complaints Against Police Personnel,8,4,215,251,7,0,5,0,1,1,8,2,4,0,41,59,5,16,48
Jammu & Kashmir,2002,Complaints Against Police Personnel,38,11,664,786,250,0,15,3,3,0,21,3,2,602,563,2270,63,1557,1038
Jharkhand,2002,Complaints Against Police Personnel,5103,0,0,5103,0,0,0,0,0,0,0,0,0,249,214,569,10,294,148
Karnataka,2002,Complaints Against Police Personnel,57,53,67,198,181,0,31,3,8,2,42,10,6,455,48,864,9,279,223
Kerala,2002,Complaints Against Police Personnel,93,25,997,2720,1796,3,28,0,0,1,43,1,12,320,92,864,11,69,240
Lakshadweep,2002,Complaints Against Police Personnel,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Complaints Against Police Personnel,3,11,403,652,94,0,2,0,0,0,249,0,0,11,0,94,0,0,11
Maharashtra,2002,Complaints Against Police Personnel,323,132,2620,3859,1302,24,207,42,68,10,210,78,6,680,437,1436,83,204,2119
Manipur,2002,Complaints Against Police Personnel,0,2,0,0,2,0,0,0,0,2,2,2,0,2,0,0,1,1,0
Meghalaya,2002,Complaints Against Police Personnel,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,26,23
Mizoram,2002,Complaints Against Police Personnel,5,1,0,6,1,5,12,0,1,0,6,1,4,14,5,26,2,12,1
Nagaland,2002,Complaints Against Police Personnel,6,0,0,13,3,0,5,3,0,1,5,1,0,0,0,2,0,1,1
Odisha,2002,Complaints Against Police Personnel,53,32,4,85,30,3,29,40,4,0,40,4,4,49,52,164,4,89,181
Puducherry,2002,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,Complaints Against Police Personnel,207,268,2540,4518,2466,93,22,0,19,6,27,25,9,190,84,1767,172,870,5177
Rajasthan,2002,Complaints Against Police Personnel,124,92,1675,1931,249,3,39,4,0,1,45,1,1,2479,1218,5013,65,399,2015
Sikkim,2002,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,15
Tamil Nadu,2002,Complaints Against Police Personnel,313,357,10,445,360,9,39,24,7,3,48,10,0,831,122,1123,16,302,510
Tripura,2002,Complaints Against Police Personnel,11,2,3,11,11,0,0,3,0,0,0,0,0,25,14,82,16,20,39
Uttar Pradesh,2002,Complaints Against Police Personnel,1978,1942,4576,6576,1978,20,36,2,9,0,36,9,27,1406,536,1942,37,197,1172
Uttarakhand,2002,Complaints Against Police Personnel,32,233,184,698,604,3,29,2,7,1,29,8,2,403,38,496,9,33,361
West Bengal,2002,Complaints Against Police Personnel,10,6,0,47,44,2,6,1,0,0,4,0,0,22,0,163,8,57,277
Andaman & Nicobar Islands,2003,Complaints Against Police Personnel,9,0,1,9,0,0,2,0,0,0,2,0,1,9,1,40,0,3,21
Andhra Pradesh,2003,Complaints Against Police Personnel,140,828,11,941,892,7,89,27,12,1,100,13,8,1039,367,1764,16,261,1284
Arunachal Pradesh,2003,Complaints Against Police Personnel,6,0,0,15,9,0,1,0,0,0,1,0,1,1,0,1,0,0,1
Assam,2003,Complaints Against Police Personnel,15,35,2,8,14,2,11,2,3,0,9,3,0,0,13,99,0,37,233
Bihar,2003,Complaints Against Police Personnel,4,22,16,101,22,7,29,78,0,0,56,0,11,347,118,686,8,289,159
Chandigarh,2003,Complaints Against Police Personnel,4,0,179,238,0,0,1,0,0,0,1,0,1,234,241,130,16,90,151
Chhattisgarh,2003,Complaints Against Police Personnel,28,11,1225,1819,597,0,1,0,4,1,22,5,0,13,7,51,3,13,19
Dadra & Nagar Haveli,2003,Complaints Against Police Personnel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Complaints Against Police Personnel,108,77,352,9797,578,0,0,0,0,0,0,0,0,0,0,77,77,339,1806
Goa,2003,Complaints Against Police Personnel,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,20,0,3,0
Gujarat,2003,Complaints Against Police Personnel,242,1648,295,2196,479,3,199,29,6,22,246,28,26,581,204,2255,59,231,1427
Haryana,2003,Complaints Against Police Personnel,15,13,1259,3270,418,20,8,6,0,0,13,0,2,0,0,131,11,89,32
Himachal Pradesh,2003,Complaints Against Police Personnel,4,3,147,174,32,3,2,0,0,0,7,0,2,3,14,47,1,16,18
Jammu & Kashmir,2003,Complaints Against Police Personnel,44,18,587,851,318,1,25,0,3,1,35,4,4,606,773,2714,101,1029,956
Jharkhand,2003,Complaints Against Police Personnel,5106,1,3,5116,0,2,0,11,3,0,8,3,3,97,43,249,6,128,14
Karnataka,2003,Complaints Against Police Personnel,74,59,36,170,125,1,60,6,19,2,53,21,3,342,200,1259,11,14,612
Kerala,2003,Complaints Against Police Personnel,82,37,573,1578,1080,5,29,1,20,1,50,21,6,386,161,808,11,78,297
Lakshadweep,2003,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Complaints Against Police Personnel,29,105,8810,9875,2297,1,25,3,0,4,40,4,11,17,47,304,103,85,281
Maharashtra,2003,Complaints Against Police Personnel,488,490,3363,4555,1439,32,261,61,29,8,262,37,5,330,50,545,45,62,247
Manipur,2003,Complaints Against Police Personnel,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Complaints Against Police Personnel,5,0,0,5,5,0,1,0,0,0,1,0,0,2,4,8,1,45,37
Mizoram,2003,Complaints Against Police Personnel,4,0,0,3,0,2,4,1,0,1,4,1,0,1,0,1,0,1,0
Nagaland,2003,Complaints Against Police Personnel,4,0,0,6,2,0,4,0,1,0,5,1,0,1,0,4,0,4,0
Odisha,2003,Complaints Against Police Personnel,85,11,14,107,34,1,45,45,1,0,36,1,1,57,33,272,16,128,383
Puducherry,2003,Complaints Against Police Personnel,5,0,0,5,0,0,4,0,1,0,4,1,0,17,4,26,0,1,4
Punjab,2003,Complaints Against Police Personnel,121,81,3068,4168,2357,26,42,1,16,0,54,16,17,278,472,1047,137,727,3935
Rajasthan,2003,Complaints Against Police Personnel,100,74,1563,1841,272,2,42,4,3,0,61,3,5,2520,1146,4074,96,326,2098
Sikkim,2003,Complaints Against Police Personnel,3,0,0,3,0,0,1,0,0,1,1,1,0,4,4,10,0,0,4
Tamil Nadu,2003,Complaints Against Police Personnel,88,1769,17,1878,1786,4,71,88,6,1,71,7,9,1383,333,1772,18,334,1031
Tripura,2003,Complaints Against Police Personnel,1,0,0,1,1,0,0,0,0,0,0,0,0,26,1,38,0,27,1
Uttar Pradesh,2003,Complaints Against Police Personnel,1227,1198,3959,5239,1268,11,29,1,3,0,29,3,26,771,427,1198,41,253,477
Uttarakhand,2003,Complaints Against Police Personnel,24,506,342,872,872,0,23,0,0,0,23,0,3,459,47,506,27,72,360
West Bengal,2003,Complaints Against Police Personnel,98,61,1,271,270,0,17,1,1,2,21,3,0,3,0,185,31,77,79
Andaman & Nicobar Islands,2004,Complaints Against Police Personnel,15,0,0,1,0,1,6,0,0,0,6,0,1,41,3,47,3,8,33
Andhra Pradesh,2004,Complaints Against Police Personnel,649,476,30,646,499,4,183,29,2,1,51,3,1,223,564,1848,15,269,1010
Arunachal Pradesh,2004,Complaints Against Police Personnel,25,2,0,45,1,3,16,15,0,0,1,0,2,67,13,152,0,12,55
Assam,2004,Complaints Against Police Personnel,14,9,0,7,13,0,9,3,3,0,4,3,4,2,11,21,2,0,19
Bihar,2004,Complaints Against Police Personnel,157,0,39,207,22,0,92,30,0,0,66,0,4,476,142,911,11,374,363
Chandigarh,2004,Complaints Against Police Personnel,0,0,33,309,0,0,0,0,0,0,0,0,0,11,122,109,2,35,23
Chhattisgarh,2004,Complaints Against Police Personnel,29,27,1204,1517,583,95,3,95,303,14,323,317,342,35,34,99,11,32,158
Dadra & Nagar Haveli,2004,Complaints Against Police Personnel,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Daman & Diu,2004,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
Delhi,2004,Complaints Against Police Personnel,123,96,2939,10179,591,0,0,0,0,0,0,0,0,0,0,96,85,548,2158
Goa,2004,Complaints Against Police Personnel,2,0,46,119,1,0,1,0,0,0,1,0,0,0,3,227,0,1,210
Gujarat,2004,Complaints Against Police Personnel,249,1827,421,4413,544,0,217,26,9,8,272,17,4,536,136,1806,45,168,1372
Haryana,2004,Complaints Against Police Personnel,50,13,1221,1244,834,0,11,9,0,0,19,0,0,0,0,86,14,47,26
Himachal Pradesh,2004,Complaints Against Police Personnel,4,6,189,224,40,2,2,0,0,0,4,0,3,12,7,79,1,16,84
Jammu & Kashmir,2004,Complaints Against Police Personnel,284,25,348,510,781,95,15,0,0,0,35,0,10,551,1557,2254,67,1548,493
Jharkhand,2004,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Complaints Against Police Personnel,55,265,50,163,326,3,45,14,3,1,45,4,5,228,429,976,13,48,707
Kerala,2004,Complaints Against Police Personnel,60,27,1151,2570,2102,286,21,0,13,13,35,26,15,147,119,811,18,124,326
Lakshadweep,2004,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Complaints Against Police Personnel,44,68,9729,11162,3417,1,32,2,1,0,42,1,20,188,133,450,109,115,308
Maharashtra,2004,Complaints Against Police Personnel,412,248,3661,4956,698,27,272,40,2,1,301,3,4,168,23,318,34,24,110
Manipur,2004,Complaints Against Police Personnel,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
Meghalaya,2004,Complaints Against Police Personnel,6,5,0,6,1,5,2,0,0,0,4,0,0,0,0,9,3,10,2
Mizoram,2004,Complaints Against Police Personnel,2,0,0,2,0,1,2,1,0,0,2,0,0,18,11,26,1,19,4
Nagaland,2004,Complaints Against Police Personnel,10,3,0,11,1,0,6,2,0,1,8,1,2,0,2,7,0,4,0
Odisha,2004,Complaints Against Police Personnel,81,20,2,68,5,7,36,60,0,0,32,0,3,35,65,255,6,156,290
Puducherry,2004,Complaints Against Police Personnel,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,14,0,0,0
Punjab,2004,Complaints Against Police Personnel,94,78,2972,4660,2191,7,33,1,13,6,48,19,4,344,148,891,105,811,2295
Rajasthan,2004,Complaints Against Police Personnel,127,99,1361,1830,469,0,56,0,10,0,76,10,2,2745,1213,4356,110,321,2314
Sikkim,2004,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Complaints Against Police Personnel,113,175,7,221,165,4,37,41,4,2,46,6,12,579,401,2030,26,409,1192
Tripura,2004,Complaints Against Police Personnel,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,31,0,34,270
Uttar Pradesh,2004,Complaints Against Police Personnel,667,604,3591,4935,1314,27,63,3,7,8,63,15,48,373,231,604,47,217,109
Uttarakhand,2004,Complaints Against Police Personnel,20,595,337,932,922,5,20,5,0,0,20,0,0,378,106,595,12,19,347
West Bengal,2004,Complaints Against Police Personnel,62,47,1,119,112,0,7,7,0,0,9,0,0,83,3,154,12,188,387
Andaman & Nicobar Islands,2005,Complaints Against Police Personnel,19,3,138,167,55,3,6,0,0,0,4,0,0,8,5,28,0,1,5
Andhra Pradesh,2005,Complaints Against Police Personnel,6271,609,663,7453,633,0,6220,74,5,2,99,7,5,14,682,2334,33,271,1667
Arunachal Pradesh,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,35,0,1,7
Assam,2005,Complaints Against Police Personnel,28,35,0,20,37,0,13,6,0,0,14,0,0,0,0,22,4,4,60
Bihar,2005,Complaints Against Police Personnel,13,1,5,45,0,10,29,36,1,0,93,1,19,567,39,858,7,294,267
Chandigarh,2005,Complaints Against Police Personnel,0,0,168,192,192,0,0,0,0,0,0,0,0,0,138,112,3,49,177
Chhattisgarh,2005,Complaints Against Police Personnel,40,4,727,1006,284,4,1982,18,6,30,54,36,37,30,2,69,4,13,7
Dadra & Nagar Haveli,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Complaints Against Police Personnel,86,0,1583,6665,612,0,0,0,0,0,0,0,0,0,0,211,87,364,1728
Goa,2005,Complaints Against Police Personnel,3,0,18,20,2,0,0,0,0,0,0,0,0,2,174,205,0,1,131
Gujarat,2005,Complaints Against Police Personnel,267,1755,410,4214,518,0,198,6,12,31,247,43,15,1147,164,1191,62,255,1099
Haryana,2005,Complaints Against Police Personnel,94,8,1189,1234,1025,0,8,5,3,0,12,3,0,3,0,11,0,0,0
Himachal Pradesh,2005,Complaints Against Police Personnel,3,0,195,210,18,2,4,1,0,1,5,1,1,16,5,47,2,12,31
Jammu & Kashmir,2005,Complaints Against Police Personnel,34,123,664,2517,2307,0,6,34,3,0,345,3,172,40,686,2478,75,969,663
Jharkhand,2005,Complaints Against Police Personnel,1,0,4,8,1,0,0,7,0,0,0,0,0,149,52,525,13,114,46
Karnataka,2005,Complaints Against Police Personnel,65,61,15,261,226,1,38,6,13,2,47,15,2,657,332,888,16,48,675
Kerala,2005,Complaints Against Police Personnel,186,146,803,1982,1902,4,41,4,6,1,42,7,2,117,104,620,15,48,204
Lakshadweep,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Complaints Against Police Personnel,588,52,16834,19748,5184,603,18,0,1,5,40,6,13,393,129,339,30,66,275
Maharashtra,2005,Complaints Against Police Personnel,434,314,3216,4401,546,8,254,9,24,13,266,37,6,239,16,330,63,75,101
Manipur,2005,Complaints Against Police Personnel,4,4,0,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,2
Meghalaya,2005,Complaints Against Police Personnel,6,4,0,33,27,6,0,0,0,0,0,0,1,7,1,81,9,24,170
Mizoram,2005,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Complaints Against Police Personnel,4,1,0,8,2,0,4,1,0,1,4,1,1,0,0,2,2,1,0
Odisha,2005,Complaints Against Police Personnel,55,14,4,53,6,21,30,26,1,0,35,1,8,54,62,260,7,171,215
Puducherry,2005,Complaints Against Police Personnel,3,0,0,3,0,0,1,0,0,0,1,0,0,0,2,38,0,0,0
Punjab,2005,Complaints Against Police Personnel,98,54,3047,3798,2641,11,22,1,7,4,30,11,10,378,191,1695,203,1294,2439
Rajasthan,2005,Complaints Against Police Personnel,116,41,800,1067,267,0,48,0,1,1,74,2,0,2884,1018,4503,87,362,2435
Sikkim,2005,Complaints Against Police Personnel,0,17,0,17,17,0,0,0,0,0,0,0,0,5,0,17,0,2,3
