area_name,year,unidentified_dead_bodies_recovered_inquest_conducted
Andhra Pradesh,2001,5290
Arunachal Pradesh,2001,0
Assam,2001,14
Bihar,2001,1438
Chandigarh,2001,18
Chhattisgarh,2001,114
Delhi,2001,2072
Goa,2001,181
Gujarat,2001,1112
Haryana,2001,470
Himachal Pradesh,2001,74
Jammu & Kashmir,2001,405
Jharkhand,2001,200
Karnataka,2001,2227
Kerala,2001,183
Madhya Pradesh,2001,509
Maharashtra,2001,8230
Meghalaya,2001,15
Nagaland,2001,3
Odisha,2001,296
Puducherry,2001,78
Punjab,2001,1586
Rajasthan,2001,699
Tamil Nadu,2001,1145
Tripura,2001,7
Uttar Pradesh,2001,5310
Uttarakhand,2001,169
West Bengal,2001,3609
Andhra Pradesh,2002,4097
Arunachal Pradesh,2002,10
Assam,2002,102
Bihar,2002,1753
Chandigarh,2002,20
Chhattisgarh,2002,77
Daman & Diu,2002,17
Delhi,2002,3047
Goa,2002,192
Gujarat,2002,1098
Haryana,2002,266
Himachal Pradesh,2002,70
Jammu & Kashmir,2002,367
Jharkhand,2002,38
Karnataka,2002,2050
Kerala,2002,121
Madhya Pradesh,2002,905
Maharashtra,2002,12841
Meghalaya,2002,21
Nagaland,2002,0
Odisha,2002,27
Puducherry,2002,63
Punjab,2002,1187
Rajasthan,2002,897
Tamil Nadu,2002,708
Tripura,2002,3
Uttar Pradesh,2002,4081
Uttarakhand,2002,167
West Bengal,2002,3474
Andaman & Nicobar Islands,2003,0
Andhra Pradesh,2003,4427
Arunachal Pradesh,2003,6
Assam,2003,132
Bihar,2003,1275
Chandigarh,2003,18
Chhattisgarh,2003,109
Dadra & Nagar Haveli,2003,5
Daman & Diu,2003,22
Delhi,2003,2894
Goa,2003,188
Gujarat,2003,1143
Haryana,2003,507
Himachal Pradesh,2003,157
Jammu & Kashmir,2003,276
Jharkhand,2003,42
Karnataka,2003,2538
Kerala,2003,87
Madhya Pradesh,2003,959
Maharashtra,2003,6790
Meghalaya,2003,34
Nagaland,2003,0
Odisha,2003,350
Puducherry,2003,52
Punjab,2003,692
Rajasthan,2003,630
Sikkim,2003,41
Tamil Nadu,2003,1719
Tripura,2003,7
Uttar Pradesh,2003,4327
Uttarakhand,2003,282
West Bengal,2003,3947
Andhra Pradesh,2004,3944
Arunachal Pradesh,2004,1
Assam,2004,29
Bihar,2004,1325
Chandigarh,2004,24
Chhattisgarh,2004,94
Dadra & Nagar Haveli,2004,1
Daman & Diu,2004,15
Delhi,2004,2439
Goa,2004,201
Gujarat,2004,1188
Haryana,2004,599
Himachal Pradesh,2004,70
Jammu & Kashmir,2004,199
Jharkhand,2004,36
Karnataka,2004,2673
Kerala,2004,184
Madhya Pradesh,2004,960
Maharashtra,2004,8497
Manipur,2004,1
Meghalaya,2004,20
Mizoram,2004,0
Nagaland,2004,0
Odisha,2004,134
Puducherry,2004,83
Punjab,2004,900
Rajasthan,2004,987
Sikkim,2004,17
Tamil Nadu,2004,2071
Uttar Pradesh,2004,3804
Uttarakhand,2004,232
West Bengal,2004,6578
Andhra Pradesh,2005,6461
Arunachal Pradesh,2005,13
Assam,2005,121
Bihar,2005,1902
Chandigarh,2005,25
Chhattisgarh,2005,105
Dadra & Nagar Haveli,2005,1
Daman & Diu,2005,15
Delhi,2005,1996
Goa,2005,185
Gujarat,2005,1619
Haryana,2005,602
Himachal Pradesh,2005,170
Jammu & Kashmir,2005,114
Karnataka,2005,2387
Kerala,2005,430
Madhya Pradesh,2005,923
Maharashtra,2005,6800
Manipur,2005,2
Meghalaya,2005,115
Mizoram,2005,0
Nagaland,2005,1
Odisha,2005,129
Puducherry,2005,104
Punjab,2005,475
Rajasthan,2005,1094
Sikkim,2005,11
Tamil Nadu,2005,5125
Uttar Pradesh,2005,3580
Uttarakhand,2005,234
West Bengal,2005,4418
Andhra Pradesh,2006,5417
Arunachal Pradesh,2006,9
Assam,2006,137
Bihar,2006,1743
Chandigarh,2006,22
Chhattisgarh,2006,154
Dadra & Nagar Haveli,2006,4
Daman & Diu,2006,18
Delhi,2006,2092
Goa,2006,204
Gujarat,2006,1749
Haryana,2006,828
Himachal Pradesh,2006,103
Jammu & Kashmir,2006,128
Jharkhand,2006,108
Karnataka,2006,2913
Kerala,2006,462
Madhya Pradesh,2006,1172
Maharashtra,2006,5973
Manipur,2006,16
Meghalaya,2006,22
Mizoram,2006,0
Nagaland,2006,3
Odisha,2006,120
Puducherry,2006,91
Punjab,2006,840
Rajasthan,2006,1105
Sikkim,2006,22
Tamil Nadu,2006,2045
Uttar Pradesh,2006,3447
Uttarakhand,2006,253
West Bengal,2006,4931
Andhra Pradesh,2007,4088
Arunachal Pradesh,2007,3
Assam,2007,38
Bihar,2007,1115
Chandigarh,2007,182
Chhattisgarh,2007,145
Dadra & Nagar Haveli,2007,14
Daman & Diu,2007,22
Delhi,2007,2232
Goa,2007,272
Gujarat,2007,2054
Haryana,2007,653
Himachal Pradesh,2007,175
Jammu & Kashmir,2007,386
Jharkhand,2007,50
Karnataka,2007,2767
Kerala,2007,628
Madhya Pradesh,2007,979
Maharashtra,2007,7107
Manipur,2007,34
Meghalaya,2007,14
Mizoram,2007,0
Nagaland,2007,0
Odisha,2007,107
Puducherry,2007,169
Punjab,2007,950
Rajasthan,2007,1167
Sikkim,2007,14
Tamil Nadu,2007,2237
Tripura,2007,0
Uttar Pradesh,2007,3482
Uttarakhand,2007,225
West Bengal,2007,5973
Andhra Pradesh,2008,5355
Arunachal Pradesh,2008,4
Assam,2008,45
Bihar,2008,1074
Chandigarh,2008,77
Chhattisgarh,2008,117
Dadra & Nagar Haveli,2008,3
Daman & Diu,2008,19
Delhi,2008,2174
Goa,2008,272
Gujarat,2008,1907
Haryana,2008,713
Himachal Pradesh,2008,279
Jammu & Kashmir,2008,85
Jharkhand,2008,334
Karnataka,2008,2155
Kerala,2008,517
Madhya Pradesh,2008,1091
Maharashtra,2008,7549
Manipur,2008,50
Meghalaya,2008,19
Mizoram,2008,8
Nagaland,2008,3
Odisha,2008,934
Puducherry,2008,168
Punjab,2008,997
Rajasthan,2008,1084
Sikkim,2008,17
Tamil Nadu,2008,2694
Uttar Pradesh,2008,2126
Uttarakhand,2008,238
West Bengal,2008,5560
Andhra Pradesh,2009,2889
Arunachal Pradesh,2009,5
Assam,2009,12
Bihar,2009,1480
Chandigarh,2009,74
Chhattisgarh,2009,123
Dadra & Nagar Haveli,2009,7
Daman & Diu,2009,13
Delhi,2009,2381
Goa,2009,203
Gujarat,2009,1909
Haryana,2009,718
Himachal Pradesh,2009,416
Jammu & Kashmir,2009,141
Jharkhand,2009,506
Karnataka,2009,2107
Kerala,2009,482
Madhya Pradesh,2009,1031
Maharashtra,2009,6895
Manipur,2009,17
Meghalaya,2009,25
Mizoram,2009,8
Nagaland,2009,3
Odisha,2009,951
Puducherry,2009,183
Punjab,2009,1031
Rajasthan,2009,997
Sikkim,2009,20
Tamil Nadu,2009,2491
Uttar Pradesh,2009,3297
Uttarakhand,2009,470
West Bengal,2009,4017
Andhra Pradesh,2010,2120
Arunachal Pradesh,2010,0
Assam,2010,15
Bihar,2010,1447
Chandigarh,2010,32
Chhattisgarh,2010,65
Dadra & Nagar Haveli,2010,4
Daman & Diu,2010,8
Delhi,2010,2877
Goa,2010,243
Gujarat,2010,2226
Haryana,2010,628
Himachal Pradesh,2010,89
Jammu & Kashmir,2010,266
Jharkhand,2010,317
Karnataka,2010,2268
Kerala,2010,491
Madhya Pradesh,2010,1040
Maharashtra,2010,7651
Manipur,2010,25
Meghalaya,2010,31
Mizoram,2010,3
Nagaland,2010,6
Odisha,2010,1161
Puducherry,2010,166
Punjab,2010,1141
Rajasthan,2010,1125
Sikkim,2010,8
Tamil Nadu,2010,2795
Tripura,2010,17
Uttar Pradesh,2010,3767
Uttarakhand,2010,364
West Bengal,2010,3461
